CUPS,CLUSTER
0114f2a9ef8e,5 (28)
011952cf0a27,5 (28)
02b3106d73c7,5 (28)
03c8338d7f1d,1 (30)
04666163609d,0 (33)
07efa654691a,5 (28)
08565e582514,0 (33)
0d9678df292f,1 (30)
0e6a45c8d43b,5 (28)
11c65598e4aa,3 (22)
127a14c3f85b,2 (8)
17a509e5b3fd,1 (30)
19153be7ac88,0 (33)
1a0b9aa571b5,1 (30)
1bd2d65d3ee4,1 (30)
1c8a857523c6,1 (30)
20eff1413834,3 (22)
259e3b12740a,5 (28)
27233c281b84,5 (28)
277f70c6024c,5 (28)
29abdc229bd7,0 (33)
2b6fe1934f34,1 (30)
2e1cb9ed40da,5 (28)
2e4065ba71b8,0 (33)
2e8f61c97ff0,5 (28)
30c53527a644,1 (30)
31a15c8a5985,3 (22)
320c764758d0,2 (8)
3341083403f9,3 (22)
3395624729d9,0 (33)
3446f68001b1,0 (33)
35d9bd5323b9,1 (30)
38194b2cee3c,5 (28)
3834b65f3a70,0 (33)
3a04ebb76f6a,1 (30)
426fb012b93d,3 (22)
43418b1f8c9d,3 (22)
43c6b2a5a249,3 (22)
49771a22ec98,0 (33)
4b5a8b35b128,0 (33)
4d0a1993dfcd,0 (33)
4df4744c39fb,0 (33)
4f514478e276,5 (28)
5050e482704a,4 (10)
51bcc44b2656,0 (33)
522ec2c9ceb6,1 (30)
524130194799,0 (33)
540f95348569,0 (33)
56bf498d0564,1 (30)
5937660386d6,0 (33)
5b13f13a01ed,1 (30)
5ea12751c266,3 (22)
5f23ca5327cd,1 (30)
5f4793761400,3 (22)
609781c124a2,1 (30)
60e6d6d2541a,4 (10)
65e32355a97a,5 (28)
6906cceeeb78,1 (30)
6c1405ef7062,0 (33)
6f00c403abd0,5 (28)
6fadd3d6b297,1 (30)
71d3885d1431,1 (30)
71d9a9f96bca,1 (30)
736f2de66813,5 (28)
7766e16a2d4a,1 (30)
78d0d9825060,0 (33)
7a2e7beb0672,5 (28)
7a6739bd338e,5 (28)
7bd57f96a653,3 (22)
7d4cfc37189e,4 (10)
806dc54ccb69,3 (22)
83c7fbada9b4,2 (8)
84736eaf5a9d,5 (28)
84bc6f535519,4 (10)
8748f2316ba9,4 (10)
883788a8f885,5 (28)
90a0336aae39,0 (33)
95ee02b21baa,3 (22)
960038979a08,2 (8)
99d555540f0d,3 (22)
9a3b34521cfa,1 (30)
9c890590d367,3 (22)
9fa8e9422c8d,0 (33)
a1c7814da365,5 (28)
a3551673db03,3 (22)
a436c4d5cbeb,1 (30)
a97896649004,3 (22)
ab6c9e4d8e64,0 (33)
ab80ec0882ca,4 (10)
acb5ee1b35fd,0 (33)
ad7b0d773a4a,3 (22)
add697153a07,2 (8)
b1a8b5dfd391,4 (10)
b46938568ddc,5 (28)
b476034a2e3d,5 (28)
b6b8b829ca63,0 (33)
b6e12ac4aa4b,5 (28)
ba38270a360e,2 (8)
bbfd7c7fa784,0 (33)
bf03a8cf21da,5 (28)
c1244d6dea7a,0 (33)
c32f47bda75b,1 (30)
c422e08d8f19,1 (30)
c4a177fb3092,4 (10)
c5fa6b7264f9,2 (8)
c762bb72bd52,5 (28)
c8b50ccf6f9c,3 (22)
cc26481a6b26,0 (33)
ce0e3832ae5b,0 (33)
cf5c2db7d01b,1 (30)
d15c67c0173b,0 (33)
d18448fa2230,3 (22)
d4032a0b3dea,0 (33)
d55816977df1,4 (10)
d60abb43b0bc,0 (33)
d8555c97f799,4 (10)
e00164f28d81,2 (8)
e1c96aca8aa9,5 (28)
e2972a4aa5d5,0 (33)
e7b153decb4b,3 (22)
e9ae574ff977,5 (28)
e9ba19111ba2,1 (30)
eecaa816b74b,1 (30)
f01cc7652e9e,1 (30)
f031c514ae35,5 (28)
f1a487408720,3 (22)
f695586984d6,0 (33)
fc6f5ded11aa,0 (33)
fef3a0e21aab,1 (30)
ceaddbf817fc,1 (30)
d0fbcc1108d8,3 (22)
