CUPS,CLUSTER
0114f2a9ef8e,2 (37)
011952cf0a27,2 (37)
02b3106d73c7,2 (37)
03c8338d7f1d,0 (56)
04666163609d,0 (56)
07efa654691a,2 (37)
08565e582514,0 (56)
0d9678df292f,2 (37)
0e6a45c8d43b,2 (37)
11c65598e4aa,5 (3)
127a14c3f85b,0 (56)
17a509e5b3fd,2 (37)
19153be7ac88,0 (56)
1a0b9aa571b5,0 (56)
1bd2d65d3ee4,0 (56)
1c8a857523c6,0 (56)
20eff1413834,4 (17)
259e3b12740a,2 (37)
27233c281b84,2 (37)
277f70c6024c,2 (37)
29abdc229bd7,0 (56)
2b6fe1934f34,2 (37)
2e1cb9ed40da,2 (37)
2e4065ba71b8,0 (56)
2e8f61c97ff0,2 (37)
30c53527a644,0 (56)
31a15c8a5985,5 (3)
320c764758d0,0 (56)
3341083403f9,4 (17)
3395624729d9,0 (56)
3446f68001b1,0 (56)
35d9bd5323b9,2 (37)
38194b2cee3c,1 (16)
3834b65f3a70,0 (56)
3a04ebb76f6a,0 (56)
426fb012b93d,4 (17)
43418b1f8c9d,4 (17)
43c6b2a5a249,0 (56)
49771a22ec98,0 (56)
4b5a8b35b128,0 (56)
4d0a1993dfcd,0 (56)
4df4744c39fb,0 (56)
4f514478e276,2 (37)
5050e482704a,1 (16)
51bcc44b2656,0 (56)
522ec2c9ceb6,2 (37)
524130194799,0 (56)
540f95348569,0 (56)
56bf498d0564,0 (56)
5937660386d6,0 (56)
5b13f13a01ed,2 (37)
5ea12751c266,4 (17)
5f23ca5327cd,0 (56)
5f4793761400,4 (17)
609781c124a2,0 (56)
60e6d6d2541a,1 (16)
65e32355a97a,2 (37)
6906cceeeb78,0 (56)
6c1405ef7062,0 (56)
6f00c403abd0,1 (16)
6fadd3d6b297,2 (37)
71d3885d1431,2 (37)
71d9a9f96bca,2 (37)
736f2de66813,2 (37)
7766e16a2d4a,2 (37)
78d0d9825060,0 (56)
7a2e7beb0672,2 (37)
7a6739bd338e,2 (37)
7bd57f96a653,4 (17)
7d4cfc37189e,1 (16)
806dc54ccb69,4 (17)
83c7fbada9b4,0 (56)
84736eaf5a9d,2 (37)
84bc6f535519,6 (1)
8748f2316ba9,1 (16)
883788a8f885,1 (16)
90a0336aae39,0 (56)
95ee02b21baa,4 (17)
960038979a08,0 (56)
99d555540f0d,4 (17)
9a3b34521cfa,2 (37)
9c890590d367,4 (17)
9fa8e9422c8d,0 (56)
a1c7814da365,1 (16)
a3551673db03,4 (17)
a436c4d5cbeb,2 (37)
a97896649004,4 (17)
ab6c9e4d8e64,0 (56)
ab80ec0882ca,3 (1)
acb5ee1b35fd,0 (56)
ad7b0d773a4a,5 (3)
add697153a07,0 (56)
b1a8b5dfd391,1 (16)
b46938568ddc,2 (37)
b476034a2e3d,2 (37)
b6b8b829ca63,0 (56)
b6e12ac4aa4b,2 (37)
ba38270a360e,0 (56)
bbfd7c7fa784,0 (56)
bf03a8cf21da,1 (16)
c1244d6dea7a,0 (56)
c32f47bda75b,2 (37)
c422e08d8f19,2 (37)
c4a177fb3092,1 (16)
c5fa6b7264f9,0 (56)
c762bb72bd52,2 (37)
c8b50ccf6f9c,4 (17)
cc26481a6b26,0 (56)
ce0e3832ae5b,0 (56)
cf5c2db7d01b,0 (56)
d15c67c0173b,0 (56)
d18448fa2230,4 (17)
d4032a0b3dea,0 (56)
d55816977df1,1 (16)
d60abb43b0bc,0 (56)
d8555c97f799,1 (16)
e00164f28d81,0 (56)
e1c96aca8aa9,1 (16)
e2972a4aa5d5,0 (56)
e7b153decb4b,0 (56)
e9ae574ff977,1 (16)
e9ba19111ba2,2 (37)
eecaa816b74b,0 (56)
f01cc7652e9e,2 (37)
f031c514ae35,1 (16)
f1a487408720,4 (17)
f695586984d6,0 (56)
fc6f5ded11aa,0 (56)
fef3a0e21aab,2 (37)
ceaddbf817fc,0 (56)
d0fbcc1108d8,4 (17)
