cups,media_invierno,std_invierno,skewness_invierno,kurtosis_invierno,energia_fft_invierno,frecuencia_dominante_invierno,mediana_invierno,p25_invierno,p75_invierno,media_otoño,std_otoño,skewness_otoño,kurtosis_otoño,energia_fft_otoño,frecuencia_dominante_otoño,mediana_otoño,p25_otoño,p75_otoño,media_primavera,std_primavera,skewness_primavera,kurtosis_primavera,energia_fft_primavera,frecuencia_dominante_primavera,mediana_primavera,p25_primavera,p75_primavera,media_verano,std_verano,skewness_verano,kurtosis_verano,energia_fft_verano,frecuencia_dominante_verano,mediana_verano,p25_verano,p75_verano,media_anual,std_anual,skewness_anual,kurtosis_anual,energia_fft_anual,frecuencia_dominante_anual,mediana_anual,p25_anual,p75_anual
0114f2a9ef8e,0.40440787037037035,0.2963471364943951,2.2578370454596963,8.964683421728624,1085.9069559999998,180.0,0.357,0.20175,0.483,0.38940544871794874,0.2337077491884919,2.2447626113948296,7.577663649056076,900.9258389999998,182.0,0.36,0.245,0.45225000000000004,0.36809035326086953,0.24774053828373413,2.0021079472023104,6.147341989152263,869.359737,184,0.336,0.189,0.443,0.4474665750915751,0.2100606200225085,1.695107199925159,5.911698148534885,1067.328662,182,0.434,0.305,0.53725,0.40224278846153844,0.25052194919614856,2.089272357640773,8.025484424068978,3923.521193999999,728,0.371,0.23875,0.484
011952cf0a27,0.42121921296296294,0.2751777133715912,2.828941163460989,25.092681012135937,1093.601085,180.0,0.392,0.257,0.547,0.41207165750915753,0.2610329371362229,1.4139746966269908,5.272927381812071,1039.3273590000001,182.0,0.391,0.219,0.529,0.4261582880434783,0.27416597686551103,2.578509348851059,23.154119766487412,1133.931071,184,0.397,0.253,0.548,0.46422826086956526,0.254330937016689,1.3790160048281086,5.309037781926687,1237.3283299999998,184,0.44,0.29874999999999996,0.596,0.43102414383561644,0.26703283458804355,2.0879366794474326,15.667299945147676,4504.187845000001,730,0.404,0.259,0.556
02b3106d73c7,0.6708344907407408,0.5951383053272543,0.8254393016881457,0.1546381145965281,3474.1807909999998,180.0,0.559,0.103,1.0862500000000002,0.4111039377289377,0.43246436439088337,1.7041541797458502,2.4296713094883398,1555.1472260000003,182.0,0.203,0.118,0.55925,0.4196148097826087,0.4618882680311341,1.583800955511679,2.4156168522897037,1719.667065,184,0.182,0.083,0.629,0.24048793260473586,0.32438452628420694,7.856502503554403,169.89542866540404,716.158495,366,0.121,0.096,0.24,0.4345535550983082,0.4876893873049486,1.9519910758855878,9.503230603816853,7465.153577,2,0.181,0.098,0.644
03c8338d7f1d,0.25189699074074073,0.3057929625038325,2.6747043847618475,9.066354773684672,678.0733770000003,360.0,0.121,0.084,0.324,0.1987275641025641,0.2574192669242339,3.3096590832963493,11.550177448703629,461.94799000000006,182.0,0.121,0.086,0.163,0.2068677536231884,0.2614853668835584,3.0534089525628816,9.950855111809751,490.92170600000003,184,0.121,0.087,0.162,0.17235416666666667,0.1890753570336462,4.0053501121884345,17.623812324532764,285.90940300000005,364,0.131,0.093,0.165,0.20733791208791208,0.25830399406910237,3.2088317126504413,11.873729071464952,1916.8524759999998,1456,0.123,0.087,0.173
04666163609d,0.3942759259259259,0.49054569601964904,1.689071337463468,2.7040345100190875,1711.1026900000002,180.0,0.1455,0.053,0.62725,0.1897625915750916,0.2597881307825312,2.6940223384670627,8.378325811517577,452.086751,182.0,0.088,0.05,0.209,0.2209370471014493,0.29392004810532557,2.837436568951931,9.744387170825778,597.0527979999999,184,0.101,0.055,0.251,0.19411042805100182,0.1838290153533747,2.6112448091747886,9.469757850576668,313.904871,183,0.126,0.087,0.245,0.24921959304983998,0.33703902576433875,2.7041372397911383,8.865551216855348,3074.14711,729,0.107,0.059,0.274
07efa654691a,0.5251511574074075,0.5934414489305964,1.2374585585718725,0.7360481913047727,2712.7720430000004,360.0,0.2,0.06875,0.855,0.4069468864468864,0.509832156913338,1.7040312748112323,2.0037613016103455,1858.7351179999996,364.0,0.17149999999999999,0.08,0.503,0.465530570652174,0.5361534641396188,1.3407663943622423,0.49093480764435427,2226.455565,368,0.187,0.09175,0.677,0.35963484432234427,0.4954756831617012,1.8456849771452386,2.7813617719542325,1637.272177,1,0.123,0.063,0.3835,0.4391520718864469,0.5384527260541189,1.5122088336954513,1.382702780739832,8435.234902999999,728,0.172,0.077,0.64025
08565e582514,0.18582314814814818,0.28907994412237054,4.237489112166555,23.87553973448662,510.18101199999995,180.0,0.088,0.047,0.201,0.1830460164835165,0.25956997835048556,3.852047550079126,18.191730557194433,440.65440099999995,182.0,0.098,0.055,0.192,0.1830803894927536,0.25737865459996656,4.239590954499616,24.076529742934877,440.549879,184,0.1,0.054,0.196,0.2623030510018215,0.36475370324975076,2.8214538318564615,8.498065319191234,886.5170949999998,183,0.125,0.07375,0.232,0.20363620256058526,0.2978722992977315,3.687568552657778,16.769388622424746,2277.902386999999,729,0.104,0.056,0.205
0d9678df292f,0.47224004629629635,0.5373595376485373,1.7982941192526307,4.675307385544726,2210.8288349999993,180.0,0.277,0.075,0.67825,0.3222570970695971,0.3882278802055081,1.8700244312579044,3.4128866533618467,1111.964047,182.0,0.137,0.066,0.45125000000000004,0.44029302536231885,0.49846307282432706,1.6088611551552605,2.289032034630985,1953.3000600000003,184,0.182,0.083,0.62825,0.3080215201465202,0.512058795160984,2.812420160444152,10.564790951947877,1559.7318460000001,182,0.107,0.0,0.37625,0.38561515567765564,0.49248908851560913,2.0725380457751656,5.782530076003734,6835.824788,728,0.146,0.066,0.53125
0e6a45c8d43b,0.44442754629629627,0.5273808175264866,2.9510823516552147,13.412965017957482,2054.7923210000004,180.0,0.227,0.142,0.529,0.3840057234432234,0.38687188690981617,2.893656631116662,10.324105787830781,1297.864943,182.0,0.243,0.169,0.43225,0.4162891757246377,0.4462333400562564,2.775970636247365,9.19612271948071,1644.610569,184,0.25,0.16675,0.467,0.3879959016393443,0.3228581341015226,3.069105530031766,12.84416581516945,1118.9858299999996,183,0.278,0.212,0.447,0.40807470278920893,0.42784944815167264,3.0816751585337836,13.876515228435839,6116.253662999999,729,0.253,0.171,0.46625000000000005
11c65598e4aa,0.0791287037037037,0.06008478662277833,2.509415983178255,15.814486790720998,42.645024,720.0,0.072,0.036,0.103,0.07030471611721612,0.04399741246670722,2.2852280922933406,12.64396032816885,30.045398999999996,2.0,0.063,0.041,0.086,0.0825036231884058,0.07912121780178641,13.274169494081008,289.7174374256068,57.703938,184,0.071,0.045,0.106,0.08403096539162114,0.05970545833648732,19.305897876913136,607.1047105440765,46.66915,4,0.079,0.054,0.11,0.07900817329675354,0.06227308135617093,11.973919247032319,326.79281583846887,177.06351099999998,729,0.07,0.045,0.103
