cluster,0114f2a9ef8e,011952cf0a27,02b3106d73c7,03c8338d7f1d,04666163609d,07efa654691a,08565e582514,0d9678df292f,0e6a45c8d43b,11c65598e4aa,127a14c3f85b,17a509e5b3fd,19153be7ac88,1a0b9aa571b5,1bd2d65d3ee4,1c8a857523c6,20eff1413834,259e3b12740a,27233c281b84,277f70c6024c,29abdc229bd7,2b6fe1934f34,2e1cb9ed40da,2e4065ba71b8,2e8f61c97ff0,30c53527a644,31a15c8a5985,320c764758d0,3341083403f9,3395624729d9,3446f68001b1,35d9bd5323b9,38194b2cee3c,3834b65f3a70,3a04ebb76f6a,426fb012b93d,43418b1f8c9d,43c6b2a5a249,49771a22ec98,4b5a8b35b128,4d0a1993dfcd,4df4744c39fb,4f514478e276,5050e482704a,51bcc44b2656,522ec2c9ceb6,524130194799,540f95348569,56bf498d0564,5937660386d6,5b13f13a01ed,5ea12751c266,5f23ca5327cd,5f4793761400,609781c124a2,60e6d6d2541a,65e32355a97a,6906cceeeb78,6c1405ef7062,6f00c403abd0,6fadd3d6b297,71d3885d1431,71d9a9f96bca,736f2de66813,7766e16a2d4a,78d0d9825060,7a2e7beb0672,7a6739bd338e,7bd57f96a653,7d4cfc37189e,806dc54ccb69,83c7fbada9b4,84736eaf5a9d,84bc6f535519,8748f2316ba9,883788a8f885,90a0336aae39,95ee02b21baa,960038979a08,99d555540f0d,9a3b34521cfa,9c890590d367,9fa8e9422c8d,a1c7814da365,a3551673db03,a436c4d5cbeb,a97896649004,ab6c9e4d8e64,ab80ec0882ca,acb5ee1b35fd,ad7b0d773a4a,add697153a07,b1a8b5dfd391,b46938568ddc,b476034a2e3d,b6b8b829ca63,b6e12ac4aa4b,ba38270a360e,bbfd7c7fa784,bf03a8cf21da,c1244d6dea7a,c32f47bda75b,c422e08d8f19,c4a177fb3092,c5fa6b7264f9,c762bb72bd52,c8b50ccf6f9c,cc26481a6b26,ce0e3832ae5b,ceaddbf817fc,cf5c2db7d01b,d0fbcc1108d8,d15c67c0173b,d18448fa2230,d4032a0b3dea,d55816977df1,d60abb43b0bc,d8555c97f799,e00164f28d81,e1c96aca8aa9,e2972a4aa5d5,e7b153decb4b,e9ae574ff977,e9ba19111ba2,eecaa816b74b,f01cc7652e9e,f031c514ae35,f1a487408720,f695586984d6,fc6f5ded11aa,fef3a0e21aab
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,30.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,30.53,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.43,0.11,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.0,0.0,0.22,0.22,0.0,0.11,0.0,0.43,0.0,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,31.07,0.0,0.0,0.0,1.51,0.11,0.0,0.0,0.11,0.0,0.0,0.0,0.0
1,3.79,0.63,1.52,0.11,0.68,1.43,0.95,1.79,1.38,0.02,0.02,0.73,1.27,1.18,0.29,2.92,0.16,1.18,0.27,0.36,0.25,0.05,0.29,0.5,0.54,2.27,0.0,0.0,0.0,2.09,0.25,1.75,0.59,0.52,1.54,0.02,0.07,0.02,0.07,0.61,0.0,0.09,0.18,0.25,0.93,0.95,0.0,1.02,0.59,0.66,0.48,0.05,1.25,0.07,6.19,1.5,0.95,1.5,0.0,0.57,0.97,2.63,2.04,0.23,0.25,0.29,2.54,0.61,0.34,1.04,0.0,0.66,0.82,0.02,0.32,0.41,2.15,0.02,0.23,0.0,0.82,0.0,2.02,1.31,0.09,0.2,0.02,0.52,0.59,0.11,0.75,0.14,0.68,0.0,1.84,0.16,0.73,0.66,0.16,1.16,1.02,1.27,0.54,0.29,0.82,0.73,0.05,0.41,0.45,0.18,0.7,0.09,0.36,0.45,5.1,1.65,0.48,1.54,0.45,0.34,0.07,0.0,2.4,0.16,0.39,1.0,0.18,0.0,0.14,0.93,0.95
2,2.56,3.28,1.35,0.03,1.0,1.5,0.93,2.22,0.43,0.0,0.0,5.17,0.56,0.8,0.31,0.34,0.32,1.32,0.69,0.69,0.5,0.02,0.52,0.6,1.19,3.7,0.0,0.0,0.0,4.8,0.93,1.71,1.29,0.39,1.22,0.06,0.02,0.02,0.29,0.85,0.0,0.19,0.23,0.27,1.0,1.46,0.0,1.22,0.52,0.87,0.52,0.05,1.16,0.05,1.34,0.68,0.9,1.11,0.08,1.05,0.98,1.77,1.13,0.26,0.93,0.34,0.72,1.43,0.11,0.37,0.0,0.63,0.8,0.05,0.13,0.68,0.98,0.0,0.08,0.0,0.52,0.02,1.95,0.97,0.06,0.95,0.03,1.53,0.43,0.19,0.87,0.13,0.05,0.0,0.14,0.14,0.9,0.31,0.21,0.47,1.35,1.38,0.37,0.26,0.52,1.34,0.08,0.4,0.64,0.08,0.71,0.05,0.26,0.34,0.93,1.92,0.68,2.32,0.05,1.13,0.29,0.0,1.3,0.31,0.26,1.19,2.46,0.0,1.72,0.98,1.13
3,0.52,0.82,0.18,0.02,1.42,0.84,1.0,2.7,3.0,0.0,0.02,0.32,0.14,0.64,0.38,0.98,0.68,0.72,2.08,0.76,0.16,0.2,0.88,2.36,0.96,0.84,0.0,0.0,0.0,1.2,0.58,2.72,1.7,2.78,0.52,0.0,0.0,0.4,0.08,0.52,0.0,0.12,1.54,0.14,0.86,1.12,0.0,0.8,1.7,0.24,1.5,0.16,0.74,0.06,0.02,0.98,2.8,0.46,0.64,0.54,0.46,0.96,2.1,0.1,1.74,0.14,1.02,3.72,0.1,0.44,0.02,0.46,0.74,0.12,0.28,1.42,2.06,0.02,0.4,0.0,1.4,0.14,2.02,1.36,0.0,0.84,0.54,0.98,0.36,0.06,1.16,0.66,0.16,0.06,0.1,0.02,0.32,0.08,0.0,0.96,0.12,1.62,1.78,1.16,0.26,1.58,0.0,0.42,1.76,0.26,0.98,0.02,2.48,0.08,0.44,0.18,0.3,1.58,0.12,0.38,1.06,0.06,1.06,0.22,0.38,4.36,0.18,0.0,0.54,0.6,0.9
4,0.24,0.61,1.54,0.0,1.86,5.88,0.08,0.36,0.45,0.0,0.0,0.04,0.04,2.11,0.81,0.12,0.77,1.78,2.55,1.26,0.08,0.0,4.58,1.91,0.69,0.24,0.0,0.0,0.0,0.16,0.41,1.01,0.73,0.2,0.57,0.0,0.0,0.65,0.0,0.16,0.0,0.36,2.68,0.28,0.16,0.61,0.0,0.28,0.77,0.53,1.34,0.0,0.0,0.04,0.08,0.89,1.5,0.41,3.53,0.85,0.12,0.08,1.26,0.24,1.13,0.04,0.36,3.36,0.24,1.62,0.0,0.45,0.16,0.04,0.49,2.72,2.92,0.0,1.05,0.0,1.26,0.0,1.7,0.61,0.0,4.95,0.0,1.66,0.36,0.16,0.97,0.36,0.2,0.08,0.08,0.0,0.61,0.28,0.08,4.01,0.08,3.24,0.93,2.11,0.0,0.12,0.0,0.65,0.04,0.08,1.58,0.0,0.16,0.04,0.04,0.41,0.49,0.49,0.04,1.3,0.0,0.08,0.2,1.82,0.16,2.92,0.61,0.0,0.0,0.32,2.19
5,3.51,2.67,0.67,0.27,0.46,0.53,0.23,0.66,2.45,0.0,0.01,0.48,0.09,1.59,2.15,0.72,0.47,1.64,1.78,1.33,0.04,2.49,0.74,0.66,2.21,0.43,0.0,0.02,0.0,0.14,0.83,2.01,1.04,0.04,1.64,0.0,0.0,0.02,0.45,0.7,0.0,0.23,0.66,0.39,0.66,1.88,0.0,0.54,0.24,0.11,4.45,0.05,0.88,0.02,0.26,0.39,0.28,1.98,0.46,0.2,1.57,1.45,1.2,5.98,0.69,0.32,0.2,0.59,0.14,0.26,0.06,0.19,0.62,0.01,0.07,0.64,0.36,0.01,0.16,0.0,4.38,0.51,0.58,0.31,0.01,2.29,0.06,0.73,0.1,0.17,0.96,0.24,0.07,5.26,0.1,0.07,0.69,0.15,0.41,0.76,0.32,2.08,0.77,0.56,0.08,0.61,0.08,0.45,0.08,0.2,2.73,0.04,0.3,0.12,0.26,0.45,0.3,0.85,0.74,0.4,0.11,0.02,0.31,0.95,0.27,1.46,0.19,0.0,0.37,0.85,2.81
6,0.0,0.0,0.51,0.11,0.36,0.28,0.79,0.39,0.0,3.4,1.75,0.0,1.01,0.24,0.06,0.29,1.81,0.18,0.06,0.09,0.77,0.0,0.03,0.33,0.0,0.06,3.44,1.87,3.42,0.36,0.03,0.12,0.05,0.94,0.21,2.52,3.31,2.34,0.81,0.37,3.17,1.7,0.16,0.0,0.24,0.0,3.46,0.21,0.54,0.77,0.0,3.06,0.3,2.61,0.09,0.1,0.31,0.52,0.37,0.0,0.03,0.05,0.13,0.02,0.34,0.67,0.24,0.08,2.36,0.09,3.14,0.01,0.0,0.0,0.0,0.03,0.8,2.58,2.38,3.44,0.06,2.02,0.53,0.0,1.62,0.09,2.83,0.08,0.0,1.03,0.52,1.79,0.0,0.64,0.04,2.09,0.14,0.09,1.13,0.0,0.88,0.05,0.14,0.04,0.96,0.5,0.28,0.96,1.52,0.0,0.38,0.25,0.49,2.8,0.49,0.38,0.86,0.03,1.15,0.18,1.45,1.07,0.09,0.05,0.41,0.04,0.02,2.94,0.18,0.2,0.16
7,0.01,0.03,0.28,3.05,1.51,0.09,1.64,0.06,0.29,0.05,0.27,1.37,1.84,1.31,1.89,1.76,0.84,0.31,0.04,0.16,1.5,2.15,0.13,1.38,0.23,1.28,0.01,0.21,0.04,0.77,1.23,0.56,0.08,1.12,1.51,0.87,0.12,0.82,2.22,1.94,0.27,1.43,0.55,0.0,2.12,0.2,0.0,2.1,1.07,1.1,0.22,0.29,1.83,0.76,1.18,0.04,0.49,1.1,1.98,0.01,1.78,0.91,1.01,0.25,0.92,1.21,0.02,0.02,0.83,0.03,0.27,0.16,0.02,0.0,0.01,0.2,0.6,0.82,0.18,0.01,0.05,1.05,0.51,0.31,0.94,0.64,0.41,1.79,0.02,2.14,1.57,0.72,0.17,0.35,0.07,1.2,0.42,0.33,1.95,0.1,1.6,0.79,1.37,0.13,1.13,0.45,0.88,1.83,0.98,0.11,0.89,0.19,1.93,0.26,0.8,0.31,1.94,0.1,0.2,0.1,1.36,0.45,0.14,0.71,2.22,0.31,0.13,0.5,0.73,0.89,0.84
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,2.39,0.0,0.0,0.17,10.6,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.02,0.0,0.0,0.17,0.17,0.0,0.0,0.0,2.74,0.0,0.0,0.0,0.0,0.0,0.0,12.31,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.0,3.42,4.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.55,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.77,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54,0.22,0.0,0.0,0.11,0.33,0.0,0.0,0.0,0.77,0.0,0.11,0.0,0.0,14.03,0.0,0.0,0.44,13.04,0.99,0.66,0.0,0.0,0.22,0.0,0.0,0.0,0.11,0.55,0.0,0.0,0.0,0.0,8.18,0.0,0.0,0.0,24.53,0.0,0.0,0.0,0.33,0.0,0.0,0.33,0.11,0.0,0.11,2.43,3.2,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,2.1,0.0,11.82,0.33,0.0,0.0,0.0,1.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
