cluster,0114f2a9ef8e,011952cf0a27,02b3106d73c7,03c8338d7f1d,04666163609d,07efa654691a,08565e582514,0d9678df292f,0e6a45c8d43b,11c65598e4aa,127a14c3f85b,17a509e5b3fd,19153be7ac88,1a0b9aa571b5,1bd2d65d3ee4,1c8a857523c6,20eff1413834,259e3b12740a,27233c281b84,277f70c6024c,29abdc229bd7,2b6fe1934f34,2e1cb9ed40da,2e4065ba71b8,2e8f61c97ff0,30c53527a644,31a15c8a5985,320c764758d0,3341083403f9,3395624729d9,3446f68001b1,35d9bd5323b9,38194b2cee3c,3834b65f3a70,3a04ebb76f6a,426fb012b93d,43418b1f8c9d,43c6b2a5a249,49771a22ec98,4b5a8b35b128,4d0a1993dfcd,4df4744c39fb,4f514478e276,5050e482704a,51bcc44b2656,522ec2c9ceb6,524130194799,540f95348569,56bf498d0564,5937660386d6,5b13f13a01ed,5ea12751c266,5f23ca5327cd,5f4793761400,609781c124a2,60e6d6d2541a,65e32355a97a,6906cceeeb78,6c1405ef7062,6f00c403abd0,6fadd3d6b297,71d3885d1431,71d9a9f96bca,736f2de66813,7766e16a2d4a,78d0d9825060,7a2e7beb0672,7a6739bd338e,7bd57f96a653,7d4cfc37189e,806dc54ccb69,83c7fbada9b4,84736eaf5a9d,84bc6f535519,8748f2316ba9,883788a8f885,90a0336aae39,95ee02b21baa,960038979a08,99d555540f0d,9a3b34521cfa,9c890590d367,9fa8e9422c8d,a1c7814da365,a3551673db03,a436c4d5cbeb,a97896649004,ab6c9e4d8e64,ab80ec0882ca,acb5ee1b35fd,ad7b0d773a4a,add697153a07,b1a8b5dfd391,b46938568ddc,b476034a2e3d,b6b8b829ca63,b6e12ac4aa4b,ba38270a360e,bbfd7c7fa784,bf03a8cf21da,c1244d6dea7a,c32f47bda75b,c422e08d8f19,c4a177fb3092,c5fa6b7264f9,c762bb72bd52,c8b50ccf6f9c,cc26481a6b26,ce0e3832ae5b,ceaddbf817fc,cf5c2db7d01b,d0fbcc1108d8,d15c67c0173b,d18448fa2230,d4032a0b3dea,d55816977df1,d60abb43b0bc,d8555c97f799,e00164f28d81,e1c96aca8aa9,e2972a4aa5d5,e7b153decb4b,e9ae574ff977,e9ba19111ba2,eecaa816b74b,f01cc7652e9e,f031c514ae35,f1a487408720,f695586984d6,fc6f5ded11aa,fef3a0e21aab
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,0.0,0.0,0.0,0.21,0.11,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,9.34,0.0,0.0,0.11,11.78,0.32,0.21,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,32.17,0.0,0.0,0.0,17.83,0.0,0.0,0.0,1.59,0.0,0.0,0.0,0.11,0.0,0.11,7.01,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.87,0.0,7.54,1.38,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.63,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.69,4.05,0.0,0.0,2.84,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.17,0.43,0.0,0.6,0.34,1.55,4.91,0.0,0.0,2.67,0.0,0.17,0.0,0.0,0.09,0.0,0.0,0.0,0.26,2.67,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.62,4.05,0.0,0.0,0.0,0.0,0.34,0.0,2.15,0.0,0.0,0.0,0.0,6.63,0.78,0.09,0.52,6.2,0.0,0.0,0.26,0.09,2.07,0.0,0.09,0.52,0.09,4.65,0.0,0.0,1.38,5.25,1.21,2.84,0.09,0.0,1.55,0.0,0.09,0.0,0.09,1.21,0.0,3.1,0.0,0.0,2.67,0.0,0.0,0.26,0.34,0.17,0.0,0.0,1.21,0.0,0.0,2.5,0.0,0.26,0.0,9.39,0.09,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.17,0.09,0.0,0.26,0.78,5.17,0.0,0.0,0.0,3.88,0.86,0.09,0.26,0.0,0.0,0.0,0.34
3,0.03,0.3,3.7,0.0,0.73,1.2,0.1,0.27,2.66,0.0,0.0,0.0,0.0,0.53,0.07,0.0,0.5,5.46,3.56,1.47,0.0,0.0,2.26,0.77,1.83,0.0,0.0,0.0,0.0,0.03,0.0,0.17,3.03,0.97,0.03,0.0,0.0,0.2,0.0,0.07,0.0,0.03,2.76,5.29,0.0,0.23,0.0,0.03,1.13,0.0,0.5,0.0,0.0,0.0,0.03,2.1,4.46,0.03,0.47,2.3,0.27,0.87,0.4,0.63,2.1,0.0,1.73,2.1,0.0,1.6,0.0,0.13,1.63,2.26,3.23,4.63,0.27,0.03,0.33,0.0,0.57,0.07,0.33,3.5,0.0,0.23,0.0,0.63,1.03,0.0,0.0,0.0,3.36,0.0,0.27,0.03,0.37,0.03,0.0,3.8,0.07,0.07,1.27,2.53,0.2,1.03,0.0,0.0,0.07,0.77,0.1,0.0,0.17,0.07,0.03,0.1,0.03,1.17,0.0,2.1,0.0,0.0,2.9,0.13,0.13,0.6,0.63,0.0,0.0,0.03,0.07
4,0.11,1.81,1.45,0.0,0.51,2.2,0.29,2.05,0.75,0.0,0.0,0.15,0.04,0.31,0.2,0.07,0.07,0.42,1.67,2.09,0.0,0.0,1.54,0.26,2.16,0.18,0.0,0.0,0.0,0.2,0.0,0.24,2.78,0.62,0.07,0.0,0.0,0.02,0.02,0.68,0.0,0.0,1.67,5.11,0.0,0.26,0.0,0.02,1.85,0.07,0.24,0.0,0.11,0.0,0.93,2.8,0.95,0.24,0.07,4.87,0.48,0.48,0.44,0.35,0.62,0.02,5.88,1.98,0.02,3.83,0.0,0.15,1.1,0.64,3.04,2.18,0.37,0.0,0.86,0.0,1.37,0.09,0.95,2.45,0.0,0.37,0.11,0.18,1.98,0.0,0.13,0.04,3.48,0.0,0.51,0.0,0.64,0.04,0.0,1.28,0.2,0.15,1.61,1.7,2.18,1.06,0.0,0.0,0.24,0.2,0.11,0.02,0.02,0.42,1.61,0.15,0.0,0.86,0.02,3.68,0.31,0.0,3.92,0.09,0.53,0.9,1.45,0.0,0.07,0.13,0.13
5,0.0,0.06,0.81,0.0,0.0,0.5,0.0,0.81,0.44,0.0,0.0,0.06,0.0,0.06,0.0,0.0,0.06,0.75,0.62,0.75,0.0,0.0,1.37,0.25,3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.12,4.18,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,7.93,0.0,0.0,0.0,0.0,0.69,0.0,0.12,0.0,0.0,0.0,0.0,4.56,0.62,0.06,0.0,2.19,0.25,0.25,0.12,0.0,0.94,0.0,0.5,0.12,0.0,6.56,0.0,0.06,1.31,6.5,3.5,2.56,0.19,0.0,0.62,0.0,0.0,0.0,0.37,6.93,0.0,0.0,0.0,0.0,5.81,0.0,0.0,0.06,7.87,0.0,0.37,0.0,0.81,0.0,0.0,1.19,0.19,0.06,0.12,3.44,3.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,5.18,0.0,2.69,0.0,0.0,1.81,0.06,0.06,0.06,4.43,0.0,0.0,0.06,0.0
6,0.15,0.08,1.47,0.0,0.31,0.39,0.15,0.08,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,1.55,1.24,0.31,0.0,0.0,0.31,0.0,3.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.77,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,1.47,0.0,0.0,0.0,0.0,2.24,0.0,0.31,0.0,0.08,0.0,0.0,3.48,0.93,0.0,0.08,3.4,0.23,2.94,0.46,0.23,2.47,0.0,0.46,0.08,0.0,2.17,0.0,0.08,0.62,1.47,3.63,5.26,0.0,0.0,1.16,0.0,0.08,0.0,0.0,3.17,0.0,0.08,0.0,0.0,3.09,0.0,0.0,0.0,3.17,0.0,0.15,0.0,0.77,0.0,0.0,8.35,0.0,0.0,0.0,2.24,0.7,13.07,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,5.72,0.0,3.71,0.0,0.0,1.78,0.08,0.39,0.08,6.03,0.0,0.08,0.0,0.0
7,3.58,3.36,1.28,0.03,0.61,1.74,0.75,3.14,1.06,0.01,0.01,2.72,0.4,0.8,0.22,0.83,0.25,1.31,0.93,0.73,0.14,0.02,0.55,0.58,1.5,2.52,0.0,0.0,0.0,2.43,0.36,1.91,1.43,0.39,0.82,0.02,0.01,0.0,0.38,0.71,0.0,0.09,0.21,0.45,0.58,1.56,0.0,0.56,0.7,0.55,0.76,0.05,0.73,0.01,2.28,1.27,0.85,0.98,0.1,1.14,0.43,1.75,1.36,0.31,0.58,0.18,2.4,1.91,0.08,0.92,0.01,0.66,1.14,0.06,0.42,0.71,1.34,0.01,0.13,0.0,0.98,0.12,2.26,1.43,0.02,0.61,0.03,0.98,0.76,0.06,0.63,0.11,0.53,0.0,1.16,0.03,0.81,0.33,0.09,0.87,0.68,1.3,0.62,0.46,0.47,1.0,0.01,0.34,0.86,0.08,0.65,0.06,0.17,0.23,2.43,1.29,0.4,2.12,0.63,1.24,0.43,0.0,1.95,0.19,0.19,1.43,1.69,0.0,0.8,0.58,1.2
8,2.83,2.27,0.77,0.02,1.09,1.43,0.5,1.49,2.62,0.0,0.01,0.1,0.02,1.1,0.65,0.74,0.6,1.67,3.0,1.72,0.04,0.1,1.67,1.72,1.85,0.47,0.0,0.0,0.0,0.44,0.44,1.85,1.53,1.18,0.65,0.0,0.0,0.33,0.06,0.52,0.0,0.07,1.69,0.62,0.29,1.32,0.0,0.25,1.04,0.2,2.94,0.06,0.36,0.02,0.05,1.11,1.74,1.0,0.85,0.6,0.3,0.57,1.46,1.73,0.94,0.04,0.85,3.07,0.01,0.62,0.0,0.28,0.74,0.13,0.47,1.43,1.54,0.0,0.39,0.0,2.73,0.4,1.2,1.0,0.0,1.53,0.06,0.91,0.46,0.05,0.47,0.41,0.25,3.26,0.1,0.01,0.28,0.11,0.03,2.03,0.08,1.76,1.48,1.18,0.1,0.66,0.01,0.3,0.64,0.37,1.45,0.01,0.67,0.13,0.32,0.22,0.22,0.93,0.13,0.8,0.51,0.02,0.88,0.54,0.47,3.61,0.22,0.0,0.22,0.49,2.04
9,0.0,0.97,0.82,0.0,0.0,7.9,0.0,0.22,0.07,0.0,0.67,0.0,0.0,0.89,1.49,0.0,0.22,0.15,2.54,3.65,0.0,0.0,5.15,0.15,0.0,0.0,0.0,6.11,0.0,0.0,0.0,0.82,0.45,0.0,0.07,0.0,0.0,0.3,0.0,0.0,0.0,0.15,2.76,1.49,0.0,0.0,0.0,0.0,0.37,0.07,1.04,0.0,0.0,0.0,0.0,1.79,0.45,0.0,3.58,2.76,0.22,0.0,0.22,0.22,2.54,0.0,0.0,0.52,0.37,2.91,0.0,0.0,0.07,0.3,0.37,2.54,1.12,0.0,0.97,0.0,0.0,0.0,0.3,0.3,0.0,8.8,0.0,0.15,0.45,0.0,0.0,0.37,0.45,0.0,0.0,0.0,1.94,0.3,0.0,2.91,0.0,1.86,0.07,4.7,0.0,0.07,0.0,0.0,0.0,0.0,0.6,0.0,0.07,0.0,0.15,0.07,0.07,0.07,7.98,2.39,0.0,0.0,0.22,4.03,0.3,0.3,0.3,0.0,0.0,0.3,0.97
