cups,0,1,2,3,4,5,6,7,8,9,10,11,12
0114f2a9ef8e,0.0,0.0,0.0,0.14,0.69,0.0,0.27,49.45,41.48,0.0,7.83,0.14,0.0
011952cf0a27,0.0,0.0,1.1,1.23,11.23,0.14,0.14,46.16,33.29,1.78,4.52,0.41,0.0
02b3106d73c7,0.0,0.0,6.79,16.04,9.54,1.88,2.75,18.64,11.85,1.59,18.06,12.86,0.0
03c8338d7f1d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.27,0.0,29.4,69.92,0.0
04666163609d,0.0,0.0,0.0,3.19,3.33,0.0,0.58,8.84,16.81,0.0,34.06,33.19,0.0
07efa654691a,0.0,0.0,4.85,5.29,14.71,1.18,0.74,25.74,22.5,15.59,6.47,2.94,0.0
08565e582514,0.0,0.0,0.0,0.46,1.98,0.0,0.3,11.43,8.08,0.0,26.83,50.91,0.0
0d9678df292f,0.0,0.0,0.15,1.24,14.4,2.01,0.15,48.76,24.61,0.46,7.59,0.62,0.0
0e6a45c8d43b,0.27,0.0,0.14,10.97,4.66,0.96,1.23,14.54,38.41,0.14,27.3,1.37,0.0
11c65598e4aa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,1.2,97.59,0.0
127a14c3f85b,0.0,2.22,0.0,0.0,0.0,0.0,0.0,0.25,0.25,2.22,2.22,24.14,68.72
17a509e5b3fd,0.0,0.0,0.0,0.0,0.96,0.14,0.0,37.4,1.51,0.0,44.79,15.21,0.0
19153be7ac88,0.0,0.0,0.0,0.0,0.32,0.0,0.0,6.4,0.32,0.0,33.92,59.04,0.0
1a0b9aa571b5,0.0,0.0,0.28,2.28,1.99,0.14,0.0,11.4,16.81,1.71,41.31,24.07,0.0
1bd2d65d3ee4,0.0,0.0,0.68,0.27,1.23,0.0,0.0,3.01,9.45,2.74,53.15,29.45,0.0
1c8a857523c6,0.0,0.0,0.0,0.0,0.42,0.0,0.0,11.58,11.02,0.0,42.82,34.17,0.0
20eff1413834,0.0,0.0,1.22,2.62,0.52,0.17,0.35,4.37,11.19,0.52,13.81,65.21,0.0
259e3b12740a,0.0,0.0,0.56,23.13,2.68,1.69,2.82,18.62,25.25,0.28,14.39,10.58,0.0
27233c281b84,0.14,0.0,2.51,14.92,10.6,1.39,2.23,12.97,44.77,4.74,5.58,0.14,0.0
277f70c6024c,0.0,0.0,9.58,7.39,15.97,2.02,0.67,12.27,30.92,8.24,8.57,4.37,0.0
29abdc229bd7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.87,0.82,0.0,24.64,71.66,0.0
2b6fe1934f34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,1.51,0.0,73.29,24.93,0.0
2e1cb9ed40da,0.53,0.0,5.5,12.06,12.41,3.9,0.71,9.75,31.74,12.23,7.98,3.19,0.0
2e4065ba71b8,0.0,0.0,0.0,3.19,1.66,0.55,0.0,8.04,25.52,0.28,26.63,34.12,0.0
2e8f61c97ff0,0.0,0.0,0.27,7.55,13.46,7.83,6.73,20.74,27.2,0.0,14.29,1.92,0.0
30c53527a644,0.0,0.0,0.0,0.0,1.11,0.0,0.0,35.14,6.94,0.0,38.75,18.06,0.0
31a15c8a5985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,88.89,0.0
320c764758d0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,22.84,1.39,14.48,61.0
3341083403f9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.04,86.96,0.0
3395624729d9,0.0,0.0,0.0,0.15,1.37,0.0,0.0,37.08,7.14,0.0,49.7,4.56,0.0
3446f68001b1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.74,10.11,0.0,61.29,20.86,0.0
35d9bd5323b9,0.0,0.0,0.41,0.69,1.52,0.28,0.0,26.45,27.27,1.52,32.78,9.09,0.0
38194b2cee3c,0.83,0.0,4.26,12.52,17.33,9.22,1.38,19.81,22.56,0.83,8.94,2.34,0.0
3834b65f3a70,0.0,0.0,0.15,4.48,4.33,0.31,1.55,6.03,19.47,0.0,20.56,43.12,0.0
3a04ebb76f6a,0.0,0.0,0.0,0.14,0.42,0.0,0.14,11.45,9.78,0.14,52.09,25.84,0.0
426fb012b93d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,4.16,95.49,0.0
43418b1f8c9d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.0,0.0,9.68,88.71,0.0
43c6b2a5a249,0.0,0.0,0.0,1.01,0.17,0.0,0.0,0.0,5.87,0.67,5.2,87.08,0.0
49771a22ec98,0.0,0.0,0.0,0.0,0.18,0.0,0.0,6.71,1.06,0.0,37.63,54.42,0.0
4b5a8b35b128,0.0,0.0,0.0,0.28,4.42,0.0,0.0,10.11,7.98,0.0,34.9,42.31,0.0
4d0a1993dfcd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,98.71,0.0
4df4744c39fb,0.0,0.0,0.0,0.16,0.0,0.0,0.0,1.47,1.31,0.33,16.99,79.74,0.0
4f514478e276,0.0,0.0,6.39,12.63,11.57,1.22,3.04,3.2,27.55,5.63,18.42,10.35,0.0
5050e482704a,1.92,0.0,6.44,21.78,31.78,17.4,2.6,6.16,9.04,2.74,0.14,0.0,0.0
51bcc44b2656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.17,4.37,0.0,47.89,39.58,0.0
522ec2c9ceb6,0.0,0.0,0.0,1.49,2.55,0.0,0.0,33.4,30.0,0.0,28.72,3.83,0.0
524130194799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
540f95348569,0.0,0.0,0.0,0.14,0.14,0.0,0.0,7.7,3.71,0.0,52.41,35.9,0.0
56bf498d0564,0.0,0.0,0.57,4.82,11.9,1.56,4.11,9.92,15.72,0.71,15.58,34.99,0.14
5937660386d6,0.0,0.0,0.0,0.0,0.61,0.0,0.0,11.11,4.24,0.2,23.84,60.0,0.0
5b13f13a01ed,0.0,0.0,3.43,2.06,1.51,0.27,0.55,10.43,43.07,1.92,35.94,0.82,0.0
5ea12751c266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17,5.0,0.0,18.33,72.5,0.0
5f23ca5327cd,0.0,0.0,0.0,0.0,0.69,0.0,0.14,10.12,5.27,0.0,52.43,31.35,0.0
5f4793761400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.62,0.0,14.81,84.26,0.0
609781c124a2,0.0,0.0,0.0,0.14,5.82,0.0,0.0,31.72,0.69,0.0,46.68,14.96,0.0
60e6d6d2541a,2.65,0.0,10.75,8.8,17.74,10.2,6.28,17.88,16.62,3.35,4.19,1.54,0.0
65e32355a97a,0.0,0.0,1.32,19.59,6.29,1.46,1.75,12.43,27.19,0.88,17.11,11.84,0.15
6906cceeeb78,0.0,0.0,0.14,0.14,1.51,0.14,0.0,13.48,14.72,0.0,39.75,30.12,0.0
6c1405ef7062,0.0,0.0,0.83,1.93,0.41,0.0,0.14,1.38,12.55,6.62,23.72,52.41,0.0
6f00c403abd0,0.3,0.0,10.65,10.21,32.69,5.18,6.51,16.86,9.47,5.47,2.51,0.0,0.15
6fadd3d6b297,0.14,0.0,0.0,1.1,3.02,0.55,0.41,5.91,4.4,0.41,62.91,21.15,0.0
71d3885d1431,0.0,0.0,0.0,3.59,3.04,0.55,5.25,24.31,8.43,0.0,43.78,11.05,0.0
71d9a9f96bca,0.0,0.0,0.41,1.65,2.75,0.28,0.83,18.87,21.49,0.41,35.81,17.49,0.0
736f2de66813,0.0,0.0,0.14,2.62,2.2,0.0,0.41,4.27,25.48,0.41,63.64,0.83,0.0
