cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
27233c281b84;2021/08/07;01:00;0,226;;
27233c281b84;2021/08/07;02:00;0,589;;
27233c281b84;2021/08/07;03:00;0,141;;
27233c281b84;2021/08/07;04:00;0,131;;
27233c281b84;2021/08/07;05:00;0,130;;
27233c281b84;2021/08/07;06:00;0,723;;
27233c281b84;2021/08/07;07:00;0,137;;
27233c281b84;2021/08/07;08:00;0,125;;
27233c281b84;2021/08/07;09:00;0,120;;
27233c281b84;2021/08/07;10:00;0,461;;
27233c281b84;2021/08/07;11:00;0,328;;
27233c281b84;2021/08/07;12:00;0,445;;
27233c281b84;2021/08/07;13:00;0,363;;
27233c281b84;2021/08/07;14:00;0,623;;
27233c281b84;2021/08/07;15:00;0,804;;
27233c281b84;2021/08/07;16:00;0,298;;
27233c281b84;2021/08/07;17:00;0,159;;
27233c281b84;2021/08/07;18:00;1,443;;
27233c281b84;2021/08/07;19:00;0,473;;
27233c281b84;2021/08/07;20:00;1,116;;
27233c281b84;2021/08/07;21:00;1,616;;
27233c281b84;2021/08/07;22:00;0,278;;
27233c281b84;2021/08/07;23:00;0,322;;
27233c281b84;2021/08/07;24:00;0,614;;
27233c281b84;2021/08/08;01:00;0,472;;
27233c281b84;2021/08/08;02:00;1,491;;
27233c281b84;2021/08/08;03:00;0,134;;
27233c281b84;2021/08/08;04:00;0,128;;
27233c281b84;2021/08/08;05:00;0,220;;
27233c281b84;2021/08/08;06:00;0,468;;
27233c281b84;2021/08/08;07:00;0,139;;
27233c281b84;2021/08/08;08:00;0,538;;
27233c281b84;2021/08/08;09:00;0,248;;
27233c281b84;2021/08/08;10:00;0,134;;
27233c281b84;2021/08/08;11:00;0,134;;
27233c281b84;2021/08/08;12:00;0,818;;
27233c281b84;2021/08/08;13:00;0,166;;
27233c281b84;2021/08/08;14:00;0,148;;
27233c281b84;2021/08/08;15:00;0,107;;
27233c281b84;2021/08/08;16:00;0,502;;
27233c281b84;2021/08/08;17:00;0,043;;
27233c281b84;2021/08/08;18:00;0,180;;
27233c281b84;2021/08/08;19:00;1,630;;
27233c281b84;2021/08/08;20:00;0,752;;
27233c281b84;2021/08/08;21:00;0,754;;
27233c281b84;2021/08/08;22:00;0,237;;
27233c281b84;2021/08/08;23:00;0,193;;
27233c281b84;2021/08/08;24:00;0,721;;
27233c281b84;2021/08/09;01:00;0,265;;
27233c281b84;2021/08/09;02:00;0,152;;
27233c281b84;2021/08/09;03:00;0,130;;
27233c281b84;2021/08/09;04:00;0,498;;
27233c281b84;2021/08/09;05:00;0,125;;
27233c281b84;2021/08/09;06:00;0,221;;
27233c281b84;2021/08/09;07:00;0,595;;
27233c281b84;2021/08/09;08:00;0,135;;
27233c281b84;2021/08/09;09:00;0,183;;
27233c281b84;2021/08/09;10:00;0,511;;
27233c281b84;2021/08/09;11:00;0,134;;
27233c281b84;2021/08/09;12:00;0,224;;
27233c281b84;2021/08/09;13:00;1,123;;
27233c281b84;2021/08/09;14:00;0,168;;
27233c281b84;2021/08/09;15:00;0,228;;
27233c281b84;2021/08/09;16:00;0,140;;
27233c281b84;2021/08/09;17:00;0,786;;
27233c281b84;2021/08/09;18:00;0,328;;
27233c281b84;2021/08/09;19:00;1,343;;
27233c281b84;2021/08/09;20:00;0,246;;
27233c281b84;2021/08/09;21:00;0,218;;
27233c281b84;2021/08/09;22:00;0,604;;
27233c281b84;2021/08/09;23:00;0,417;;
27233c281b84;2021/08/09;24:00;1,004;;
27233c281b84;2021/08/10;01:00;0,466;;
27233c281b84;2021/08/10;02:00;0,155;;
27233c281b84;2021/08/10;03:00;0,555;;
27233c281b84;2021/08/10;04:00;0,133;;
27233c281b84;2021/08/10;05:00;0,130;;
27233c281b84;2021/08/10;06:00;0,281;;
27233c281b84;2021/08/10;07:00;0,484;;
27233c281b84;2021/08/10;08:00;0,214;;
27233c281b84;2021/08/10;09:00;0,212;;
27233c281b84;2021/08/10;10:00;0,601;;
27233c281b84;2021/08/10;11:00;0,147;;
27233c281b84;2021/08/10;12:00;0,220;;
27233c281b84;2021/08/10;13:00;0,302;;
27233c281b84;2021/08/10;14:00;0,568;;
27233c281b84;2021/08/10;15:00;0,996;;
27233c281b84;2021/08/10;16:00;0,150;;
27233c281b84;2021/08/10;17:00;0,174;;
27233c281b84;2021/08/10;18:00;0,804;;
27233c281b84;2021/08/10;19:00;0,222;;
27233c281b84;2021/08/10;20:00;1,248;;
27233c281b84;2021/08/10;21:00;0,983;;
27233c281b84;2021/08/10;22:00;0,175;;
27233c281b84;2021/08/10;23:00;0,141;;
27233c281b84;2021/08/10;24:00;0,567;;
