cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
277f70c6024c;2021/12/07;01:00;0,979;;
277f70c6024c;2021/12/07;02:00;1,578;;
277f70c6024c;2021/12/07;03:00;1,619;;
277f70c6024c;2021/12/07;04:00;1,381;;
277f70c6024c;2021/12/07;05:00;0,542;;
277f70c6024c;2021/12/07;06:00;0,150;;
277f70c6024c;2021/12/07;07:00;0,197;;
277f70c6024c;2021/12/07;08:00;0,168;;
277f70c6024c;2021/12/07;09:00;0,166;;
277f70c6024c;2021/12/07;10:00;0,225;;
277f70c6024c;2021/12/07;11:00;0,158;;
277f70c6024c;2021/12/07;12:00;0,821;;
277f70c6024c;2021/12/07;13:00;0,805;;
277f70c6024c;2021/12/07;14:00;0,196;;
277f70c6024c;2021/12/07;15:00;0,276;;
277f70c6024c;2021/12/07;16:00;0,276;;
277f70c6024c;2021/12/07;17:00;0,238;;
277f70c6024c;2021/12/07;18:00;0,266;;
277f70c6024c;2021/12/07;19:00;0,343;;
277f70c6024c;2021/12/07;20:00;1,112;;
277f70c6024c;2021/12/07;21:00;0,488;;
277f70c6024c;2021/12/07;22:00;0,417;;
277f70c6024c;2021/12/07;23:00;0,690;;
277f70c6024c;2021/12/07;24:00;1,639;;
277f70c6024c;2021/12/08;01:00;1,514;;
277f70c6024c;2021/12/08;02:00;1,713;;
277f70c6024c;2021/12/08;03:00;1,132;;
277f70c6024c;2021/12/08;04:00;1,039;;
277f70c6024c;2021/12/08;05:00;0,655;;
277f70c6024c;2021/12/08;06:00;0,131;;
277f70c6024c;2021/12/08;07:00;0,200;;
277f70c6024c;2021/12/08;08:00;0,183;;
277f70c6024c;2021/12/08;09:00;0,147;;
277f70c6024c;2021/12/08;10:00;0,161;;
277f70c6024c;2021/12/08;11:00;0,241;;
277f70c6024c;2021/12/08;12:00;1,053;;
277f70c6024c;2021/12/08;13:00;0,961;;
277f70c6024c;2021/12/08;14:00;0,429;;
277f70c6024c;2021/12/08;15:00;1,026;;
277f70c6024c;2021/12/08;16:00;0,669;;
277f70c6024c;2021/12/08;17:00;1,224;;
277f70c6024c;2021/12/08;18:00;1,204;;
277f70c6024c;2021/12/08;19:00;0,589;;
277f70c6024c;2021/12/08;20:00;0,335;;
277f70c6024c;2021/12/08;21:00;0,275;;
277f70c6024c;2021/12/08;22:00;1,532;;
277f70c6024c;2021/12/08;23:00;0,901;;
