cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
30c53527a644;2021/08/07;01:00;0,169;;
30c53527a644;2021/08/07;02:00;0,114;;
30c53527a644;2021/08/07;03:00;0,109;;
30c53527a644;2021/08/07;04:00;0,109;;
30c53527a644;2021/08/07;05:00;0,113;;
30c53527a644;2021/08/07;06:00;0,116;;
30c53527a644;2021/08/07;07:00;0,113;;
30c53527a644;2021/08/07;08:00;0,112;;
30c53527a644;2021/08/07;09:00;0,324;;
30c53527a644;2021/08/07;10:00;0,183;;
30c53527a644;2021/08/07;11:00;0,149;;
30c53527a644;2021/08/07;12:00;0,159;;
30c53527a644;2021/08/07;13:00;0,119;;
30c53527a644;2021/08/07;14:00;0,278;;
30c53527a644;2021/08/07;15:00;0,405;;
30c53527a644;2021/08/07;16:00;0,202;;
30c53527a644;2021/08/07;17:00;0,156;;
30c53527a644;2021/08/07;18:00;0,157;;
30c53527a644;2021/08/07;19:00;0,155;;
30c53527a644;2021/08/07;20:00;0,264;;
30c53527a644;2021/08/07;21:00;0,180;;
30c53527a644;2021/08/07;22:00;0,172;;
30c53527a644;2021/08/07;23:00;0,185;;
30c53527a644;2021/08/07;24:00;0,314;;
30c53527a644;2021/08/08;01:00;0,155;;
30c53527a644;2021/08/08;02:00;0,104;;
30c53527a644;2021/08/08;03:00;0,101;;
30c53527a644;2021/08/08;04:00;0,117;;
30c53527a644;2021/08/08;05:00;0,096;;
30c53527a644;2021/08/08;06:00;0,097;;
30c53527a644;2021/08/08;07:00;0,098;;
30c53527a644;2021/08/08;08:00;0,109;;
30c53527a644;2021/08/08;09:00;0,280;;
30c53527a644;2021/08/08;10:00;0,201;;
30c53527a644;2021/08/08;11:00;0,267;;
30c53527a644;2021/08/08;12:00;0,427;;
30c53527a644;2021/08/08;13:00;0,233;;
30c53527a644;2021/08/08;14:00;0,599;;
30c53527a644;2021/08/08;15:00;0,943;;
30c53527a644;2021/08/08;16:00;0,178;;
30c53527a644;2021/08/08;17:00;0,251;;
30c53527a644;2021/08/08;18:00;0,224;;
30c53527a644;2021/08/08;19:00;0,199;;
30c53527a644;2021/08/08;20:00;0,164;;
30c53527a644;2021/08/08;21:00;0,316;;
30c53527a644;2021/08/08;22:00;0,189;;
30c53527a644;2021/08/08;23:00;0,259;;
30c53527a644;2021/08/08;24:00;0,250;;
30c53527a644;2021/08/09;01:00;0,178;;
30c53527a644;2021/08/09;02:00;0,193;;
30c53527a644;2021/08/09;03:00;0,158;;
30c53527a644;2021/08/09;04:00;0,104;;
30c53527a644;2021/08/09;05:00;0,102;;
30c53527a644;2021/08/09;06:00;0,114;;
30c53527a644;2021/08/09;07:00;0,098;;
30c53527a644;2021/08/09;08:00;0,122;;
30c53527a644;2021/08/09;09:00;0,430;;
30c53527a644;2021/08/09;10:00;0,310;;
30c53527a644;2021/08/09;11:00;0,230;;
30c53527a644;2021/08/09;12:00;0,240;;
30c53527a644;2021/08/09;13:00;0,316;;
30c53527a644;2021/08/09;14:00;0,488;;
30c53527a644;2021/08/09;15:00;0,684;;
30c53527a644;2021/08/09;16:00;0,202;;
30c53527a644;2021/08/09;17:00;0,291;;
30c53527a644;2021/08/09;18:00;0,303;;
30c53527a644;2021/08/09;19:00;0,298;;
30c53527a644;2021/08/09;20:00;0,217;;
30c53527a644;2021/08/09;21:00;0,258;;
30c53527a644;2021/08/09;22:00;0,268;;
30c53527a644;2021/08/09;23:00;0,221;;
30c53527a644;2021/08/09;24:00;0,368;;
30c53527a644;2021/08/10;01:00;0,119;;
30c53527a644;2021/08/10;02:00;0,117;;
30c53527a644;2021/08/10;03:00;0,120;;
30c53527a644;2021/08/10;04:00;0,125;;
30c53527a644;2021/08/10;05:00;0,135;;
30c53527a644;2021/08/10;06:00;0,147;;
30c53527a644;2021/08/10;07:00;0,112;;
30c53527a644;2021/08/10;08:00;0,110;;
30c53527a644;2021/08/10;09:00;0,397;;
30c53527a644;2021/08/10;10:00;0,839;;
30c53527a644;2021/08/10;11:00;0,195;;
30c53527a644;2021/08/10;12:00;0,180;;
30c53527a644;2021/08/10;13:00;0,282;;
30c53527a644;2021/08/10;14:00;0,371;;
30c53527a644;2021/08/10;15:00;1,077;;
30c53527a644;2021/08/10;16:00;0,214;;
30c53527a644;2021/08/10;17:00;0,203;;
30c53527a644;2021/08/10;18:00;0,165;;
30c53527a644;2021/08/10;19:00;0,568;;
30c53527a644;2021/08/10;20:00;0,773;;
30c53527a644;2021/08/10;21:00;0,629;;
30c53527a644;2021/08/10;22:00;0,516;;
30c53527a644;2021/08/10;23:00;0,404;;
30c53527a644;2021/08/10;24:00;0,372;;
30c53527a644;2021/08/11;01:00;0,154;;
30c53527a644;2021/08/11;02:00;0,145;;
30c53527a644;2021/08/11;03:00;0,141;;
30c53527a644;2021/08/11;04:00;0,142;;
30c53527a644;2021/08/11;05:00;0,180;;
30c53527a644;2021/08/11;06:00;0,175;;
30c53527a644;2021/08/11;07:00;0,143;;
30c53527a644;2021/08/11;08:00;0,177;;
30c53527a644;2021/08/11;09:00;0,332;;
30c53527a644;2021/08/11;10:00;0,106;;
30c53527a644;2021/08/11;11:00;0,074;;
30c53527a644;2021/08/11;12:00;0,253;;
30c53527a644;2021/08/11;13:00;0,684;;
30c53527a644;2021/08/11;14:00;0,444;;
30c53527a644;2021/08/11;15:00;0,295;;
30c53527a644;2021/08/11;16:00;0,244;;
30c53527a644;2021/08/11;17:00;0,216;;
30c53527a644;2021/08/11;18:00;0,776;;
30c53527a644;2021/08/11;19:00;1,128;;
30c53527a644;2021/08/11;20:00;0,788;;
30c53527a644;2021/08/11;21:00;0,872;;
30c53527a644;2021/08/11;22:00;0,497;;
30c53527a644;2021/08/11;23:00;0,457;;
30c53527a644;2021/08/11;24:00;0,327;;
30c53527a644;2021/08/12;01:00;0,147;;
30c53527a644;2021/08/12;02:00;0,156;;
30c53527a644;2021/08/12;03:00;0,158;;
30c53527a644;2021/08/12;04:00;0,146;;
30c53527a644;2021/08/12;05:00;0,140;;
30c53527a644;2021/08/12;06:00;0,138;;
30c53527a644;2021/08/12;07:00;0,140;;
30c53527a644;2021/08/12;08:00;0,163;;
30c53527a644;2021/08/12;09:00;0,469;;
30c53527a644;2021/08/12;10:00;0,180;;
30c53527a644;2021/08/12;11:00;0,180;;
30c53527a644;2021/08/12;12:00;0,210;;
30c53527a644;2021/08/12;13:00;0,130;;
30c53527a644;2021/08/12;14:00;0,181;;
30c53527a644;2021/08/12;15:00;0,691;;
30c53527a644;2021/08/12;16:00;0,247;;
30c53527a644;2021/08/12;17:00;0,521;;
30c53527a644;2021/08/12;18:00;0,217;;
30c53527a644;2021/08/12;19:00;0,218;;
30c53527a644;2021/08/12;20:00;0,181;;
30c53527a644;2021/08/12;21:00;1,185;;
30c53527a644;2021/08/12;22:00;1,149;;
30c53527a644;2021/08/12;23:00;0,771;;
30c53527a644;2021/08/12;24:00;0,499;;
30c53527a644;2021/08/13;01:00;0,186;;
30c53527a644;2021/08/13;02:00;0,180;;
30c53527a644;2021/08/13;03:00;0,152;;
30c53527a644;2021/08/13;04:00;0,151;;
30c53527a644;2021/08/13;05:00;0,155;;
30c53527a644;2021/08/13;06:00;0,140;;
30c53527a644;2021/08/13;07:00;0,120;;
30c53527a644;2021/08/13;08:00;0,117;;
30c53527a644;2021/08/13;09:00;0,309;;
30c53527a644;2021/08/13;10:00;0,214;;
30c53527a644;2021/08/13;11:00;0,817;;
30c53527a644;2021/08/13;12:00;0,433;;
30c53527a644;2021/08/13;13:00;0,175;;
30c53527a644;2021/08/13;14:00;0,213;;
30c53527a644;2021/08/13;15:00;0,434;;
30c53527a644;2021/08/13;16:00;0,406;;
30c53527a644;2021/08/13;17:00;0,810;;
30c53527a644;2021/08/13;18:00;0,179;;
30c53527a644;2021/08/13;19:00;0,629;;
30c53527a644;2021/08/13;20:00;1,322;;
30c53527a644;2021/08/13;21:00;1,137;;
30c53527a644;2021/08/13;22:00;0,674;;
30c53527a644;2021/08/13;23:00;0,621;;
30c53527a644;2021/08/13;24:00;0,462;;
30c53527a644;2021/08/14;01:00;0,244;;
30c53527a644;2021/08/14;02:00;0,230;;
30c53527a644;2021/08/14;03:00;0,219;;
30c53527a644;2021/08/14;04:00;0,226;;
30c53527a644;2021/08/14;05:00;0,227;;
