cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
6906cceeeb78;2021/08/07;01:00;0,106;;
6906cceeeb78;2021/08/07;02:00;0,095;;
6906cceeeb78;2021/08/07;03:00;0,109;;
6906cceeeb78;2021/08/07;04:00;0,108;;
6906cceeeb78;2021/08/07;05:00;0,110;;
6906cceeeb78;2021/08/07;06:00;0,088;;
6906cceeeb78;2021/08/07;07:00;0,115;;
6906cceeeb78;2021/08/07;08:00;0,333;;
6906cceeeb78;2021/08/07;09:00;0,101;;
6906cceeeb78;2021/08/07;10:00;0,097;;
6906cceeeb78;2021/08/07;11:00;0,112;;
6906cceeeb78;2021/08/07;12:00;0,107;;
6906cceeeb78;2021/08/07;13:00;0,092;;
6906cceeeb78;2021/08/07;14:00;0,104;;
6906cceeeb78;2021/08/07;15:00;0,103;;
6906cceeeb78;2021/08/07;16:00;0,341;;
6906cceeeb78;2021/08/07;17:00;0,088;;
6906cceeeb78;2021/08/07;18:00;0,116;;
6906cceeeb78;2021/08/07;19:00;0,104;;
6906cceeeb78;2021/08/07;20:00;0,099;;
6906cceeeb78;2021/08/07;21:00;0,099;;
6906cceeeb78;2021/08/07;22:00;0,109;;
6906cceeeb78;2021/08/07;23:00;0,110;;
6906cceeeb78;2021/08/07;24:00;0,320;;
6906cceeeb78;2021/08/08;01:00;0,112;;
6906cceeeb78;2021/08/08;02:00;0,104;;
6906cceeeb78;2021/08/08;03:00;0,110;;
6906cceeeb78;2021/08/08;04:00;0,094;;
6906cceeeb78;2021/08/08;05:00;0,161;;
6906cceeeb78;2021/08/08;06:00;0,115;;
6906cceeeb78;2021/08/08;07:00;0,111;;
6906cceeeb78;2021/08/08;08:00;0,327;;
6906cceeeb78;2021/08/08;09:00;0,111;;
6906cceeeb78;2021/08/08;10:00;0,091;;
6906cceeeb78;2021/08/08;11:00;0,106;;
6906cceeeb78;2021/08/08;12:00;0,103;;
6906cceeeb78;2021/08/08;13:00;0,110;;
6906cceeeb78;2021/08/08;14:00;0,089;;
6906cceeeb78;2021/08/08;15:00;0,108;;
6906cceeeb78;2021/08/08;16:00;0,332;;
6906cceeeb78;2021/08/08;17:00;0,109;;
6906cceeeb78;2021/08/08;18:00;0,088;;
6906cceeeb78;2021/08/08;19:00;0,117;;
6906cceeeb78;2021/08/08;20:00;0,104;;
6906cceeeb78;2021/08/08;21:00;0,098;;
6906cceeeb78;2021/08/08;22:00;0,096;;
6906cceeeb78;2021/08/08;23:00;0,111;;
6906cceeeb78;2021/08/08;24:00;0,339;;
6906cceeeb78;2021/08/09;01:00;0,092;;
6906cceeeb78;2021/08/09;02:00;0,105;;
6906cceeeb78;2021/08/09;03:00;0,107;;
6906cceeeb78;2021/08/09;04:00;0,114;;
6906cceeeb78;2021/08/09;05:00;0,088;;
6906cceeeb78;2021/08/09;06:00;0,112;;
6906cceeeb78;2021/08/09;07:00;0,102;;
6906cceeeb78;2021/08/09;08:00;0,327;;
6906cceeeb78;2021/08/09;09:00;0,097;;
6906cceeeb78;2021/08/09;10:00;0,116;;
6906cceeeb78;2021/08/09;11:00;0,104;;
6906cceeeb78;2021/08/09;12:00;0,095;;
6906cceeeb78;2021/08/09;13:00;0,100;;
