cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
83c7fbada9b4;2023/02/06;01:00;0,059;;
83c7fbada9b4;2023/02/06;02:00;0,048;;
83c7fbada9b4;2023/02/06;03:00;0,043;;
83c7fbada9b4;2023/02/06;04:00;0,040;;
83c7fbada9b4;2023/02/06;05:00;0,039;;
83c7fbada9b4;2023/02/06;06:00;0,040;;
83c7fbada9b4;2023/02/06;07:00;0,047;;
83c7fbada9b4;2023/02/06;08:00;0,061;;
83c7fbada9b4;2023/02/06;09:00;0,289;;
83c7fbada9b4;2023/02/06;10:00;0,301;;
83c7fbada9b4;2023/02/06;11:00;0,313;;
83c7fbada9b4;2023/02/06;12:00;0,310;;
83c7fbada9b4;2023/02/06;13:00;0,308;;
83c7fbada9b4;2023/02/06;14:00;0,322;;
83c7fbada9b4;2023/02/06;15:00;0,323;;
83c7fbada9b4;2023/02/06;16:00;0,304;;
83c7fbada9b4;2023/02/06;17:00;0,290;;
83c7fbada9b4;2023/02/06;18:00;0,292;;
83c7fbada9b4;2023/02/06;19:00;0,319;;
83c7fbada9b4;2023/02/06;20:00;0,388;;
83c7fbada9b4;2023/02/06;21:00;0,429;;
83c7fbada9b4;2023/02/06;22:00;0,433;;
83c7fbada9b4;2023/02/06;23:00;0,394;;
83c7fbada9b4;2023/02/06;24:00;0,326;;
83c7fbada9b4;2023/02/07;01:00;0,136;;
83c7fbada9b4;2023/02/07;02:00;0,034;;
83c7fbada9b4;2023/02/07;03:00;0,020;;
83c7fbada9b4;2023/02/07;04:00;0,040;;
83c7fbada9b4;2023/02/07;05:00;0,153;;
83c7fbada9b4;2023/02/07;06:00;0,123;;
83c7fbada9b4;2023/02/07;07:00;0,026;;
83c7fbada9b4;2023/02/07;08:00;0,483;;
83c7fbada9b4;2023/02/07;09:00;0,193;;
83c7fbada9b4;2023/02/07;10:00;0,025;;
83c7fbada9b4;2023/02/07;11:00;0,011;;
83c7fbada9b4;2023/02/07;12:00;0,125;;
83c7fbada9b4;2023/02/07;13:00;0,025;;
83c7fbada9b4;2023/02/07;14:00;0,000;;
83c7fbada9b4;2023/02/07;15:00;0,154;;
83c7fbada9b4;2023/02/07;16:00;0,015;;
83c7fbada9b4;2023/02/07;17:00;0,163;;
83c7fbada9b4;2023/02/07;18:00;0,150;;
83c7fbada9b4;2023/02/07;19:00;0,208;;
83c7fbada9b4;2023/02/07;20:00;1,447;;
83c7fbada9b4;2023/02/07;21:00;1,191;;
83c7fbada9b4;2023/02/07;22:00;1,959;;
83c7fbada9b4;2023/02/07;23:00;0,815;;
83c7fbada9b4;2023/02/07;24:00;0,022;;
83c7fbada9b4;2023/02/08;01:00;0,139;;
83c7fbada9b4;2023/02/08;02:00;0,011;;
83c7fbada9b4;2023/02/08;03:00;0,016;;
83c7fbada9b4;2023/02/08;04:00;0,026;;
83c7fbada9b4;2023/02/08;05:00;0,138;;
83c7fbada9b4;2023/02/08;06:00;0,137;;
83c7fbada9b4;2023/02/08;07:00;0,032;;
83c7fbada9b4;2023/02/08;08:00;0,603;;
83c7fbada9b4;2023/02/08;09:00;0,411;;
83c7fbada9b4;2023/02/08;10:00;0,027;;
83c7fbada9b4;2023/02/08;11:00;0,103;;
83c7fbada9b4;2023/02/08;12:00;0,027;;
83c7fbada9b4;2023/02/08;13:00;0,122;;
83c7fbada9b4;2023/02/08;14:00;0,013;;
83c7fbada9b4;2023/02/08;15:00;0,027;;
83c7fbada9b4;2023/02/08;16:00;0,125;;
83c7fbada9b4;2023/02/08;17:00;0,886;;
83c7fbada9b4;2023/02/08;18:00;0,683;;
83c7fbada9b4;2023/02/08;19:00;0,690;;
83c7fbada9b4;2023/02/08;20:00;0,351;;
83c7fbada9b4;2023/02/08;21:00;0,097;;
83c7fbada9b4;2023/02/08;22:00;0,349;;
83c7fbada9b4;2023/02/08;23:00;0,220;;
83c7fbada9b4;2023/02/08;24:00;0,918;;
83c7fbada9b4;2023/02/09;01:00;0,304;;
83c7fbada9b4;2023/02/09;02:00;0,001;;
83c7fbada9b4;2023/02/09;03:00;0,025;;
83c7fbada9b4;2023/02/09;04:00;0,025;;
83c7fbada9b4;2023/02/09;05:00;0,132;;
83c7fbada9b4;2023/02/09;06:00;0,185;;
83c7fbada9b4;2023/02/09;07:00;0,023;;
83c7fbada9b4;2023/02/09;08:00;0,476;;
83c7fbada9b4;2023/02/09;09:00;0,086;;
83c7fbada9b4;2023/02/09;10:00;0,128;;
83c7fbada9b4;2023/02/09;11:00;0,012;;
83c7fbada9b4;2023/02/09;12:00;0,014;;
83c7fbada9b4;2023/02/09;13:00;0,026;;
83c7fbada9b4;2023/02/09;14:00;0,120;;
83c7fbada9b4;2023/02/09;15:00;0,027;;
83c7fbada9b4;2023/02/09;16:00;0,013;;
83c7fbada9b4;2023/02/09;17:00;0,015;;
83c7fbada9b4;2023/02/09;18:00;0,177;;
83c7fbada9b4;2023/02/09;19:00;0,000;;
83c7fbada9b4;2023/02/09;20:00;0,055;;
83c7fbada9b4;2023/02/09;21:00;1,088;;
83c7fbada9b4;2023/02/09;22:00;0,892;;
83c7fbada9b4;2023/02/09;23:00;0,017;;
83c7fbada9b4;2023/02/09;24:00;0,135;;
83c7fbada9b4;2023/02/10;01:00;0,000;;
83c7fbada9b4;2023/02/10;02:00;0,026;;
83c7fbada9b4;2023/02/10;03:00;0,018;;
83c7fbada9b4;2023/02/10;04:00;0,141;;
83c7fbada9b4;2023/02/10;05:00;0,027;;
83c7fbada9b4;2023/02/10;06:00;0,196;;
83c7fbada9b4;2023/02/10;07:00;0,027;;
83c7fbada9b4;2023/02/10;08:00;0,270;;
83c7fbada9b4;2023/02/10;09:00;0,444;;
83c7fbada9b4;2023/02/10;10:00;0,027;;
83c7fbada9b4;2023/02/10;11:00;0,100;;
