cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
84736eaf5a9d;2022/08/01;01:00;0,369;;
84736eaf5a9d;2022/08/01;02:00;0,344;;
84736eaf5a9d;2022/08/01;03:00;0,283;;
84736eaf5a9d;2022/08/01;04:00;0,201;;
84736eaf5a9d;2022/08/01;05:00;0,253;;
84736eaf5a9d;2022/08/01;06:00;0,439;;
84736eaf5a9d;2022/08/01;07:00;0,335;;
84736eaf5a9d;2022/08/01;08:00;0,297;;
84736eaf5a9d;2022/08/01;09:00;0,527;;
84736eaf5a9d;2022/08/01;10:00;0,327;;
84736eaf5a9d;2022/08/01;11:00;0,118;;
84736eaf5a9d;2022/08/01;12:00;0,110;;
84736eaf5a9d;2022/08/01;13:00;0,110;;
84736eaf5a9d;2022/08/01;14:00;0,112;;
84736eaf5a9d;2022/08/01;15:00;1,294;;
84736eaf5a9d;2022/08/01;16:00;0,972;;
84736eaf5a9d;2022/08/01;17:00;3,093;;
84736eaf5a9d;2022/08/01;18:00;2,977;;
84736eaf5a9d;2022/08/01;19:00;2,512;;
84736eaf5a9d;2022/08/01;20:00;2,513;;
84736eaf5a9d;2022/08/01;21:00;1,994;;
84736eaf5a9d;2022/08/01;22:00;0,406;;
84736eaf5a9d;2022/08/01;23:00;0,413;;
84736eaf5a9d;2022/08/01;24:00;0,304;;
84736eaf5a9d;2022/08/02;01:00;0,126;;
84736eaf5a9d;2022/08/02;02:00;0,123;;
84736eaf5a9d;2022/08/02;03:00;0,123;;
84736eaf5a9d;2022/08/02;04:00;0,129;;
84736eaf5a9d;2022/08/02;05:00;0,126;;
84736eaf5a9d;2022/08/02;06:00;0,145;;
84736eaf5a9d;2022/08/02;07:00;0,120;;
84736eaf5a9d;2022/08/02;08:00;0,116;;
84736eaf5a9d;2022/08/02;09:00;0,106;;
84736eaf5a9d;2022/08/02;10:00;0,069;;
84736eaf5a9d;2022/08/02;11:00;0,068;;
84736eaf5a9d;2022/08/02;12:00;0,109;;
84736eaf5a9d;2022/08/02;13:00;0,074;;
84736eaf5a9d;2022/08/02;14:00;0,000;;
84736eaf5a9d;2022/08/02;15:00;0,219;;
84736eaf5a9d;2022/08/02;16:00;1,449;;
84736eaf5a9d;2022/08/02;17:00;0,659;;
84736eaf5a9d;2022/08/02;18:00;0,261;;
84736eaf5a9d;2022/08/02;19:00;0,177;;
84736eaf5a9d;2022/08/02;20:00;0,131;;
84736eaf5a9d;2022/08/02;21:00;0,128;;
84736eaf5a9d;2022/08/02;22:00;0,263;;
84736eaf5a9d;2022/08/02;23:00;0,457;;
84736eaf5a9d;2022/08/02;24:00;0,597;;
84736eaf5a9d;2022/08/03;01:00;0,205;;
84736eaf5a9d;2022/08/03;02:00;0,211;;
84736eaf5a9d;2022/08/03;03:00;0,211;;
84736eaf5a9d;2022/08/03;04:00;0,208;;
84736eaf5a9d;2022/08/03;05:00;0,213;;
84736eaf5a9d;2022/08/03;06:00;0,224;;
84736eaf5a9d;2022/08/03;07:00;0,149;;
84736eaf5a9d;2022/08/03;08:00;0,130;;
84736eaf5a9d;2022/08/03;09:00;0,189;;
84736eaf5a9d;2022/08/03;10:00;0,128;;
84736eaf5a9d;2022/08/03;11:00;0,213;;
84736eaf5a9d;2022/08/03;12:00;0,123;;
84736eaf5a9d;2022/08/03;13:00;0,098;;
84736eaf5a9d;2022/08/03;14:00;0,098;;
84736eaf5a9d;2022/08/03;15:00;0,100;;
84736eaf5a9d;2022/08/03;16:00;0,602;;
84736eaf5a9d;2022/08/03;17:00;0,206;;
84736eaf5a9d;2022/08/03;18:00;0,207;;
84736eaf5a9d;2022/08/03;19:00;0,197;;
84736eaf5a9d;2022/08/03;20:00;0,732;;
84736eaf5a9d;2022/08/03;21:00;0,328;;
84736eaf5a9d;2022/08/03;22:00;0,285;;
84736eaf5a9d;2022/08/03;23:00;0,254;;
84736eaf5a9d;2022/08/03;24:00;0,206;;
84736eaf5a9d;2022/08/04;01:00;0,202;;
84736eaf5a9d;2022/08/04;02:00;0,154;;
84736eaf5a9d;2022/08/04;03:00;0,200;;
84736eaf5a9d;2022/08/04;04:00;0,175;;
84736eaf5a9d;2022/08/04;05:00;0,174;;
84736eaf5a9d;2022/08/04;06:00;0,203;;
84736eaf5a9d;2022/08/04;07:00;0,133;;
84736eaf5a9d;2022/08/04;08:00;0,133;;
84736eaf5a9d;2022/08/04;09:00;0,128;;
84736eaf5a9d;2022/08/04;10:00;0,208;;
84736eaf5a9d;2022/08/04;11:00;0,166;;
84736eaf5a9d;2022/08/04;12:00;0,125;;
84736eaf5a9d;2022/08/04;13:00;0,098;;
84736eaf5a9d;2022/08/04;14:00;0,111;;
