cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
b476034a2e3d;2023/02/08;01:00;0,715;;
b476034a2e3d;2023/02/08;02:00;0,043;;
b476034a2e3d;2023/02/08;03:00;0,040;;
b476034a2e3d;2023/02/08;04:00;0,041;;
b476034a2e3d;2023/02/08;05:00;0,041;;
b476034a2e3d;2023/02/08;06:00;0,040;;
b476034a2e3d;2023/02/08;07:00;0,169;;
b476034a2e3d;2023/02/08;08:00;0,052;;
b476034a2e3d;2023/02/08;09:00;0,033;;
b476034a2e3d;2023/02/08;10:00;0,043;;
b476034a2e3d;2023/02/08;11:00;1,011;;
b476034a2e3d;2023/02/08;12:00;2,355;;
b476034a2e3d;2023/02/08;13:00;1,595;;
b476034a2e3d;2023/02/08;14:00;1,590;;
b476034a2e3d;2023/02/08;15:00;2,046;;
b476034a2e3d;2023/02/08;16:00;1,258;;
b476034a2e3d;2023/02/08;17:00;1,696;;
b476034a2e3d;2023/02/08;18:00;0,676;;
b476034a2e3d;2023/02/08;19:00;0,819;;
b476034a2e3d;2023/02/08;20:00;0,455;;
b476034a2e3d;2023/02/08;21:00;1,391;;
b476034a2e3d;2023/02/08;22:00;0,350;;
b476034a2e3d;2023/02/08;23:00;0,198;;
b476034a2e3d;2023/02/08;24:00;0,345;;
b476034a2e3d;2023/02/09;01:00;0,489;;
b476034a2e3d;2023/02/09;02:00;0,153;;
b476034a2e3d;2023/02/09;03:00;0,057;;
b476034a2e3d;2023/02/09;04:00;0,188;;
b476034a2e3d;2023/02/09;05:00;0,046;;
b476034a2e3d;2023/02/09;06:00;0,039;;
b476034a2e3d;2023/02/09;07:00;0,097;;
b476034a2e3d;2023/02/09;08:00;0,083;;
b476034a2e3d;2023/02/09;09:00;0,043;;
b476034a2e3d;2023/02/09;10:00;0,320;;
b476034a2e3d;2023/02/09;11:00;1,145;;
b476034a2e3d;2023/02/09;12:00;1,542;;
b476034a2e3d;2023/02/09;13:00;1,494;;
b476034a2e3d;2023/02/09;14:00;0,850;;
b476034a2e3d;2023/02/09;15:00;1,927;;
b476034a2e3d;2023/02/09;16:00;1,401;;
b476034a2e3d;2023/02/09;17:00;1,549;;
b476034a2e3d;2023/02/09;18:00;0,215;;
b476034a2e3d;2023/02/09;19:00;0,893;;
b476034a2e3d;2023/02/09;20:00;0,900;;
b476034a2e3d;2023/02/09;21:00;1,638;;
b476034a2e3d;2023/02/09;22:00;1,802;;
b476034a2e3d;2023/02/09;23:00;1,304;;
b476034a2e3d;2023/02/09;24:00;1,454;;
b476034a2e3d;2023/02/10;01:00;1,362;;
b476034a2e3d;2023/02/10;02:00;1,654;;
b476034a2e3d;2023/02/10;03:00;0,274;;
b476034a2e3d;2023/02/10;04:00;0,043;;
b476034a2e3d;2023/02/10;05:00;0,041;;
b476034a2e3d;2023/02/10;06:00;0,101;;
b476034a2e3d;2023/02/10;07:00;0,135;;
b476034a2e3d;2023/02/10;08:00;0,042;;
b476034a2e3d;2023/02/10;09:00;0,040;;
b476034a2e3d;2023/02/10;10:00;0,239;;
b476034a2e3d;2023/02/10;11:00;1,948;;
b476034a2e3d;2023/02/10;12:00;1,860;;
b476034a2e3d;2023/02/10;13:00;1,890;;
b476034a2e3d;2023/02/10;14:00;2,452;;
b476034a2e3d;2023/02/10;15:00;1,635;;
b476034a2e3d;2023/02/10;16:00;1,783;;
b476034a2e3d;2023/02/10;17:00;1,995;;
b476034a2e3d;2023/02/10;18:00;1,298;;
b476034a2e3d;2023/02/10;19:00;1,295;;
b476034a2e3d;2023/02/10;20:00;1,420;;
b476034a2e3d;2023/02/10;21:00;1,480;;
b476034a2e3d;2023/02/10;22:00;1,803;;
b476034a2e3d;2023/02/10;23:00;2,169;;
b476034a2e3d;2023/02/10;24:00;1,339;;
b476034a2e3d;2023/02/11;01:00;1,479;;
b476034a2e3d;2023/02/11;02:00;1,340;;
b476034a2e3d;2023/02/11;03:00;0,305;;
b476034a2e3d;2023/02/11;04:00;0,118;;
b476034a2e3d;2023/02/11;05:00;0,140;;
b476034a2e3d;2023/02/11;06:00;0,051;;
b476034a2e3d;2023/02/11;07:00;0,116;;
b476034a2e3d;2023/02/11;08:00;0,839;;
b476034a2e3d;2023/02/11;09:00;0,077;;
b476034a2e3d;2023/02/11;10:00;0,189;;
b476034a2e3d;2023/02/11;11:00;0,108;;
b476034a2e3d;2023/02/11;12:00;1,130;;
b476034a2e3d;2023/02/11;13:00;0,975;;
b476034a2e3d;2023/02/11;14:00;1,288;;
