cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
c32f47bda75b;2021/08/29;01:00;0,148;;
c32f47bda75b;2021/08/29;02:00;0,081;;
c32f47bda75b;2021/08/29;03:00;0,066;;
c32f47bda75b;2021/08/29;04:00;0,119;;
c32f47bda75b;2021/08/29;05:00;0,130;;
c32f47bda75b;2021/08/29;06:00;0,101;;
c32f47bda75b;2021/08/29;07:00;0,126;;
c32f47bda75b;2021/08/29;08:00;0,547;;
c32f47bda75b;2021/08/29;09:00;0,094;;
c32f47bda75b;2021/08/29;10:00;0,098;;
c32f47bda75b;2021/08/29;11:00;0,190;;
c32f47bda75b;2021/08/29;12:00;0,639;;
c32f47bda75b;2021/08/29;13:00;0,497;;
c32f47bda75b;2021/08/29;14:00;0,263;;
c32f47bda75b;2021/08/29;15:00;0,285;;
c32f47bda75b;2021/08/29;16:00;1,402;;
c32f47bda75b;2021/08/29;17:00;0,296;;
c32f47bda75b;2021/08/29;18:00;0,227;;
c32f47bda75b;2021/08/29;19:00;0,242;;
c32f47bda75b;2021/08/29;20:00;0,230;;
c32f47bda75b;2021/08/29;21:00;0,191;;
c32f47bda75b;2021/08/29;22:00;0,556;;
c32f47bda75b;2021/08/29;23:00;0,155;;
c32f47bda75b;2021/08/29;24:00;0,446;;
c32f47bda75b;2021/08/30;01:00;0,184;;
c32f47bda75b;2021/08/30;02:00;0,158;;
c32f47bda75b;2021/08/30;03:00;0,175;;
c32f47bda75b;2021/08/30;04:00;0,126;;
c32f47bda75b;2021/08/30;05:00;0,080;;
c32f47bda75b;2021/08/30;06:00;0,080;;
c32f47bda75b;2021/08/30;07:00;0,113;;
c32f47bda75b;2021/08/30;08:00;0,135;;
c32f47bda75b;2021/08/30;09:00;0,107;;
c32f47bda75b;2021/08/30;10:00;0,184;;
c32f47bda75b;2021/08/30;11:00;0,505;;
c32f47bda75b;2021/08/30;12:00;0,390;;
c32f47bda75b;2021/08/30;13:00;0,237;;
c32f47bda75b;2021/08/30;14:00;0,539;;
c32f47bda75b;2021/08/30;15:00;0,415;;
c32f47bda75b;2021/08/30;16:00;0,306;;
c32f47bda75b;2021/08/30;17:00;0,185;;
c32f47bda75b;2021/08/30;18:00;0,205;;
c32f47bda75b;2021/08/30;19:00;0,541;;
c32f47bda75b;2021/08/30;20:00;0,414;;
c32f47bda75b;2021/08/30;21:00;0,219;;
c32f47bda75b;2021/08/30;22:00;0,739;;
