cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
d55816977df1;2021/08/07;01:00;0,111;;
d55816977df1;2021/08/07;02:00;0,106;;
d55816977df1;2021/08/07;03:00;0,095;;
d55816977df1;2021/08/07;04:00;0,083;;
d55816977df1;2021/08/07;05:00;0,098;;
d55816977df1;2021/08/07;06:00;0,154;;
d55816977df1;2021/08/07;07:00;0,104;;
d55816977df1;2021/08/07;08:00;0,101;;
d55816977df1;2021/08/07;09:00;0,208;;
d55816977df1;2021/08/07;10:00;0,089;;
d55816977df1;2021/08/07;11:00;0,100;;
d55816977df1;2021/08/07;12:00;0,091;;
d55816977df1;2021/08/07;13:00;0,076;;
d55816977df1;2021/08/07;14:00;0,272;;
d55816977df1;2021/08/07;15:00;0,980;;
d55816977df1;2021/08/07;16:00;0,157;;
d55816977df1;2021/08/07;17:00;0,207;;
d55816977df1;2021/08/07;18:00;0,181;;
d55816977df1;2021/08/07;19:00;0,169;;
d55816977df1;2021/08/07;20:00;0,154;;
d55816977df1;2021/08/07;21:00;0,157;;
d55816977df1;2021/08/07;22:00;0,116;;
d55816977df1;2021/08/07;23:00;0,192;;
d55816977df1;2021/08/07;24:00;0,156;;
d55816977df1;2021/08/08;01:00;0,118;;
d55816977df1;2021/08/08;02:00;0,103;;
d55816977df1;2021/08/08;03:00;0,104;;
d55816977df1;2021/08/08;04:00;0,161;;
d55816977df1;2021/08/08;05:00;0,108;;
d55816977df1;2021/08/08;06:00;0,099;;
d55816977df1;2021/08/08;07:00;0,081;;
d55816977df1;2021/08/08;08:00;0,098;;
d55816977df1;2021/08/08;09:00;0,253;;
d55816977df1;2021/08/08;10:00;0,109;;
d55816977df1;2021/08/08;11:00;0,114;;
d55816977df1;2021/08/08;12:00;0,119;;
d55816977df1;2021/08/08;13:00;0,090;;
d55816977df1;2021/08/08;14:00;0,255;;
d55816977df1;2021/08/08;15:00;0,614;;
d55816977df1;2021/08/08;16:00;0,212;;
d55816977df1;2021/08/08;17:00;0,186;;
d55816977df1;2021/08/08;18:00;0,144;;
d55816977df1;2021/08/08;19:00;0,148;;
d55816977df1;2021/08/08;20:00;0,136;;
d55816977df1;2021/08/08;21:00;0,135;;
d55816977df1;2021/08/08;22:00;0,136;;
d55816977df1;2021/08/08;23:00;0,196;;
d55816977df1;2021/08/08;24:00;0,151;;
d55816977df1;2021/08/09;01:00;0,120;;
d55816977df1;2021/08/09;02:00;0,154;;
d55816977df1;2021/08/09;03:00;0,104;;
d55816977df1;2021/08/09;04:00;0,101;;
d55816977df1;2021/08/09;05:00;0,085;;
d55816977df1;2021/08/09;06:00;0,077;;
d55816977df1;2021/08/09;07:00;0,097;;
d55816977df1;2021/08/09;08:00;0,120;;
d55816977df1;2021/08/09;09:00;0,236;;
d55816977df1;2021/08/09;10:00;0,195;;
d55816977df1;2021/08/09;11:00;0,163;;
d55816977df1;2021/08/09;12:00;0,191;;
d55816977df1;2021/08/09;13:00;0,159;;
d55816977df1;2021/08/09;14:00;0,902;;
d55816977df1;2021/08/09;15:00;0,681;;
d55816977df1;2021/08/09;16:00;0,528;;
d55816977df1;2021/08/09;17:00;1,175;;
d55816977df1;2021/08/09;18:00;0,831;;
d55816977df1;2021/08/09;19:00;0,375;;
d55816977df1;2021/08/09;20:00;0,159;;
d55816977df1;2021/08/09;21:00;0,160;;
d55816977df1;2021/08/09;22:00;1,043;;
d55816977df1;2021/08/09;23:00;0,664;;
d55816977df1;2021/08/09;24:00;0,413;;
d55816977df1;2021/08/10;01:00;0,134;;
d55816977df1;2021/08/10;02:00;0,098;;
d55816977df1;2021/08/10;03:00;0,080;;
d55816977df1;2021/08/10;04:00;0,534;;
d55816977df1;2021/08/10;05:00;0,496;;
d55816977df1;2021/08/10;06:00;0,078;;
d55816977df1;2021/08/10;07:00;0,087;;
d55816977df1;2021/08/10;08:00;0,100;;
d55816977df1;2021/08/10;09:00;0,355;;
d55816977df1;2021/08/10;10:00;0,203;;
d55816977df1;2021/08/10;11:00;0,120;;
d55816977df1;2021/08/10;12:00;0,114;;
d55816977df1;2021/08/10;13:00;0,182;;
d55816977df1;2021/08/10;14:00;0,743;;
d55816977df1;2021/08/10;15:00;0,440;;
d55816977df1;2021/08/10;16:00;0,227;;
d55816977df1;2021/08/10;17:00;0,634;;
d55816977df1;2021/08/10;18:00;0,255;;
d55816977df1;2021/08/10;19:00;0,213;;
d55816977df1;2021/08/10;20:00;0,396;;
d55816977df1;2021/08/10;21:00;0,548;;
d55816977df1;2021/08/10;22:00;0,559;;
d55816977df1;2021/08/10;23:00;0,997;;
d55816977df1;2021/08/10;24:00;0,328;;
d55816977df1;2021/08/11;01:00;0,099;;
