cups,0,1,2,3,4,5,6
0114f2a9ef8e,0.27,1.37,0.0,0.0,0.0,93.68,4.67
011952cf0a27,0.82,10.27,0.27,0.0,0.0,77.4,11.23
02b3106d73c7,21.81,30.73,2.33,0.0,0.0,34.98,10.15
03c8338d7f1d,95.47,0.14,0.0,0.0,0.0,4.4,0.0
04666163609d,51.17,10.7,0.14,0.0,0.0,36.35,1.65
07efa654691a,10.3,18.82,0.69,0.0,0.0,49.45,20.74
08565e582514,68.72,3.29,0.14,0.0,0.0,24.14,3.7
0d9678df292f,12.77,8.24,0.96,0.0,0.14,48.49,29.4
0e6a45c8d43b,7.0,24.42,0.69,0.0,0.0,61.18,6.72
11c65598e4aa,99.73,0.0,0.0,0.0,0.0,0.14,0.14
127a14c3f85b,59.4,0.0,0.0,0.14,39.78,0.69,0.0
17a509e5b3fd,39.59,0.27,0.14,0.0,0.0,57.81,2.19
19153be7ac88,81.76,0.14,0.0,0.0,0.0,16.32,1.78
1a0b9aa571b5,42.72,5.91,0.0,0.0,0.0,47.94,3.43
1bd2d65d3ee4,53.29,1.92,0.14,0.0,0.41,43.01,1.23
1c8a857523c6,58.85,1.92,0.0,0.0,0.0,37.17,2.06
20eff1413834,76.51,4.95,0.55,0.0,0.0,17.31,0.69
259e3b12740a,13.72,32.1,1.51,0.0,0.0,47.46,5.21
27233c281b84,2.47,35.67,1.51,0.0,0.0,50.89,9.47
277f70c6024c,8.57,33.11,1.98,0.0,0.16,44.65,11.53
29abdc229bd7,87.07,0.36,0.0,0.0,0.0,11.84,0.73
2b6fe1934f34,62.05,0.27,0.0,0.0,0.0,37.67,0.0
2e1cb9ed40da,5.44,34.56,2.81,0.0,0.18,42.46,14.56
2e4065ba71b8,47.74,10.29,0.27,0.0,0.0,38.0,3.7
2e8f61c97ff0,4.26,19.92,7.42,0.0,0.14,51.65,16.62
30c53527a644,37.04,1.37,0.0,0.0,0.0,54.05,7.54
31a15c8a5985,100.0,0.0,0.0,0.0,0.0,0.0,0.0
320c764758d0,57.89,0.0,0.0,0.0,41.43,0.69,0.0
3341083403f9,99.86,0.0,0.0,0.0,0.0,0.14,0.0
3395624729d9,27.81,1.64,0.0,0.0,0.0,68.08,2.47
3446f68001b1,50.32,1.93,0.0,0.0,0.0,47.75,0.0
35d9bd5323b9,18.63,3.15,0.0,0.0,0.0,73.15,5.07
