cups,0,1,2,3,4,5,6,7,8
0114f2a9ef8e,9.62,0.69,0.0,0.0,85.99,0.14,0.14,0.0,3.43
011952cf0a27,6.58,6.58,0.0,0.0,69.04,0.27,0.14,0.0,17.4
02b3106d73c7,28.61,25.0,0.0,0.0,27.46,8.24,4.48,0.14,6.07
03c8338d7f1d,99.04,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.27
04666163609d,64.35,12.03,0.0,0.0,15.8,1.16,0.14,0.0,6.52
07efa654691a,9.56,32.35,0.0,0.0,36.47,3.24,2.21,0.15,16.03
08565e582514,73.93,1.07,0.0,0.0,15.85,0.3,0.76,0.0,8.08
0d9678df292f,10.68,4.95,0.0,0.15,50.46,2.48,6.66,0.15,24.46
0e6a45c8d43b,34.16,16.46,0.0,0.0,25.79,1.92,4.39,0.14,17.15
11c65598e4aa,97.59,0.0,0.0,0.0,2.41,0.0,0.0,0.0,0.0
127a14c3f85b,27.59,0.0,0.25,71.43,0.49,0.0,0.0,0.0,0.25
17a509e5b3fd,56.03,0.14,0.0,0.0,42.74,0.14,0.27,0.0,0.68
19153be7ac88,84.96,0.16,0.0,0.0,13.92,0.0,0.48,0.0,0.48
1a0b9aa571b5,66.24,6.13,0.0,0.0,19.94,0.43,0.28,0.0,6.98
1bd2d65d3ee4,85.48,1.23,0.0,0.14,7.81,0.27,0.14,0.0,4.93
1c8a857523c6,72.25,0.98,0.0,0.0,20.78,0.0,0.0,0.0,6.0
20eff1413834,78.5,7.17,0.0,0.0,8.04,0.52,0.17,0.17,5.42
259e3b12740a,26.94,30.32,0.0,0.0,30.61,6.49,1.41,0.0,4.23
27233c281b84,8.23,25.24,0.0,0.0,26.22,5.16,1.95,0.28,32.91
277f70c6024c,14.62,18.66,0.0,0.0,26.89,4.03,2.52,0.5,32.77
29abdc229bd7,90.14,0.41,0.0,0.0,8.83,0.0,0.21,0.0,0.41
2b6fe1934f34,99.04,0.27,0.0,0.0,0.68,0.0,0.0,0.0,0.0
2e1cb9ed40da,13.83,33.33,0.0,0.18,19.5,3.55,9.57,0.35,19.68
2e4065ba71b8,64.91,9.99,0.0,0.0,13.87,0.83,0.69,0.0,9.71
2e8f61c97ff0,20.33,5.91,0.0,0.14,32.55,17.72,3.85,0.0,19.51
30c53527a644,48.89,3.75,0.0,0.0,44.44,0.28,0.28,0.0,2.36
31a15c8a5985,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320c764758d0,16.16,0.0,0.0,83.84,0.0,0.0,0.0,0.0,0.0
3341083403f9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3395624729d9,38.3,0.91,0.0,0.0,54.86,0.15,0.61,0.0,5.17
3446f68001b1,82.37,3.87,0.0,0.0,10.75,0.0,0.0,0.0,3.01
35d9bd5323b9,48.62,4.41,0.0,0.0,40.08,0.41,0.14,0.0,6.34
38194b2cee3c,11.14,18.02,0.0,0.96,34.39,9.77,9.22,2.48,14.03
3834b65f3a70,62.29,6.65,0.0,0.15,9.43,2.01,2.32,0.0,17.16
3a04ebb76f6a,75.42,0.28,0.0,0.0,21.37,0.14,0.28,0.0,2.51
426fb012b93d,99.13,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0
43418b1f8c9d,91.94,0.0,0.0,0.0,8.06,0.0,0.0,0.0,0.0
43c6b2a5a249,92.11,7.21,0.0,0.0,0.17,0.17,0.0,0.0,0.34
49771a22ec98,92.4,0.0,0.0,0.0,4.42,0.0,0.0,0.0,3.18
4b5a8b35b128,74.64,1.0,0.0,0.0,18.95,0.0,0.28,0.0,5.13
4d0a1993dfcd,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4df4744c39fb,95.75,0.82,0.0,0.0,2.94,0.0,0.0,0.0,0.49
4f514478e276,32.57,33.79,0.0,1.37,6.09,6.39,2.74,0.3,16.74
5050e482704a,0.27,17.81,0.0,0.0,12.74,12.47,28.49,2.47,25.75
51bcc44b2656,85.63,0.0,0.0,0.0,12.25,0.0,0.0,0.0,2.11
522ec2c9ceb6,33.4,3.19,0.0,0.0,50.21,0.0,0.43,0.0,12.77
524130194799,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540f95348569,85.14,0.28,0.0,0.0,13.62,0.0,0.0,0.0,0.96
56bf498d0564,50.28,6.37,0.0,0.14,9.92,6.94,2.83,0.0,23.51
5937660386d6,81.62,1.01,0.0,0.0,15.56,0.0,0.4,0.0,1.41
5b13f13a01ed,50.21,8.37,0.0,0.0,30.32,1.65,0.55,0.0,8.92
5ea12751c266,91.67,0.0,0.0,0.0,6.67,0.0,0.0,0.0,1.67
5f23ca5327cd,80.44,0.28,0.0,0.0,11.23,0.14,0.0,0.0,7.91
5f4793761400,96.91,0.0,0.0,0.0,3.09,0.0,0.0,0.0,0.0
609781c124a2,48.06,0.0,0.0,0.0,41.97,0.42,2.91,0.0,6.65
