cups,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0114f2a9ef8e,0.0,22.94,21.84,3.57,0.82,46.84,0.0,0.41,0.0,0.0,0.0,0.27,0.0,0.69,1.65,0.27,0.69
011952cf0a27,0.0,3.84,27.95,5.62,2.05,35.62,0.14,0.82,0.0,0.0,0.0,0.14,0.14,1.23,17.26,3.7,1.51
02b3106d73c7,0.0,9.19,11.52,1.23,5.21,8.92,14.81,8.5,0.0,0.0,0.0,5.35,1.92,4.8,5.35,7.68,15.5
03c8338d7f1d,0.0,0.69,0.27,0.14,0.0,3.57,3.16,91.9,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0
04666163609d,0.0,4.12,8.5,9.74,6.31,6.17,10.43,45.4,0.0,0.0,0.0,0.82,0.27,0.41,3.29,0.0,4.53
07efa654691a,0.0,8.65,12.77,5.77,19.92,7.14,8.24,2.61,0.0,0.0,0.0,2.47,1.65,4.4,12.77,7.97,5.63
08565e582514,0.0,5.76,7.96,6.86,0.27,3.02,22.77,49.52,0.0,0.0,0.0,0.41,0.27,0.41,2.06,0.0,0.69
0d9678df292f,0.14,10.85,18.96,18.54,1.24,8.79,11.26,1.79,0.0,0.14,0.0,0.55,2.61,9.2,12.77,0.27,2.88
0e6a45c8d43b,0.0,8.37,3.7,20.58,1.51,32.65,0.14,8.78,0.0,0.69,0.0,2.88,1.23,3.16,3.43,0.0,12.89
11c65598e4aa,0.0,0.14,0.0,0.0,0.0,0.0,98.35,1.37,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0
127a14c3f85b,38.96,0.14,0.0,0.14,0.0,0.14,50.62,8.09,0.0,0.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0
17a509e5b3fd,0.0,4.38,43.97,2.19,0.14,6.44,0.14,41.23,0.0,0.14,0.0,0.0,0.14,0.55,0.68,0.0,0.0
19153be7ac88,0.0,7.68,4.8,0.96,0.14,1.23,29.22,55.42,0.0,0.0,0.0,0.0,0.14,0.27,0.14,0.0,0.0
1a0b9aa571b5,0.0,7.14,6.87,4.4,7.14,21.29,6.87,39.56,0.0,0.0,0.0,0.27,0.14,0.55,2.61,0.55,2.61
1bd2d65d3ee4,0.0,1.78,2.6,2.6,2.74,28.63,1.64,56.99,0.0,0.0,0.0,0.0,0.14,0.14,1.51,1.1,0.14
1c8a857523c6,0.0,17.7,2.88,6.72,0.41,9.6,8.5,52.95,0.0,0.0,0.0,0.0,0.0,0.14,0.55,0.0,0.55
20eff1413834,0.0,0.96,2.75,4.67,2.61,6.32,52.47,25.27,0.0,0.0,0.0,0.69,0.14,0.0,0.82,1.1,2.2
259e3b12740a,0.0,7.13,11.25,4.94,6.04,21.95,5.08,9.33,0.0,0.0,0.0,5.49,1.51,1.65,1.37,0.96,23.32
27233c281b84,0.0,1.65,5.9,14.27,8.64,23.73,1.65,1.23,0.14,0.0,0.0,4.25,2.47,3.29,10.84,3.84,18.11
277f70c6024c,0.0,2.64,7.08,6.26,5.11,21.25,2.97,5.77,0.0,0.49,0.0,1.81,1.98,2.8,19.77,13.34,8.73
29abdc229bd7,0.0,2.0,5.65,1.46,0.36,0.73,29.51,60.11,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0
2b6fe1934f34,0.0,0.27,0.14,1.37,0.0,33.15,0.0,64.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27
2e1cb9ed40da,0.18,2.28,5.61,7.72,19.82,12.63,1.23,5.09,0.0,1.23,0.0,2.63,4.74,5.44,7.72,6.84,16.84
2e4065ba71b8,0.0,3.02,5.08,16.19,6.45,8.78,9.47,41.7,0.0,0.0,0.0,0.27,0.55,0.96,2.06,0.27,5.21
2e8f61c97ff0,0.0,3.3,10.16,6.59,2.34,29.53,0.14,7.01,0.0,0.14,0.0,6.73,12.5,2.34,10.99,0.41,7.83
30c53527a644,0.0,13.72,31.55,5.76,0.82,5.76,1.78,38.68,0.0,0.0,0.0,0.0,0.27,0.69,0.96,0.0,0.0
31a15c8a5985,0.0,0.0,0.0,0.0,0.0,0.0,99.73,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320c764758d0,38.82,0.0,0.0,0.0,0.0,0.27,54.05,6.45,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0
3341083403f9,0.0,0.0,0.0,0.0,0.0,0.0,98.9,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3395624729d9,0.0,12.6,40.82,8.22,0.55,1.92,10.27,23.15,0.0,0.0,0.0,0.14,0.27,0.68,0.82,0.0,0.55
3446f68001b1,0.0,2.36,12.42,6.21,2.14,17.34,1.28,57.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43
35d9bd5323b9,0.0,10.55,14.52,18.63,3.42,26.85,3.56,16.85,0.0,0.0,0.0,0.0,0.55,1.64,1.37,0.82,1.23
38194b2cee3c,0.14,3.57,10.99,11.68,2.47,13.87,1.51,2.47,1.24,2.06,0.0,5.36,7.69,9.89,9.34,4.12,13.6
3834b65f3a70,0.0,3.15,3.29,19.04,0.68,0.55,27.12,33.84,0.0,0.0,0.0,1.51,1.23,2.74,1.51,0.14,5.21
3a04ebb76f6a,0.0,9.33,10.43,3.57,1.92,21.95,6.17,45.4,0.0,0.0,0.0,0.0,0.14,0.27,0.55,0.14,0.14
426fb012b93d,0.0,0.14,0.55,0.0,0.0,0.0,73.08,26.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43418b1f8c9d,0.0,0.41,0.14,0.0,0.0,0.0,95.75,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43c6b2a5a249,0.0,0.14,0.14,2.74,2.19,0.27,67.67,24.66,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.14,1.92
49771a22ec98,0.0,0.41,2.47,0.55,0.0,6.04,23.32,66.94,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.0
4b5a8b35b128,0.0,3.7,7.26,3.56,0.55,9.32,10.68,58.36,0.0,0.0,0.0,0.0,0.0,1.23,4.93,0.0,0.41
4d0a1993dfcd,0.0,0.0,0.0,0.0,0.0,0.0,91.77,8.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4df4744c39fb,0.0,0.55,1.65,0.82,1.24,3.02,49.31,43.13,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14
4f514478e276,0.74,1.18,2.06,11.34,9.72,9.43,4.86,17.67,0.15,0.29,0.0,3.98,2.8,4.42,6.33,7.22,17.82
5050e482704a,0.0,1.51,2.33,0.96,0.96,5.21,0.0,0.0,0.27,7.81,0.0,5.62,14.79,15.34,17.12,6.71,21.37
51bcc44b2656,0.0,5.62,8.5,5.9,0.55,8.78,6.86,63.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
522ec2c9ceb6,0.0,8.94,19.36,11.91,3.19,38.94,0.0,9.15,0.0,0.0,0.0,0.0,0.0,1.06,4.89,0.0,2.55
524130194799,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540f95348569,0.0,6.16,10.41,5.48,0.96,7.26,6.03,63.29,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.14
56bf498d0564,0.14,3.56,4.38,11.64,2.6,3.15,15.48,32.05,0.0,0.0,0.0,3.97,4.38,3.15,9.32,0.82,5.34
5937660386d6,0.0,5.46,10.17,2.26,2.45,2.07,30.51,45.57,0.0,0.0,0.0,0.0,0.0,0.56,0.56,0.0,0.38
5b13f13a01ed,0.0,2.88,4.39,10.29,4.53,59.4,0.0,6.72,0.0,0.0,0.0,1.37,0.14,0.69,2.33,4.25,3.02
5ea12751c266,0.0,0.27,0.41,1.1,0.0,0.69,88.74,8.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5f23ca5327cd,0.0,7.54,9.88,5.08,0.0,11.8,8.64,55.28,0.0,0.0,0.0,0.0,0.27,0.27,1.1,0.0,0.14
5f4793761400,0.0,0.41,0.41,0.41,0.14,0.27,75.45,22.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
609781c124a2,0.0,37.5,11.4,0.14,0.27,3.43,2.75,35.71,0.0,0.0,0.0,0.14,0.41,3.71,4.4,0.0,0.14
60e6d6d2541a,0.0,9.05,5.76,6.72,3.02,5.21,3.02,1.23,3.29,3.16,0.0,10.15,5.49,11.25,10.15,12.07,10.43
65e32355a97a,0.27,5.77,7.69,19.23,5.08,3.71,9.07,14.7,0.0,0.27,0.0,4.4,1.1,4.4,3.71,1.37,19.23
6906cceeeb78,0.0,9.05,9.47,3.16,1.37,26.47,14.95,33.06,0.0,0.0,0.0,0.0,0.14,0.55,1.23,0.14,0.41
6c1405ef7062,0.0,0.0,0.69,4.39,11.93,6.17,10.84,59.53,0.0,0.0,0.0,0.27,0.0,0.0,0.96,1.92,3.29
6f00c403abd0,0.59,3.7,9.62,3.99,3.11,2.81,0.0,0.3,0.15,0.15,0.0,8.28,12.72,16.27,16.27,11.83,10.21
6fadd3d6b297,0.14,5.9,8.37,3.16,0.41,20.99,0.82,53.64,0.0,0.41,0.0,0.69,1.37,0.82,2.33,0.0,0.96
71d3885d1431,0.0,15.93,15.11,6.59,0.27,19.37,1.37,27.61,0.0,0.0,0.0,5.63,1.1,1.1,2.47,0.0,3.43
71d9a9f96bca,0.0,12.33,9.59,14.38,4.25,16.03,3.84,30.41,0.0,0.0,0.0,1.1,0.41,2.19,3.01,0.96,1.51
736f2de66813,0.0,1.37,2.19,0.69,0.82,79.84,0.55,7.41,0.0,0.0,0.0,2.61,0.0,0.27,2.61,0.41,1.23
7766e16a2d4a,1.1,1.51,7.96,11.93,3.84,9.19,9.88,27.71,0.55,0.96,0.0,5.49,2.19,2.74,1.65,4.25,9.05
78d0d9825060,0.0,2.7,4.37,1.46,0.21,6.44,29.31,55.09,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0
7a2e7beb0672,0.0,15.38,6.18,7.01,1.24,2.61,7.01,0.55,0.0,0.14,0.0,0.96,4.12,30.49,15.52,0.14,8.65
7a6739bd338e,0.0,3.7,12.19,25.48,11.37,7.81,2.33,0.68,0.0,0.0,0.0,0.55,1.23,8.22,11.23,0.96,14.25
7bd57f96a653,0.0,2.06,0.96,0.69,0.82,1.92,68.18,24.97,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.27,0.0
7d4cfc37189e,0.0,6.31,3.16,3.02,5.49,3.43,2.61,0.96,1.92,17.42,0.0,7.13,7.54,15.64,9.47,8.92,7.0
806dc54ccb69,0.0,0.0,0.0,0.14,0.0,0.82,90.95,8.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c7fbada9b4,0.0,16.11,21.67,12.78,6.11,10.0,1.67,20.0,0.0,0.0,0.0,2.22,1.67,1.67,4.44,0.0,1.67
84736eaf5a9d,0.0,9.65,13.4,9.92,1.07,16.09,0.0,1.34,0.27,1.07,0.0,6.17,4.56,9.12,8.31,4.83,14.21
84bc6f535519,0.0,0.24,0.72,1.44,0.24,0.24,0.0,0.24,14.87,28.3,0.0,10.31,9.35,4.32,2.64,11.27,15.83
8748f2316ba9,0.0,3.06,1.75,3.06,2.62,1.53,0.22,0.66,0.22,1.97,0.0,14.41,14.19,13.1,18.12,3.49,21.62
883788a8f885,0.14,2.47,5.77,9.75,9.2,8.52,0.96,5.91,0.0,0.82,0.0,14.84,7.01,4.67,7.14,5.36,17.45
90a0336aae39,0.0,13.05,8.38,14.15,9.89,4.81,23.21,17.99,0.0,0.0,0.0,0.41,0.27,1.65,2.88,0.55,2.75
95ee02b21baa,0.0,0.14,0.0,0.14,0.0,0.14,74.76,24.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
960038979a08,0.27,1.37,0.69,2.75,3.57,2.2,68.96,5.49,0.0,0.27,0.0,1.79,1.92,0.82,4.53,3.57,1.79
99d555540f0d,0.0,0.0,0.0,0.0,0.0,0.0,99.73,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9a3b34521cfa,0.0,4.94,4.39,9.6,4.25,58.44,1.65,1.51,0.0,0.0,0.0,0.55,0.82,3.43,7.41,0.27,2.74
9c890590d367,0.0,0.0,0.14,0.96,0.0,6.87,58.52,31.59,0.0,0.0,0.0,0.0,0.0,0.0,1.79,0.0,0.14
9fa8e9422c8d,0.0,12.21,16.6,13.85,5.76,7.68,15.36,15.5,0.0,0.14,0.0,0.0,0.96,5.9,3.84,0.27,1.92
a1c7814da365,0.0,7.95,8.22,9.32,2.05,4.11,0.0,9.45,0.0,0.68,0.0,10.27,15.48,11.23,4.11,1.92,15.21
a3551673db03,0.0,0.72,0.72,0.0,0.0,0.18,61.4,36.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a436c4d5cbeb,0.0,1.23,8.08,5.75,16.71,30.55,2.6,19.18,0.0,0.0,0.0,0.41,0.0,0.68,3.01,10.14,1.64
a97896649004,0.0,0.14,0.27,3.71,0.0,0.82,81.87,12.5,0.0,0.0,0.0,0.0,0.0,0.55,0.14,0.0,0.0
ab6c9e4d8e64,0.0,3.15,13.01,6.71,5.62,9.73,2.19,53.84,0.0,0.0,0.0,0.27,0.0,0.68,1.78,0.14,2.88
ab80ec0882ca,0.0,3.56,3.7,2.47,1.23,1.37,0.0,0.68,43.29,10.14,0.0,6.3,3.29,8.36,6.58,3.29,5.75
acb5ee1b35fd,0.0,0.68,1.64,0.41,0.55,2.33,29.86,64.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
ad7b0d773a4a,0.0,4.52,7.4,7.95,3.29,12.74,14.93,47.26,0.0,0.0,0.0,0.0,0.14,0.55,1.23,0.0,0.0
add697153a07,0.16,0.96,1.28,5.27,1.44,3.67,60.38,25.4,0.16,0.0,0.0,0.0,0.0,0.16,0.32,0.64,0.16
b1a8b5dfd391,0.14,4.12,0.41,1.1,0.69,0.96,0.0,5.21,0.14,30.45,0.41,7.41,10.56,21.67,0.69,0.55,15.5
b46938568ddc,0.0,0.0,0.0,0.41,0.27,70.23,18.38,10.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0
b476034a2e3d,0.0,40.3,4.48,2.49,1.0,4.98,3.98,7.46,0.0,0.0,0.0,2.99,2.49,26.37,0.0,0.0,3.48
b6b8b829ca63,0.0,0.96,1.23,0.14,0.0,0.96,60.36,36.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
b6e12ac4aa4b,0.48,7.67,13.43,3.84,3.6,16.07,6.95,22.06,3.84,0.72,0.0,3.84,2.16,2.64,6.47,2.88,3.36
