cluster,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
0,14.24,14.13,15.1,13.48,14.24,14.56,14.24
1,12.83,12.06,17.57,19.47,13.67,12.92,11.47
2,15.2,13.31,15.65,15.86,13.35,13.35,13.3
3,12.49,16.15,11.93,13.31,14.41,16.17,15.55
4,13.38,15.36,12.32,12.44,15.32,15.12,16.05
5,15.03,14.62,12.58,12.86,14.74,15.36,14.81
6,14.31,14.39,14.7,13.81,14.17,14.4,14.21
7,14.65,14.52,13.96,13.57,14.65,13.97,14.67
8,14.19,13.33,15.38,13.33,12.99,15.56,15.21
9,13.81,13.37,18.23,18.12,12.38,10.83,13.26
10,15.03,14.05,14.38,13.73,15.03,13.4,14.38
11,13.9,15.56,12.29,13.78,15.86,14.13,14.49
12,12.93,11.02,19.22,19.79,11.77,13.44,11.83
13,12.56,11.94,19.69,18.45,11.94,12.11,13.3
14,15.2,13.37,15.92,16.65,13.44,12.49,12.93
15,14.86,15.06,12.54,12.07,14.59,16.22,14.66
16,14.03,15.88,10.03,11.57,16.08,16.28,16.14
