cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
2e1cb9ed40da;2022/01/13;01:00;0,042;;
2e1cb9ed40da;2022/01/13;02:00;0,007;;
2e1cb9ed40da;2022/01/13;03:00;0,003;;
2e1cb9ed40da;2022/01/13;04:00;0,043;;
2e1cb9ed40da;2022/01/13;05:00;0,006;;
2e1cb9ed40da;2022/01/13;06:00;0,004;;
2e1cb9ed40da;2022/01/13;07:00;0,038;;
2e1cb9ed40da;2022/01/13;08:00;0,007;;
2e1cb9ed40da;2022/01/13;09:00;0,004;;
2e1cb9ed40da;2022/01/13;10:00;0,041;;
2e1cb9ed40da;2022/01/13;11:00;0,007;;
2e1cb9ed40da;2022/01/13;12:00;0,004;;
2e1cb9ed40da;2022/01/13;13:00;0,348;;
2e1cb9ed40da;2022/01/13;14:00;1,315;;
2e1cb9ed40da;2022/01/13;15:00;1,021;;
2e1cb9ed40da;2022/01/13;16:00;0,047;;
2e1cb9ed40da;2022/01/13;17:00;0,501;;
2e1cb9ed40da;2022/01/13;18:00;0,158;;
2e1cb9ed40da;2022/01/13;19:00;0,099;;
2e1cb9ed40da;2022/01/13;20:00;0,035;;
2e1cb9ed40da;2022/01/13;21:00;0,013;;
2e1cb9ed40da;2022/01/13;22:00;0,165;;
2e1cb9ed40da;2022/01/13;23:00;0,064;;
2e1cb9ed40da;2022/01/13;24:00;0,003;;
2e1cb9ed40da;2022/01/14;01:00;0,016;;
2e1cb9ed40da;2022/01/14;02:00;0,030;;
2e1cb9ed40da;2022/01/14;03:00;0,004;;
2e1cb9ed40da;2022/01/14;04:00;0,020;;
2e1cb9ed40da;2022/01/14;05:00;0,025;;
2e1cb9ed40da;2022/01/14;06:00;0,004;;
2e1cb9ed40da;2022/01/14;07:00;0,024;;
2e1cb9ed40da;2022/01/14;08:00;0,022;;
2e1cb9ed40da;2022/01/14;09:00;0,004;;
2e1cb9ed40da;2022/01/14;10:00;0,021;;
2e1cb9ed40da;2022/01/14;11:00;0,292;;
2e1cb9ed40da;2022/01/14;12:00;0,060;;
2e1cb9ed40da;2022/01/14;13:00;0,041;;
2e1cb9ed40da;2022/01/14;14:00;0,028;;
2e1cb9ed40da;2022/01/14;15:00;0,003;;
2e1cb9ed40da;2022/01/14;16:00;0,018;;
