cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
38194b2cee3c;2021/08/07;01:00;0,176;;
38194b2cee3c;2021/08/07;02:00;0,180;;
38194b2cee3c;2021/08/07;03:00;0,185;;
38194b2cee3c;2021/08/07;04:00;0,194;;
38194b2cee3c;2021/08/07;05:00;0,201;;
38194b2cee3c;2021/08/07;06:00;0,179;;
38194b2cee3c;2021/08/07;07:00;0,173;;
38194b2cee3c;2021/08/07;08:00;0,414;;
38194b2cee3c;2021/08/07;09:00;0,202;;
38194b2cee3c;2021/08/07;10:00;0,632;;
38194b2cee3c;2021/08/07;11:00;0,912;;
38194b2cee3c;2021/08/07;12:00;0,121;;
38194b2cee3c;2021/08/07;13:00;0,111;;
38194b2cee3c;2021/08/07;14:00;0,103;;
38194b2cee3c;2021/08/07;15:00;0,100;;
38194b2cee3c;2021/08/07;16:00;0,102;;
38194b2cee3c;2021/08/07;17:00;0,112;;
38194b2cee3c;2021/08/07;18:00;0,113;;
38194b2cee3c;2021/08/07;19:00;0,114;;
38194b2cee3c;2021/08/07;20:00;0,114;;
38194b2cee3c;2021/08/07;21:00;0,367;;
38194b2cee3c;2021/08/07;22:00;0,117;;
38194b2cee3c;2021/08/07;23:00;0,142;;
38194b2cee3c;2021/08/07;24:00;0,115;;
38194b2cee3c;2021/08/08;01:00;0,104;;
38194b2cee3c;2021/08/08;02:00;0,102;;
38194b2cee3c;2021/08/08;03:00;0,102;;
38194b2cee3c;2021/08/08;04:00;0,102;;
38194b2cee3c;2021/08/08;05:00;0,099;;
38194b2cee3c;2021/08/08;06:00;0,100;;
38194b2cee3c;2021/08/08;07:00;0,362;;
38194b2cee3c;2021/08/08;08:00;0,103;;
38194b2cee3c;2021/08/08;09:00;0,104;;
38194b2cee3c;2021/08/08;10:00;0,110;;
38194b2cee3c;2021/08/08;11:00;0,110;;
38194b2cee3c;2021/08/08;12:00;0,106;;
38194b2cee3c;2021/08/08;13:00;0,138;;
38194b2cee3c;2021/08/08;14:00;0,307;;
38194b2cee3c;2021/08/08;15:00;1,005;;
38194b2cee3c;2021/08/08;16:00;0,314;;
38194b2cee3c;2021/08/08;17:00;0,469;;
38194b2cee3c;2021/08/08;18:00;0,965;;
38194b2cee3c;2021/08/08;19:00;0,854;;
38194b2cee3c;2021/08/08;20:00;0,355;;
38194b2cee3c;2021/08/08;21:00;0,277;;
38194b2cee3c;2021/08/08;22:00;0,229;;
38194b2cee3c;2021/08/08;23:00;0,386;;
38194b2cee3c;2021/08/08;24:00;0,203;;
38194b2cee3c;2021/08/09;01:00;0,195;;
38194b2cee3c;2021/08/09;02:00;0,189;;
38194b2cee3c;2021/08/09;03:00;0,461;;
38194b2cee3c;2021/08/09;04:00;0,202;;
38194b2cee3c;2021/08/09;05:00;0,177;;
38194b2cee3c;2021/08/09;06:00;0,172;;
38194b2cee3c;2021/08/09;07:00;0,165;;
38194b2cee3c;2021/08/09;08:00;0,166;;
38194b2cee3c;2021/08/09;09:00;0,164;;
38194b2cee3c;2021/08/09;10:00;0,190;;
38194b2cee3c;2021/08/09;11:00;0,195;;
38194b2cee3c;2021/08/09;12:00;0,182;;
38194b2cee3c;2021/08/09;13:00;0,979;;
38194b2cee3c;2021/08/09;14:00;0,952;;
38194b2cee3c;2021/08/09;15:00;1,674;;
38194b2cee3c;2021/08/09;16:00;1,028;;
38194b2cee3c;2021/08/09;17:00;0,727;;
38194b2cee3c;2021/08/09;18:00;1,269;;
38194b2cee3c;2021/08/09;19:00;1,109;;
38194b2cee3c;2021/08/09;20:00;1,115;;
38194b2cee3c;2021/08/09;21:00;2,829;;
38194b2cee3c;2021/08/09;22:00;1,120;;
38194b2cee3c;2021/08/09;23:00;1,283;;
38194b2cee3c;2021/08/09;24:00;0,243;;
38194b2cee3c;2021/08/10;01:00;0,208;;
38194b2cee3c;2021/08/10;02:00;0,195;;
38194b2cee3c;2021/08/10;03:00;0,200;;
38194b2cee3c;2021/08/10;04:00;0,200;;
38194b2cee3c;2021/08/10;05:00;0,189;;
38194b2cee3c;2021/08/10;06:00;0,197;;
38194b2cee3c;2021/08/10;07:00;0,216;;
38194b2cee3c;2021/08/10;08:00;0,439;;
38194b2cee3c;2021/08/10;09:00;0,177;;
38194b2cee3c;2021/08/10;10:00;0,489;;
38194b2cee3c;2021/08/10;11:00;0,853;;
38194b2cee3c;2021/08/10;12:00;0,431;;
38194b2cee3c;2021/08/10;13:00;0,160;;
38194b2cee3c;2021/08/10;14:00;1,584;;
38194b2cee3c;2021/08/10;15:00;2,229;;
