cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
5050e482704a;2021/08/24;01:00;0,328;;
5050e482704a;2021/08/24;02:00;0,205;;
5050e482704a;2021/08/24;03:00;0,211;;
5050e482704a;2021/08/24;04:00;0,209;;
5050e482704a;2021/08/24;05:00;0,185;;
5050e482704a;2021/08/24;06:00;0,189;;
5050e482704a;2021/08/24;07:00;0,197;;
5050e482704a;2021/08/24;08:00;0,192;;
5050e482704a;2021/08/24;09:00;0,197;;
5050e482704a;2021/08/24;10:00;0,293;;
5050e482704a;2021/08/24;11:00;0,261;;
5050e482704a;2021/08/24;12:00;0,986;;
5050e482704a;2021/08/24;13:00;1,361;;
5050e482704a;2021/08/24;14:00;1,007;;
5050e482704a;2021/08/24;15:00;1,098;;
5050e482704a;2021/08/24;16:00;0,316;;
5050e482704a;2021/08/24;17:00;0,286;;
5050e482704a;2021/08/24;18:00;0,292;;
5050e482704a;2021/08/24;19:00;0,272;;
5050e482704a;2021/08/24;20:00;0,276;;
5050e482704a;2021/08/24;21:00;0,542;;
5050e482704a;2021/08/24;22:00;0,310;;
5050e482704a;2021/08/24;23:00;0,428;;
5050e482704a;2021/08/24;24:00;0,798;;
5050e482704a;2021/08/25;01:00;0,500;;
5050e482704a;2021/08/25;02:00;0,200;;
5050e482704a;2021/08/25;03:00;0,178;;
5050e482704a;2021/08/25;04:00;0,190;;
5050e482704a;2021/08/25;05:00;0,188;;
5050e482704a;2021/08/25;06:00;0,176;;
5050e482704a;2021/08/25;07:00;0,178;;
5050e482704a;2021/08/25;08:00;0,194;;
5050e482704a;2021/08/25;09:00;0,197;;
5050e482704a;2021/08/25;10:00;0,204;;
5050e482704a;2021/08/25;11:00;1,488;;
5050e482704a;2021/08/25;12:00;1,460;;
5050e482704a;2021/08/25;13:00;1,214;;
5050e482704a;2021/08/25;14:00;1,385;;
5050e482704a;2021/08/25;15:00;0,592;;
5050e482704a;2021/08/25;16:00;0,355;;
5050e482704a;2021/08/25;17:00;0,316;;
5050e482704a;2021/08/25;18:00;0,290;;
5050e482704a;2021/08/25;19:00;0,300;;
5050e482704a;2021/08/25;20:00;0,344;;
5050e482704a;2021/08/25;21:00;0,366;;
5050e482704a;2021/08/25;22:00;0,664;;
5050e482704a;2021/08/25;23:00;0,952;;
5050e482704a;2021/08/25;24:00;1,048;;
5050e482704a;2021/08/26;01:00;0,374;;
5050e482704a;2021/08/26;02:00;0,245;;
5050e482704a;2021/08/26;03:00;0,190;;
5050e482704a;2021/08/26;04:00;0,195;;
5050e482704a;2021/08/26;05:00;0,195;;
5050e482704a;2021/08/26;06:00;0,152;;
5050e482704a;2021/08/26;07:00;0,552;;
5050e482704a;2021/08/26;08:00;1,538;;
5050e482704a;2021/08/26;09:00;1,411;;
5050e482704a;2021/08/26;10:00;1,354;;
5050e482704a;2021/08/26;11:00;0,551;;
5050e482704a;2021/08/26;12:00;0,272;;
5050e482704a;2021/08/26;13:00;0,327;;
5050e482704a;2021/08/26;14:00;0,308;;
5050e482704a;2021/08/26;15:00;0,708;;
5050e482704a;2021/08/26;16:00;1,074;;
5050e482704a;2021/08/26;17:00;0,253;;
5050e482704a;2021/08/26;18:00;0,264;;
5050e482704a;2021/08/26;19:00;0,281;;
5050e482704a;2021/08/26;20:00;0,996;;
5050e482704a;2021/08/26;21:00;0,659;;
5050e482704a;2021/08/26;22:00;0,375;;
5050e482704a;2021/08/26;23:00;0,556;;
5050e482704a;2021/08/26;24:00;1,670;;
5050e482704a;2021/08/27;01:00;0,722;;
5050e482704a;2021/08/27;02:00;0,342;;
5050e482704a;2021/08/27;03:00;0,246;;
5050e482704a;2021/08/27;04:00;0,212;;
5050e482704a;2021/08/27;05:00;0,203;;
5050e482704a;2021/08/27;06:00;0,166;;
