cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
5b13f13a01ed;2021/08/07;01:00;1,409;;
5b13f13a01ed;2021/08/07;02:00;1,425;;
5b13f13a01ed;2021/08/07;03:00;1,328;;
5b13f13a01ed;2021/08/07;04:00;0,458;;
5b13f13a01ed;2021/08/07;05:00;0,271;;
5b13f13a01ed;2021/08/07;06:00;0,209;;
5b13f13a01ed;2021/08/07;07:00;0,145;;
5b13f13a01ed;2021/08/07;08:00;0,142;;
5b13f13a01ed;2021/08/07;09:00;0,095;;
5b13f13a01ed;2021/08/07;10:00;0,401;;
5b13f13a01ed;2021/08/07;11:00;0,238;;
5b13f13a01ed;2021/08/07;12:00;0,262;;
5b13f13a01ed;2021/08/07;13:00;1,205;;
5b13f13a01ed;2021/08/07;14:00;0,322;;
5b13f13a01ed;2021/08/07;15:00;0,319;;
5b13f13a01ed;2021/08/07;16:00;0,276;;
5b13f13a01ed;2021/08/07;17:00;0,235;;
5b13f13a01ed;2021/08/07;18:00;1,234;;
5b13f13a01ed;2021/08/07;19:00;1,453;;
5b13f13a01ed;2021/08/07;20:00;0,907;;
5b13f13a01ed;2021/08/07;21:00;0,311;;
5b13f13a01ed;2021/08/07;22:00;1,381;;
5b13f13a01ed;2021/08/07;23:00;0,455;;
5b13f13a01ed;2021/08/07;24:00;0,568;;
5b13f13a01ed;2021/08/08;01:00;1,510;;
5b13f13a01ed;2021/08/08;02:00;1,439;;
5b13f13a01ed;2021/08/08;03:00;0,265;;
5b13f13a01ed;2021/08/08;04:00;0,314;;
5b13f13a01ed;2021/08/08;05:00;0,176;;
5b13f13a01ed;2021/08/08;06:00;0,169;;
5b13f13a01ed;2021/08/08;07:00;0,290;;
5b13f13a01ed;2021/08/08;08:00;0,245;;
5b13f13a01ed;2021/08/08;09:00;0,221;;
5b13f13a01ed;2021/08/08;10:00;0,273;;
5b13f13a01ed;2021/08/08;11:00;0,185;;
5b13f13a01ed;2021/08/08;12:00;0,258;;
5b13f13a01ed;2021/08/08;13:00;0,619;;
5b13f13a01ed;2021/08/08;14:00;0,571;;
5b13f13a01ed;2021/08/08;15:00;0,832;;
5b13f13a01ed;2021/08/08;16:00;0,406;;
5b13f13a01ed;2021/08/08;17:00;0,447;;
5b13f13a01ed;2021/08/08;18:00;0,639;;
5b13f13a01ed;2021/08/08;19:00;1,354;;
5b13f13a01ed;2021/08/08;20:00;0,196;;
5b13f13a01ed;2021/08/08;21:00;0,306;;
5b13f13a01ed;2021/08/08;22:00;0,556;;
5b13f13a01ed;2021/08/08;23:00;0,765;;
5b13f13a01ed;2021/08/08;24:00;0,499;;
5b13f13a01ed;2021/08/09;01:00;0,609;;
5b13f13a01ed;2021/08/09;02:00;1,352;;
5b13f13a01ed;2021/08/09;03:00;0,495;;
5b13f13a01ed;2021/08/09;04:00;0,231;;
5b13f13a01ed;2021/08/09;05:00;0,169;;
5b13f13a01ed;2021/08/09;06:00;0,233;;
5b13f13a01ed;2021/08/09;07:00;0,221;;
5b13f13a01ed;2021/08/09;08:00;0,121;;
5b13f13a01ed;2021/08/09;09:00;0,118;;
5b13f13a01ed;2021/08/09;10:00;0,606;;
5b13f13a01ed;2021/08/09;11:00;0,477;;
5b13f13a01ed;2021/08/09;12:00;0,636;;
5b13f13a01ed;2021/08/09;13:00;0,254;;
5b13f13a01ed;2021/08/09;14:00;0,190;;
5b13f13a01ed;2021/08/09;15:00;0,220;;
5b13f13a01ed;2021/08/09;16:00;0,643;;
5b13f13a01ed;2021/08/09;17:00;1,155;;
5b13f13a01ed;2021/08/09;18:00;0,952;;
5b13f13a01ed;2021/08/09;19:00;0,350;;
5b13f13a01ed;2021/08/09;20:00;1,661;;
5b13f13a01ed;2021/08/09;21:00;1,508;;
5b13f13a01ed;2021/08/09;22:00;1,478;;
5b13f13a01ed;2021/08/09;23:00;0,849;;
5b13f13a01ed;2021/08/09;24:00;1,426;;
5b13f13a01ed;2021/08/10;01:00;1,489;;
5b13f13a01ed;2021/08/10;02:00;1,246;;
5b13f13a01ed;2021/08/10;03:00;0,294;;
5b13f13a01ed;2021/08/10;04:00;0,215;;
5b13f13a01ed;2021/08/10;05:00;0,432;;
5b13f13a01ed;2021/08/10;06:00;0,203;;
5b13f13a01ed;2021/08/10;07:00;0,183;;
5b13f13a01ed;2021/08/10;08:00;0,128;;
5b13f13a01ed;2021/08/10;09:00;0,145;;
5b13f13a01ed;2021/08/10;10:00;0,203;;
5b13f13a01ed;2021/08/10;11:00;0,371;;
5b13f13a01ed;2021/08/10;12:00;0,122;;
5b13f13a01ed;2021/08/10;13:00;1,173;;
5b13f13a01ed;2021/08/10;14:00;1,561;;
5b13f13a01ed;2021/08/10;15:00;0,943;;
5b13f13a01ed;2021/08/10;16:00;0,609;;
5b13f13a01ed;2021/08/10;17:00;1,727;;
