cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
6fadd3d6b297;2021/08/29;01:00;0,248;;
6fadd3d6b297;2021/08/29;02:00;0,248;;
6fadd3d6b297;2021/08/29;03:00;0,214;;
6fadd3d6b297;2021/08/29;04:00;0,214;;
6fadd3d6b297;2021/08/29;05:00;0,212;;
6fadd3d6b297;2021/08/29;06:00;0,211;;
6fadd3d6b297;2021/08/29;07:00;0,294;;
6fadd3d6b297;2021/08/29;08:00;0,366;;
6fadd3d6b297;2021/08/29;09:00;0,234;;
6fadd3d6b297;2021/08/29;10:00;0,200;;
6fadd3d6b297;2021/08/29;11:00;0,186;;
6fadd3d6b297;2021/08/29;12:00;0,186;;
6fadd3d6b297;2021/08/29;13:00;0,277;;
6fadd3d6b297;2021/08/29;14:00;0,300;;
6fadd3d6b297;2021/08/29;15:00;0,192;;
6fadd3d6b297;2021/08/29;16:00;0,191;;
6fadd3d6b297;2021/08/29;17:00;0,190;;
6fadd3d6b297;2021/08/29;18:00;0,191;;
6fadd3d6b297;2021/08/29;19:00;0,190;;
6fadd3d6b297;2021/08/29;20:00;0,403;;
6fadd3d6b297;2021/08/29;21:00;0,190;;
6fadd3d6b297;2021/08/29;22:00;0,189;;
6fadd3d6b297;2021/08/29;23:00;0,190;;
6fadd3d6b297;2021/08/29;24:00;0,250;;
6fadd3d6b297;2021/08/30;01:00;0,131;;
6fadd3d6b297;2021/08/30;02:00;0,107;;
6fadd3d6b297;2021/08/30;03:00;0,102;;
6fadd3d6b297;2021/08/30;04:00;0,102;;
6fadd3d6b297;2021/08/30;05:00;0,160;;
6fadd3d6b297;2021/08/30;06:00;0,192;;
6fadd3d6b297;2021/08/30;07:00;0,237;;
6fadd3d6b297;2021/08/30;08:00;0,237;;
6fadd3d6b297;2021/08/30;09:00;0,297;;
6fadd3d6b297;2021/08/30;10:00;0,256;;
6fadd3d6b297;2021/08/30;11:00;0,437;;
6fadd3d6b297;2021/08/30;12:00;0,187;;
6fadd3d6b297;2021/08/30;13:00;0,215;;
6fadd3d6b297;2021/08/30;14:00;0,196;;
6fadd3d6b297;2021/08/30;15:00;0,186;;
6fadd3d6b297;2021/08/30;16:00;0,186;;
6fadd3d6b297;2021/08/30;17:00;0,207;;
6fadd3d6b297;2021/08/30;18:00;0,255;;
6fadd3d6b297;2021/08/30;19:00;0,243;;
6fadd3d6b297;2021/08/30;20:00;0,229;;
6fadd3d6b297;2021/08/30;21:00;0,435;;
6fadd3d6b297;2021/08/30;22:00;0,253;;
6fadd3d6b297;2021/08/30;23:00;0,240;;
6fadd3d6b297;2021/08/30;24:00;0,233;;
6fadd3d6b297;2021/08/31;01:00;0,211;;
6fadd3d6b297;2021/08/31;02:00;0,211;;
6fadd3d6b297;2021/08/31;03:00;0,210;;
6fadd3d6b297;2021/08/31;04:00;0,210;;
6fadd3d6b297;2021/08/31;05:00;0,210;;
6fadd3d6b297;2021/08/31;06:00;0,209;;
6fadd3d6b297;2021/08/31;07:00;0,248;;
6fadd3d6b297;2021/08/31;08:00;0,232;;
6fadd3d6b297;2021/08/31;09:00;0,932;;
6fadd3d6b297;2021/08/31;10:00;0,627;;
6fadd3d6b297;2021/08/31;11:00;0,184;;
6fadd3d6b297;2021/08/31;12:00;0,183;;
6fadd3d6b297;2021/08/31;13:00;0,184;;
6fadd3d6b297;2021/08/31;14:00;0,199;;
6fadd3d6b297;2021/08/31;15:00;0,366;;
6fadd3d6b297;2021/08/31;16:00;0,371;;
6fadd3d6b297;2021/08/31;17:00;0,247;;
6fadd3d6b297;2021/08/31;18:00;0,248;;
6fadd3d6b297;2021/08/31;19:00;0,206;;
6fadd3d6b297;2021/08/31;20:00;0,405;;
6fadd3d6b297;2021/08/31;21:00;0,185;;
6fadd3d6b297;2021/08/31;22:00;0,243;;
6fadd3d6b297;2021/08/31;23:00;0,267;;
6fadd3d6b297;2021/08/31;24:00;0,240;;
6fadd3d6b297;2021/09/01;01:00;0,212;;
6fadd3d6b297;2021/09/01;02:00;0,213;;
6fadd3d6b297;2021/09/01;03:00;0,214;;
6fadd3d6b297;2021/09/01;04:00;0,210;;
6fadd3d6b297;2021/09/01;05:00;0,211;;
6fadd3d6b297;2021/09/01;06:00;0,209;;
6fadd3d6b297;2021/09/01;07:00;0,237;;
6fadd3d6b297;2021/09/01;08:00;0,226;;
6fadd3d6b297;2021/09/01;09:00;0,380;;
6fadd3d6b297;2021/09/01;10:00;0,257;;
6fadd3d6b297;2021/09/01;11:00;0,450;;
6fadd3d6b297;2021/09/01;12:00;0,184;;
6fadd3d6b297;2021/09/01;13:00;0,206;;
6fadd3d6b297;2021/09/01;14:00;0,212;;
6fadd3d6b297;2021/09/01;15:00;0,208;;
6fadd3d6b297;2021/09/01;16:00;0,226;;
6fadd3d6b297;2021/09/01;17:00;0,240;;
6fadd3d6b297;2021/09/01;18:00;0,211;;
6fadd3d6b297;2021/09/01;19:00;0,214;;
6fadd3d6b297;2021/09/01;20:00;0,192;;
6fadd3d6b297;2021/09/01;21:00;0,187;;
6fadd3d6b297;2021/09/01;22:00;0,307;;
6fadd3d6b297;2021/09/01;23:00;0,412;;
6fadd3d6b297;2021/09/01;24:00;0,249;;
6fadd3d6b297;2021/09/02;01:00;0,203;;
6fadd3d6b297;2021/09/02;02:00;0,212;;
6fadd3d6b297;2021/09/02;03:00;0,167;;
6fadd3d6b297;2021/09/02;04:00;0,187;;
6fadd3d6b297;2021/09/02;05:00;0,169;;
6fadd3d6b297;2021/09/02;06:00;0,186;;
6fadd3d6b297;2021/09/02;07:00;0,230;;
6fadd3d6b297;2021/09/02;08:00;0,250;;
6fadd3d6b297;2021/09/02;09:00;0,233;;
6fadd3d6b297;2021/09/02;10:00;0,295;;
6fadd3d6b297;2021/09/02;11:00;0,453;;
6fadd3d6b297;2021/09/02;12:00;0,182;;
6fadd3d6b297;2021/09/02;13:00;0,223;;
6fadd3d6b297;2021/09/02;14:00;0,207;;
6fadd3d6b297;2021/09/02;15:00;0,183;;
6fadd3d6b297;2021/09/02;16:00;0,183;;
6fadd3d6b297;2021/09/02;17:00;0,183;;
6fadd3d6b297;2021/09/02;18:00;0,182;;
6fadd3d6b297;2021/09/02;19:00;0,183;;
6fadd3d6b297;2021/09/02;20:00;0,182;;
6fadd3d6b297;2021/09/02;21:00;0,192;;
6fadd3d6b297;2021/09/02;22:00;0,257;;
6fadd3d6b297;2021/09/02;23:00;0,219;;
6fadd3d6b297;2021/09/02;24:00;0,431;;
6fadd3d6b297;2021/09/03;01:00;0,213;;
6fadd3d6b297;2021/09/03;02:00;0,212;;
6fadd3d6b297;2021/09/03;03:00;0,186;;
6fadd3d6b297;2021/09/03;04:00;0,185;;
6fadd3d6b297;2021/09/03;05:00;0,185;;
6fadd3d6b297;2021/09/03;06:00;0,184;;
6fadd3d6b297;2021/09/03;07:00;0,348;;
6fadd3d6b297;2021/09/03;08:00;0,292;;
6fadd3d6b297;2021/09/03;09:00;0,519;;
6fadd3d6b297;2021/09/03;10:00;0,534;;
6fadd3d6b297;2021/09/03;11:00;0,179;;
6fadd3d6b297;2021/09/03;12:00;0,169;;
6fadd3d6b297;2021/09/03;13:00;0,172;;
6fadd3d6b297;2021/09/03;14:00;0,187;;
6fadd3d6b297;2021/09/03;15:00;0,259;;
6fadd3d6b297;2021/09/03;16:00;0,325;;
6fadd3d6b297;2021/09/03;17:00;0,173;;
6fadd3d6b297;2021/09/03;18:00;0,183;;
6fadd3d6b297;2021/09/03;19:00;0,186;;
6fadd3d6b297;2021/09/03;20:00;0,170;;
6fadd3d6b297;2021/09/03;21:00;0,186;;
6fadd3d6b297;2021/09/03;22:00;0,170;;
6fadd3d6b297;2021/09/03;23:00;0,187;;
6fadd3d6b297;2021/09/03;24:00;0,186;;
6fadd3d6b297;2021/09/04;01:00;0,170;;
6fadd3d6b297;2021/09/04;02:00;0,186;;
6fadd3d6b297;2021/09/04;03:00;0,169;;
6fadd3d6b297;2021/09/04;04:00;0,399;;
6fadd3d6b297;2021/09/04;05:00;0,169;;
6fadd3d6b297;2021/09/04;06:00;0,187;;
6fadd3d6b297;2021/09/04;07:00;0,172;;
6fadd3d6b297;2021/09/04;08:00;0,182;;
6fadd3d6b297;2021/09/04;09:00;0,174;;
6fadd3d6b297;2021/09/04;10:00;0,179;;
6fadd3d6b297;2021/09/04;11:00;0,180;;
6fadd3d6b297;2021/09/04;12:00;0,173;;
6fadd3d6b297;2021/09/04;13:00;0,167;;
6fadd3d6b297;2021/09/04;14:00;0,186;;
6fadd3d6b297;2021/09/04;15:00;0,167;;
6fadd3d6b297;2021/09/04;16:00;0,186;;
6fadd3d6b297;2021/09/04;17:00;0,397;;
6fadd3d6b297;2021/09/04;18:00;0,169;;
6fadd3d6b297;2021/09/04;19:00;0,169;;
6fadd3d6b297;2021/09/04;20:00;0,196;;
6fadd3d6b297;2021/09/04;21:00;0,170;;
6fadd3d6b297;2021/09/04;22:00;0,174;;
6fadd3d6b297;2021/09/04;23:00;0,170;;
6fadd3d6b297;2021/09/04;24:00;0,174;;
6fadd3d6b297;2021/09/05;01:00;0,181;;
6fadd3d6b297;2021/09/05;02:00;0,164;;
6fadd3d6b297;2021/09/05;03:00;0,181;;
6fadd3d6b297;2021/09/05;04:00;0,164;;
6fadd3d6b297;2021/09/05;05:00;0,180;;
6fadd3d6b297;2021/09/05;06:00;0,164;;
6fadd3d6b297;2021/09/05;07:00;0,398;;
6fadd3d6b297;2021/09/05;08:00;0,164;;
6fadd3d6b297;2021/09/05;09:00;0,181;;
6fadd3d6b297;2021/09/05;10:00;0,163;;
6fadd3d6b297;2021/09/05;11:00;0,180;;
6fadd3d6b297;2021/09/05;12:00;0,164;;
6fadd3d6b297;2021/09/05;13:00;0,180;;
6fadd3d6b297;2021/09/05;14:00;0,165;;
6fadd3d6b297;2021/09/05;15:00;0,181;;
6fadd3d6b297;2021/09/05;16:00;0,164;;
6fadd3d6b297;2021/09/05;17:00;0,182;;
6fadd3d6b297;2021/09/05;18:00;0,181;;
6fadd3d6b297;2021/09/05;19:00;0,165;;
6fadd3d6b297;2021/09/05;20:00;0,182;;
6fadd3d6b297;2021/09/05;21:00;0,276;;
6fadd3d6b297;2021/09/05;22:00;0,372;;
6fadd3d6b297;2021/09/05;23:00;0,246;;
6fadd3d6b297;2021/09/05;24:00;0,200;;
6fadd3d6b297;2021/09/06;01:00;0,204;;
6fadd3d6b297;2021/09/06;02:00;0,186;;
6fadd3d6b297;2021/09/06;03:00;0,169;;
6fadd3d6b297;2021/09/06;04:00;0,377;;
6fadd3d6b297;2021/09/06;05:00;0,202;;
6fadd3d6b297;2021/09/06;06:00;0,227;;
6fadd3d6b297;2021/09/06;07:00;0,247;;
6fadd3d6b297;2021/09/06;08:00;0,165;;
6fadd3d6b297;2021/09/06;09:00;0,181;;
6fadd3d6b297;2021/09/06;10:00;0,164;;
6fadd3d6b297;2021/09/06;11:00;0,180;;
6fadd3d6b297;2021/09/06;12:00;0,164;;
6fadd3d6b297;2021/09/06;13:00;0,397;;
6fadd3d6b297;2021/09/06;14:00;0,181;;
6fadd3d6b297;2021/09/06;15:00;0,165;;
6fadd3d6b297;2021/09/06;16:00;0,181;;
6fadd3d6b297;2021/09/06;17:00;0,169;;
6fadd3d6b297;2021/09/06;18:00;0,178;;
6fadd3d6b297;2021/09/06;19:00;0,208;;
6fadd3d6b297;2021/09/06;20:00;0,163;;
6fadd3d6b297;2021/09/06;21:00;0,201;;
6fadd3d6b297;2021/09/06;22:00;1,109;;
6fadd3d6b297;2021/09/06;23:00;0,244;;
6fadd3d6b297;2021/09/06;24:00;0,241;;
6fadd3d6b297;2021/09/07;01:00;0,240;;
6fadd3d6b297;2021/09/07;02:00;0,170;;
6fadd3d6b297;2021/09/07;03:00;0,186;;
6fadd3d6b297;2021/09/07;04:00;0,185;;
6fadd3d6b297;2021/09/07;05:00;0,168;;
6fadd3d6b297;2021/09/07;06:00;0,185;;
6fadd3d6b297;2021/09/07;07:00;0,184;;
6fadd3d6b297;2021/09/07;08:00;0,447;;
6fadd3d6b297;2021/09/07;09:00;0,242;;
6fadd3d6b297;2021/09/07;10:00;0,174;;
6fadd3d6b297;2021/09/07;11:00;0,179;;
6fadd3d6b297;2021/09/07;12:00;0,184;;
6fadd3d6b297;2021/09/07;13:00;0,168;;
6fadd3d6b297;2021/09/07;14:00;0,185;;
6fadd3d6b297;2021/09/07;15:00;0,167;;
6fadd3d6b297;2021/09/07;16:00;0,185;;
6fadd3d6b297;2021/09/07;17:00;0,180;;
6fadd3d6b297;2021/09/07;18:00;0,173;;
6fadd3d6b297;2021/09/07;19:00;0,185;;
6fadd3d6b297;2021/09/07;20:00;0,169;;
6fadd3d6b297;2021/09/07;21:00;0,221;;
6fadd3d6b297;2021/09/07;22:00;0,465;;
6fadd3d6b297;2021/09/07;23:00;0,221;;
6fadd3d6b297;2021/09/07;24:00;0,248;;
6fadd3d6b297;2021/09/08;01:00;0,237;;
6fadd3d6b297;2021/09/08;02:00;0,234;;
6fadd3d6b297;2021/09/08;03:00;0,235;;
6fadd3d6b297;2021/09/08;04:00;0,194;;
6fadd3d6b297;2021/09/08;05:00;0,171;;
6fadd3d6b297;2021/09/08;06:00;0,185;;
6fadd3d6b297;2021/09/08;07:00;0,169;;
6fadd3d6b297;2021/09/08;08:00;0,261;;
6fadd3d6b297;2021/09/08;09:00;0,239;;
6fadd3d6b297;2021/09/08;10:00;0,416;;
6fadd3d6b297;2021/09/08;11:00;0,167;;
6fadd3d6b297;2021/09/08;12:00;0,185;;
6fadd3d6b297;2021/09/08;13:00;0,181;;
6fadd3d6b297;2021/09/08;14:00;0,166;;
6fadd3d6b297;2021/09/08;15:00;0,182;;
6fadd3d6b297;2021/09/08;16:00;0,193;;
6fadd3d6b297;2021/09/08;17:00;0,182;;
6fadd3d6b297;2021/09/08;18:00;0,166;;
6fadd3d6b297;2021/09/08;19:00;0,182;;
6fadd3d6b297;2021/09/08;20:00;0,169;;
6fadd3d6b297;2021/09/08;21:00;0,179;;
6fadd3d6b297;2021/09/08;22:00;0,193;;
6fadd3d6b297;2021/09/08;23:00;0,878;;
6fadd3d6b297;2021/09/08;24:00;0,648;;
6fadd3d6b297;2021/09/09;01:00;0,199;;
6fadd3d6b297;2021/09/09;02:00;0,209;;
6fadd3d6b297;2021/09/09;03:00;0,169;;
6fadd3d6b297;2021/09/09;04:00;0,185;;
6fadd3d6b297;2021/09/09;05:00;0,168;;
6fadd3d6b297;2021/09/09;06:00;0,186;;
6fadd3d6b297;2021/09/09;07:00;0,192;;
6fadd3d6b297;2021/09/09;08:00;0,208;;
6fadd3d6b297;2021/09/09;09:00;0,516;;
6fadd3d6b297;2021/09/09;10:00;0,202;;
6fadd3d6b297;2021/09/09;11:00;0,167;;
6fadd3d6b297;2021/09/09;12:00;0,185;;
6fadd3d6b297;2021/09/09;13:00;0,168;;
6fadd3d6b297;2021/09/09;14:00;0,166;;
6fadd3d6b297;2021/09/09;15:00;0,239;;
6fadd3d6b297;2021/09/09;16:00;0,239;;
6fadd3d6b297;2021/09/09;17:00;0,431;;
6fadd3d6b297;2021/09/09;18:00;0,207;;
6fadd3d6b297;2021/09/09;19:00;0,378;;
6fadd3d6b297;2021/09/09;20:00;0,234;;
6fadd3d6b297;2021/09/09;21:00;0,239;;
6fadd3d6b297;2021/09/09;22:00;0,241;;
6fadd3d6b297;2021/09/09;23:00;0,203;;
6fadd3d6b297;2021/09/09;24:00;0,203;;
6fadd3d6b297;2021/09/10;01:00;0,169;;
6fadd3d6b297;2021/09/10;02:00;0,183;;
6fadd3d6b297;2021/09/10;03:00;0,165;;
6fadd3d6b297;2021/09/10;04:00;0,184;;
6fadd3d6b297;2021/09/10;05:00;0,169;;
6fadd3d6b297;2021/09/10;06:00;0,429;;
6fadd3d6b297;2021/09/10;07:00;0,210;;
6fadd3d6b297;2021/09/10;08:00;0,334;;
6fadd3d6b297;2021/09/10;09:00;0,454;;
6fadd3d6b297;2021/09/10;10:00;0,164;;
6fadd3d6b297;2021/09/10;11:00;0,182;;
6fadd3d6b297;2021/09/10;12:00;0,164;;
6fadd3d6b297;2021/09/10;13:00;0,168;;
6fadd3d6b297;2021/09/10;14:00;0,393;;
6fadd3d6b297;2021/09/10;15:00;0,164;;
6fadd3d6b297;2021/09/10;16:00;0,182;;
6fadd3d6b297;2021/09/10;17:00;0,165;;
6fadd3d6b297;2021/09/10;18:00;0,182;;
6fadd3d6b297;2021/09/10;19:00;0,165;;
6fadd3d6b297;2021/09/10;20:00;0,179;;
6fadd3d6b297;2021/09/10;21:00;0,168;;
6fadd3d6b297;2021/09/10;22:00;0,220;;
6fadd3d6b297;2021/09/10;23:00;0,225;;
6fadd3d6b297;2021/09/10;24:00;0,239;;
6fadd3d6b297;2021/09/11;01:00;0,453;;
6fadd3d6b297;2021/09/11;02:00;0,173;;
6fadd3d6b297;2021/09/11;03:00;0,187;;
6fadd3d6b297;2021/09/11;04:00;0,169;;
6fadd3d6b297;2021/09/11;05:00;0,179;;
