cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
7766e16a2d4a;2021/08/07;01:00;0,266;;
7766e16a2d4a;2021/08/07;02:00;0,130;;
7766e16a2d4a;2021/08/07;03:00;0,084;;
7766e16a2d4a;2021/08/07;04:00;0,091;;
7766e16a2d4a;2021/08/07;05:00;0,088;;
7766e16a2d4a;2021/08/07;06:00;0,061;;
7766e16a2d4a;2021/08/07;07:00;0,088;;
7766e16a2d4a;2021/08/07;08:00;0,057;;
7766e16a2d4a;2021/08/07;09:00;0,093;;
7766e16a2d4a;2021/08/07;10:00;0,086;;
7766e16a2d4a;2021/08/07;11:00;0,072;;
7766e16a2d4a;2021/08/07;12:00;0,117;;
7766e16a2d4a;2021/08/07;13:00;0,087;;
7766e16a2d4a;2021/08/07;14:00;0,159;;
7766e16a2d4a;2021/08/07;15:00;2,055;;
7766e16a2d4a;2021/08/07;16:00;0,270;;
7766e16a2d4a;2021/08/07;17:00;0,173;;
7766e16a2d4a;2021/08/07;18:00;0,136;;
7766e16a2d4a;2021/08/07;19:00;0,179;;
7766e16a2d4a;2021/08/07;20:00;0,248;;
7766e16a2d4a;2021/08/07;21:00;0,238;;
7766e16a2d4a;2021/08/07;22:00;0,759;;
7766e16a2d4a;2021/08/07;23:00;0,236;;
7766e16a2d4a;2021/08/07;24:00;0,191;;
7766e16a2d4a;2021/08/08;01:00;0,183;;
7766e16a2d4a;2021/08/08;02:00;0,177;;
7766e16a2d4a;2021/08/08;03:00;0,145;;
7766e16a2d4a;2021/08/08;04:00;0,096;;
7766e16a2d4a;2021/08/08;05:00;0,109;;
7766e16a2d4a;2021/08/08;06:00;0,074;;
7766e16a2d4a;2021/08/08;07:00;0,113;;
7766e16a2d4a;2021/08/08;08:00;0,067;;
7766e16a2d4a;2021/08/08;09:00;0,109;;
7766e16a2d4a;2021/08/08;10:00;0,062;;
7766e16a2d4a;2021/08/08;11:00;0,104;;
7766e16a2d4a;2021/08/08;12:00;0,629;;
7766e16a2d4a;2021/08/08;13:00;0,334;;
7766e16a2d4a;2021/08/08;14:00;0,182;;
7766e16a2d4a;2021/08/08;15:00;1,307;;
7766e16a2d4a;2021/08/08;16:00;0,507;;
7766e16a2d4a;2021/08/08;17:00;0,319;;
7766e16a2d4a;2021/08/08;18:00;0,445;;
7766e16a2d4a;2021/08/08;19:00;0,374;;
7766e16a2d4a;2021/08/08;20:00;0,262;;
7766e16a2d4a;2021/08/08;21:00;0,386;;
7766e16a2d4a;2021/08/08;22:00;0,419;;
7766e16a2d4a;2021/08/08;23:00;0,319;;
7766e16a2d4a;2021/08/08;24:00;0,199;;
7766e16a2d4a;2021/08/09;01:00;0,272;;
7766e16a2d4a;2021/08/09;02:00;0,227;;
7766e16a2d4a;2021/08/09;03:00;0,170;;
7766e16a2d4a;2021/08/09;04:00;0,074;;
7766e16a2d4a;2021/08/09;05:00;0,129;;
7766e16a2d4a;2021/08/09;06:00;0,098;;
7766e16a2d4a;2021/08/09;07:00;0,089;;
7766e16a2d4a;2021/08/09;08:00;0,089;;
7766e16a2d4a;2021/08/09;09:00;0,102;;
7766e16a2d4a;2021/08/09;10:00;0,076;;
7766e16a2d4a;2021/08/09;11:00;0,221;;
7766e16a2d4a;2021/08/09;12:00;0,519;;
7766e16a2d4a;2021/08/09;13:00;1,078;;
7766e16a2d4a;2021/08/09;14:00;0,928;;
7766e16a2d4a;2021/08/09;15:00;0,369;;
7766e16a2d4a;2021/08/09;16:00;0,285;;
7766e16a2d4a;2021/08/09;17:00;0,245;;
7766e16a2d4a;2021/08/09;18:00;0,420;;
7766e16a2d4a;2021/08/09;19:00;0,450;;
7766e16a2d4a;2021/08/09;20:00;0,614;;
7766e16a2d4a;2021/08/09;21:00;0,226;;
7766e16a2d4a;2021/08/09;22:00;0,233;;
7766e16a2d4a;2021/08/09;23:00;0,207;;
7766e16a2d4a;2021/08/09;24:00;0,245;;
7766e16a2d4a;2021/08/10;01:00;0,174;;
7766e16a2d4a;2021/08/10;02:00;0,154;;
7766e16a2d4a;2021/08/10;03:00;0,178;;
7766e16a2d4a;2021/08/10;04:00;0,102;;
7766e16a2d4a;2021/08/10;05:00;0,120;;
7766e16a2d4a;2021/08/10;06:00;0,165;;
7766e16a2d4a;2021/08/10;07:00;0,096;;
7766e16a2d4a;2021/08/10;08:00;0,116;;
7766e16a2d4a;2021/08/10;09:00;0,079;;
7766e16a2d4a;2021/08/10;10:00;0,110;;
7766e16a2d4a;2021/08/10;11:00;0,080;;
7766e16a2d4a;2021/08/10;12:00;0,126;;
7766e16a2d4a;2021/08/10;13:00;0,358;;
7766e16a2d4a;2021/08/10;14:00;0,307;;
7766e16a2d4a;2021/08/10;15:00;1,053;;
7766e16a2d4a;2021/08/10;16:00;0,702;;
7766e16a2d4a;2021/08/10;17:00;0,271;;
7766e16a2d4a;2021/08/10;18:00;0,274;;
7766e16a2d4a;2021/08/10;19:00;0,842;;
7766e16a2d4a;2021/08/10;20:00;0,986;;
7766e16a2d4a;2021/08/10;21:00;0,765;;
7766e16a2d4a;2021/08/10;22:00;0,888;;
7766e16a2d4a;2021/08/10;23:00;0,298;;
7766e16a2d4a;2021/08/10;24:00;0,231;;
7766e16a2d4a;2021/08/11;01:00;0,516;;
7766e16a2d4a;2021/08/11;02:00;1,430;;
7766e16a2d4a;2021/08/11;03:00;1,465;;
7766e16a2d4a;2021/08/11;04:00;1,460;;
7766e16a2d4a;2021/08/11;05:00;0,466;;
7766e16a2d4a;2021/08/11;06:00;0,168;;
7766e16a2d4a;2021/08/11;07:00;0,109;;
7766e16a2d4a;2021/08/11;08:00;0,166;;
7766e16a2d4a;2021/08/11;09:00;0,173;;
7766e16a2d4a;2021/08/11;10:00;0,113;;
7766e16a2d4a;2021/08/11;11:00;0,185;;
7766e16a2d4a;2021/08/11;12:00;0,234;;
7766e16a2d4a;2021/08/11;13:00;0,239;;
7766e16a2d4a;2021/08/11;14:00;1,128;;
7766e16a2d4a;2021/08/11;15:00;1,594;;
7766e16a2d4a;2021/08/11;16:00;0,776;;
7766e16a2d4a;2021/08/11;17:00;2,126;;
7766e16a2d4a;2021/08/11;18:00;2,418;;
7766e16a2d4a;2021/08/11;19:00;2,172;;
7766e16a2d4a;2021/08/11;20:00;2,407;;
7766e16a2d4a;2021/08/11;21:00;2,702;;
7766e16a2d4a;2021/08/11;22:00;2,840;;
7766e16a2d4a;2021/08/11;23:00;3,299;;
7766e16a2d4a;2021/08/11;24:00;2,558;;
7766e16a2d4a;2021/08/12;01:00;2,358;;
7766e16a2d4a;2021/08/12;02:00;0,255;;
7766e16a2d4a;2021/08/12;03:00;0,120;;
7766e16a2d4a;2021/08/12;04:00;0,132;;
7766e16a2d4a;2021/08/12;05:00;0,151;;
7766e16a2d4a;2021/08/12;06:00;0,111;;
7766e16a2d4a;2021/08/12;07:00;0,283;;
7766e16a2d4a;2021/08/12;08:00;0,113;;
7766e16a2d4a;2021/08/12;09:00;0,128;;
7766e16a2d4a;2021/08/12;10:00;0,111;;
7766e16a2d4a;2021/08/12;11:00;0,139;;
7766e16a2d4a;2021/08/12;12:00;0,182;;
7766e16a2d4a;2021/08/12;13:00;0,102;;
7766e16a2d4a;2021/08/12;14:00;0,136;;
7766e16a2d4a;2021/08/12;15:00;0,464;;
7766e16a2d4a;2021/08/12;16:00;0,191;;
7766e16a2d4a;2021/08/12;17:00;0,122;;
7766e16a2d4a;2021/08/12;18:00;0,102;;
7766e16a2d4a;2021/08/12;19:00;0,255;;
7766e16a2d4a;2021/08/12;20:00;0,271;;
7766e16a2d4a;2021/08/12;21:00;0,864;;
7766e16a2d4a;2021/08/12;22:00;1,461;;
7766e16a2d4a;2021/08/12;23:00;3,960;;
7766e16a2d4a;2021/08/12;24:00;3,128;;
7766e16a2d4a;2021/08/13;01:00;0,894;;
7766e16a2d4a;2021/08/13;02:00;0,184;;
7766e16a2d4a;2021/08/13;03:00;0,178;;
7766e16a2d4a;2021/08/13;04:00;0,180;;
7766e16a2d4a;2021/08/13;05:00;0,175;;
7766e16a2d4a;2021/08/13;06:00;0,169;;
7766e16a2d4a;2021/08/13;07:00;0,254;;
7766e16a2d4a;2021/08/13;08:00;0,091;;
7766e16a2d4a;2021/08/13;09:00;0,096;;
7766e16a2d4a;2021/08/13;10:00;0,167;;
7766e16a2d4a;2021/08/13;11:00;0,195;;
7766e16a2d4a;2021/08/13;12:00;0,202;;
7766e16a2d4a;2021/08/13;13:00;0,182;;
7766e16a2d4a;2021/08/13;14:00;0,150;;
7766e16a2d4a;2021/08/13;15:00;0,153;;
7766e16a2d4a;2021/08/13;16:00;0,144;;
7766e16a2d4a;2021/08/13;17:00;0,141;;
7766e16a2d4a;2021/08/13;18:00;2,083;;
7766e16a2d4a;2021/08/13;19:00;1,955;;
7766e16a2d4a;2021/08/13;20:00;1,899;;
7766e16a2d4a;2021/08/13;21:00;1,613;;
7766e16a2d4a;2021/08/13;22:00;2,381;;
7766e16a2d4a;2021/08/13;23:00;3,241;;
7766e16a2d4a;2021/08/13;24:00;3,448;;
7766e16a2d4a;2021/08/14;01:00;3,390;;
7766e16a2d4a;2021/08/14;02:00;3,074;;
7766e16a2d4a;2021/08/14;03:00;3,094;;
7766e16a2d4a;2021/08/14;04:00;3,042;;
7766e16a2d4a;2021/08/14;05:00;2,244;;
7766e16a2d4a;2021/08/14;06:00;1,120;;
7766e16a2d4a;2021/08/14;07:00;1,061;;
7766e16a2d4a;2021/08/14;08:00;0,214;;
7766e16a2d4a;2021/08/14;09:00;0,158;;
7766e16a2d4a;2021/08/14;10:00;0,834;;
7766e16a2d4a;2021/08/14;11:00;0,681;;
7766e16a2d4a;2021/08/14;12:00;0,217;;
7766e16a2d4a;2021/08/14;13:00;0,211;;
7766e16a2d4a;2021/08/14;14:00;0,103;;
7766e16a2d4a;2021/08/14;15:00;0,103;;
7766e16a2d4a;2021/08/14;16:00;0,119;;
7766e16a2d4a;2021/08/14;17:00;0,097;;
7766e16a2d4a;2021/08/14;18:00;0,138;;
7766e16a2d4a;2021/08/14;19:00;0,093;;
7766e16a2d4a;2021/08/14;20:00;0,149;;
7766e16a2d4a;2021/08/14;21:00;0,074;;
7766e16a2d4a;2021/08/14;22:00;0,128;;
7766e16a2d4a;2021/08/14;23:00;0,089;;
7766e16a2d4a;2021/08/14;24:00;0,151;;
7766e16a2d4a;2021/08/15;01:00;0,087;;
7766e16a2d4a;2021/08/15;02:00;0,157;;
7766e16a2d4a;2021/08/15;03:00;2,196;;
7766e16a2d4a;2021/08/15;04:00;2,610;;
7766e16a2d4a;2021/08/15;05:00;2,586;;
7766e16a2d4a;2021/08/15;06:00;2,558;;
7766e16a2d4a;2021/08/15;07:00;2,536;;
7766e16a2d4a;2021/08/15;08:00;2,556;;
7766e16a2d4a;2021/08/15;09:00;2,529;;
7766e16a2d4a;2021/08/15;10:00;2,121;;
7766e16a2d4a;2021/08/15;11:00;0,088;;
7766e16a2d4a;2021/08/15;12:00;0,148;;
7766e16a2d4a;2021/08/15;13:00;0,431;;
7766e16a2d4a;2021/08/15;14:00;0,167;;
7766e16a2d4a;2021/08/15;15:00;0,575;;
7766e16a2d4a;2021/08/15;16:00;0,858;;
7766e16a2d4a;2021/08/15;17:00;2,236;;
7766e16a2d4a;2021/08/15;18:00;2,952;;
7766e16a2d4a;2021/08/15;19:00;3,266;;
7766e16a2d4a;2021/08/15;20:00;3,213;;
7766e16a2d4a;2021/08/15;21:00;3,091;;
7766e16a2d4a;2021/08/15;22:00;3,673;;
7766e16a2d4a;2021/08/15;23:00;3,176;;
7766e16a2d4a;2021/08/15;24:00;3,042;;
7766e16a2d4a;2021/08/16;01:00;2,729;;
7766e16a2d4a;2021/08/16;02:00;0,206;;
7766e16a2d4a;2021/08/16;03:00;0,185;;
7766e16a2d4a;2021/08/16;04:00;0,181;;
7766e16a2d4a;2021/08/16;05:00;0,114;;
