cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
9c890590d367;2021/08/07;01:00;0,154;;
9c890590d367;2021/08/07;02:00;0,121;;
9c890590d367;2021/08/07;03:00;0,119;;
9c890590d367;2021/08/07;04:00;0,109;;
9c890590d367;2021/08/07;05:00;0,096;;
9c890590d367;2021/08/07;06:00;0,083;;
9c890590d367;2021/08/07;07:00;0,119;;
9c890590d367;2021/08/07;08:00;0,146;;
9c890590d367;2021/08/07;09:00;0,223;;
9c890590d367;2021/08/07;10:00;0,133;;
9c890590d367;2021/08/07;11:00;0,084;;
9c890590d367;2021/08/07;12:00;0,139;;
9c890590d367;2021/08/07;13:00;0,160;;
9c890590d367;2021/08/07;14:00;0,165;;
9c890590d367;2021/08/07;15:00;0,163;;
9c890590d367;2021/08/07;16:00;0,213;;
9c890590d367;2021/08/07;17:00;0,208;;
9c890590d367;2021/08/07;18:00;0,220;;
9c890590d367;2021/08/07;19:00;0,219;;
9c890590d367;2021/08/07;20:00;0,192;;
9c890590d367;2021/08/07;21:00;0,180;;
9c890590d367;2021/08/07;22:00;0,155;;
9c890590d367;2021/08/07;23:00;0,161;;
9c890590d367;2021/08/07;24:00;0,311;;
9c890590d367;2021/08/08;01:00;0,794;;
9c890590d367;2021/08/08;02:00;0,781;;
9c890590d367;2021/08/08;03:00;0,160;;
9c890590d367;2021/08/08;04:00;0,168;;
9c890590d367;2021/08/08;05:00;0,084;;
9c890590d367;2021/08/08;06:00;0,107;;
9c890590d367;2021/08/08;07:00;0,097;;
9c890590d367;2021/08/08;08:00;0,086;;
9c890590d367;2021/08/08;09:00;0,142;;
9c890590d367;2021/08/08;10:00;0,152;;
9c890590d367;2021/08/08;11:00;0,125;;
9c890590d367;2021/08/08;12:00;0,140;;
9c890590d367;2021/08/08;13:00;0,085;;
9c890590d367;2021/08/08;14:00;0,155;;
9c890590d367;2021/08/08;15:00;0,181;;
9c890590d367;2021/08/08;16:00;0,141;;
9c890590d367;2021/08/08;17:00;0,165;;
9c890590d367;2021/08/08;18:00;0,216;;
9c890590d367;2021/08/08;19:00;0,215;;
9c890590d367;2021/08/08;20:00;0,184;;
9c890590d367;2021/08/08;21:00;0,593;;
9c890590d367;2021/08/08;22:00;0,332;;
9c890590d367;2021/08/08;23:00;0,273;;
9c890590d367;2021/08/08;24:00;0,503;;
9c890590d367;2021/08/09;01:00;0,835;;
9c890590d367;2021/08/09;02:00;0,371;;
9c890590d367;2021/08/09;03:00;0,221;;
9c890590d367;2021/08/09;04:00;0,116;;
9c890590d367;2021/08/09;05:00;0,086;;
9c890590d367;2021/08/09;06:00;0,084;;
9c890590d367;2021/08/09;07:00;0,083;;
9c890590d367;2021/08/09;08:00;0,143;;
9c890590d367;2021/08/09;09:00;0,151;;
9c890590d367;2021/08/09;10:00;0,152;;
9c890590d367;2021/08/09;11:00;0,122;;
9c890590d367;2021/08/09;12:00;0,125;;
9c890590d367;2021/08/09;13:00;0,131;;
9c890590d367;2021/08/09;14:00;0,196;;
9c890590d367;2021/08/09;15:00;0,194;;
9c890590d367;2021/08/09;16:00;0,198;;
9c890590d367;2021/08/09;17:00;0,183;;
9c890590d367;2021/08/09;18:00;0,235;;
9c890590d367;2021/08/09;19:00;0,214;;
9c890590d367;2021/08/09;20:00;0,216;;
9c890590d367;2021/08/09;21:00;0,214;;
9c890590d367;2021/08/09;22:00;0,182;;
9c890590d367;2021/08/09;23:00;0,233;;
9c890590d367;2021/08/09;24:00;0,314;;
9c890590d367;2021/08/10;01:00;0,596;;
9c890590d367;2021/08/10;02:00;0,621;;
9c890590d367;2021/08/10;03:00;0,352;;
9c890590d367;2021/08/10;04:00;0,344;;
9c890590d367;2021/08/10;05:00;0,264;;
9c890590d367;2021/08/10;06:00;0,083;;
9c890590d367;2021/08/10;07:00;0,091;;
9c890590d367;2021/08/10;08:00;0,119;;
9c890590d367;2021/08/10;09:00;0,178;;
9c890590d367;2021/08/10;10:00;0,108;;
9c890590d367;2021/08/10;11:00;0,118;;
9c890590d367;2021/08/10;12:00;0,143;;
9c890590d367;2021/08/10;13:00;0,150;;
9c890590d367;2021/08/10;14:00;0,402;;
9c890590d367;2021/08/10;15:00;0,284;;
9c890590d367;2021/08/10;16:00;0,204;;
9c890590d367;2021/08/10;17:00;1,182;;
9c890590d367;2021/08/10;18:00;0,697;;
9c890590d367;2021/08/10;19:00;0,698;;
9c890590d367;2021/08/10;20:00;0,795;;
9c890590d367;2021/08/10;21:00;0,702;;
9c890590d367;2021/08/10;22:00;0,276;;
9c890590d367;2021/08/10;23:00;0,217;;
9c890590d367;2021/08/10;24:00;0,389;;
9c890590d367;2021/08/11;01:00;0,908;;
9c890590d367;2021/08/11;02:00;0,230;;
9c890590d367;2021/08/11;03:00;0,159;;
9c890590d367;2021/08/11;04:00;0,208;;
9c890590d367;2021/08/11;05:00;0,189;;
9c890590d367;2021/08/11;06:00;0,182;;
