cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
ba38270a360e;2023/02/22;01:00;0,148;;
ba38270a360e;2023/02/22;02:00;0,058;;
ba38270a360e;2023/02/22;03:00;0,058;;
ba38270a360e;2023/02/22;04:00;0,054;;
ba38270a360e;2023/02/22;05:00;0,110;;
ba38270a360e;2023/02/22;06:00;0,103;;
ba38270a360e;2023/02/22;07:00;0,105;;
ba38270a360e;2023/02/22;08:00;0,277;;
ba38270a360e;2023/02/22;09:00;0,056;;
ba38270a360e;2023/02/22;10:00;0,161;;
ba38270a360e;2023/02/22;11:00;0,145;;
ba38270a360e;2023/02/22;12:00;0,094;;
ba38270a360e;2023/02/22;13:00;0,055;;
ba38270a360e;2023/02/22;14:00;0,073;;
ba38270a360e;2023/02/22;15:00;0,712;;
ba38270a360e;2023/02/22;16:00;0,700;;
ba38270a360e;2023/02/22;17:00;0,391;;
ba38270a360e;2023/02/22;18:00;0,082;;
ba38270a360e;2023/02/22;19:00;0,067;;
ba38270a360e;2023/02/22;20:00;0,112;;
ba38270a360e;2023/02/22;21:00;0,093;;
ba38270a360e;2023/02/22;22:00;0,124;;
ba38270a360e;2023/02/22;23:00;0,128;;
ba38270a360e;2023/02/22;24:00;0,222;;
ba38270a360e;2023/02/23;01:00;0,082;;
ba38270a360e;2023/02/23;02:00;0,099;;
ba38270a360e;2023/02/23;03:00;0,097;;
ba38270a360e;2023/02/23;04:00;0,099;;
ba38270a360e;2023/02/23;05:00;0,095;;
ba38270a360e;2023/02/23;06:00;0,027;;
ba38270a360e;2023/02/23;07:00;0,053;;
ba38270a360e;2023/02/23;08:00;0,049;;
ba38270a360e;2023/02/23;09:00;0,076;;
ba38270a360e;2023/02/23;10:00;0,090;;
ba38270a360e;2023/02/23;11:00;0,015;;
ba38270a360e;2023/02/23;12:00;0,092;;
ba38270a360e;2023/02/23;13:00;0,289;;
ba38270a360e;2023/02/23;14:00;1,756;;
ba38270a360e;2023/02/23;15:00;1,240;;
ba38270a360e;2023/02/23;16:00;1,078;;
ba38270a360e;2023/02/23;17:00;0,774;;
ba38270a360e;2023/02/23;18:00;0,275;;
ba38270a360e;2023/02/23;19:00;0,322;;
ba38270a360e;2023/02/23;20:00;0,069;;
ba38270a360e;2023/02/23;21:00;0,077;;
ba38270a360e;2023/02/23;22:00;0,128;;
ba38270a360e;2023/02/23;23:00;0,257;;
ba38270a360e;2023/02/23;24:00;0,183;;
ba38270a360e;2023/02/24;01:00;0,107;;
ba38270a360e;2023/02/24;02:00;0,118;;
ba38270a360e;2023/02/24;03:00;0,026;;
ba38270a360e;2023/02/24;04:00;0,110;;
ba38270a360e;2023/02/24;05:00;0,031;;
ba38270a360e;2023/02/24;06:00;0,099;;
ba38270a360e;2023/02/24;07:00;0,035;;
ba38270a360e;2023/02/24;08:00;0,091;;
ba38270a360e;2023/02/24;09:00;0,041;;
ba38270a360e;2023/02/24;10:00;0,243;;
ba38270a360e;2023/02/24;11:00;0,046;;
ba38270a360e;2023/02/24;12:00;0,122;;
ba38270a360e;2023/02/24;13:00;0,262;;
ba38270a360e;2023/02/24;14:00;0,134;;
ba38270a360e;2023/02/24;15:00;0,115;;
ba38270a360e;2023/02/24;16:00;0,431;;
ba38270a360e;2023/02/24;17:00;0,500;;
ba38270a360e;2023/02/24;18:00;0,605;;
ba38270a360e;2023/02/24;19:00;0,111;;
ba38270a360e;2023/02/24;20:00;0,027;;
ba38270a360e;2023/02/24;21:00;0,109;;
ba38270a360e;2023/02/24;22:00;0,951;;
ba38270a360e;2023/02/24;23:00;0,995;;
ba38270a360e;2023/02/24;24:00;0,955;;
ba38270a360e;2023/02/25;01:00;0,700;;
ba38270a360e;2023/02/25;02:00;0,748;;
ba38270a360e;2023/02/25;03:00;0,695;;
ba38270a360e;2023/02/25;04:00;0,632;;
ba38270a360e;2023/02/25;05:00;0,660;;
ba38270a360e;2023/02/25;06:00;0,617;;
ba38270a360e;2023/02/25;07:00;0,653;;
ba38270a360e;2023/02/25;08:00;0,589;;
ba38270a360e;2023/02/25;09:00;0,667;;
ba38270a360e;2023/02/25;10:00;0,603;;
ba38270a360e;2023/02/25;11:00;0,669;;
ba38270a360e;2023/02/25;12:00;0,593;;
ba38270a360e;2023/02/25;13:00;1,147;;
ba38270a360e;2023/02/25;14:00;0,696;;
ba38270a360e;2023/02/25;15:00;0,718;;
ba38270a360e;2023/02/25;16:00;0,182;;
ba38270a360e;2023/02/25;17:00;0,769;;
ba38270a360e;2023/02/25;18:00;0,124;;
ba38270a360e;2023/02/25;19:00;0,182;;
ba38270a360e;2023/02/25;20:00;0,710;;
ba38270a360e;2023/02/25;21:00;0,587;;
ba38270a360e;2023/02/25;22:00;0,847;;
ba38270a360e;2023/02/25;23:00;0,695;;
ba38270a360e;2023/02/25;24:00;0,662;;
ba38270a360e;2023/02/26;01:00;0,263;;
ba38270a360e;2023/02/26;02:00;0,061;;
ba38270a360e;2023/02/26;03:00;0,182;;
ba38270a360e;2023/02/26;04:00;0,168;;
ba38270a360e;2023/02/26;05:00;0,122;;
ba38270a360e;2023/02/26;06:00;0,040;;
ba38270a360e;2023/02/26;07:00;0,018;;
ba38270a360e;2023/02/26;08:00;0,075;;
ba38270a360e;2023/02/26;09:00;0,032;;
ba38270a360e;2023/02/26;10:00;0,065;;
ba38270a360e;2023/02/26;11:00;0,013;;
ba38270a360e;2023/02/26;12:00;0,045;;
ba38270a360e;2023/02/26;13:00;1,517;;
ba38270a360e;2023/02/26;14:00;0,845;;
ba38270a360e;2023/02/26;15:00;0,213;;
ba38270a360e;2023/02/26;16:00;0,022;;
ba38270a360e;2023/02/26;17:00;0,374;;
ba38270a360e;2023/02/26;18:00;0,041;;
ba38270a360e;2023/02/26;19:00;0,013;;
ba38270a360e;2023/02/26;20:00;1,123;;
ba38270a360e;2023/02/26;21:00;0,714;;
ba38270a360e;2023/02/26;22:00;0,829;;
ba38270a360e;2023/02/26;23:00;0,768;;
ba38270a360e;2023/02/26;24:00;0,644;;
ba38270a360e;2023/02/27;01:00;0,863;;
ba38270a360e;2023/02/27;02:00;0,624;;
ba38270a360e;2023/02/27;03:00;0,643;;
ba38270a360e;2023/02/27;04:00;0,639;;
ba38270a360e;2023/02/27;05:00;0,600;;
ba38270a360e;2023/02/27;06:00;0,648;;
ba38270a360e;2023/02/27;07:00;0,620;;
ba38270a360e;2023/02/27;08:00;0,615;;
ba38270a360e;2023/02/27;09:00;0,583;;
ba38270a360e;2023/02/27;10:00;0,646;;
ba38270a360e;2023/02/27;11:00;0,606;;
ba38270a360e;2023/02/27;12:00;0,643;;
ba38270a360e;2023/02/27;13:00;0,583;;
ba38270a360e;2023/02/27;14:00;0,804;;
ba38270a360e;2023/02/27;15:00;0,778;;
ba38270a360e;2023/02/27;16:00;0,171;;
