cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
c422e08d8f19;2021/08/07;01:00;0,187;;
c422e08d8f19;2021/08/07;02:00;0,100;;
c422e08d8f19;2021/08/07;03:00;0,103;;
c422e08d8f19;2021/08/07;04:00;0,158;;
c422e08d8f19;2021/08/07;05:00;0,107;;
c422e08d8f19;2021/08/07;06:00;0,156;;
c422e08d8f19;2021/08/07;07:00;0,129;;
c422e08d8f19;2021/08/07;08:00;0,143;;
c422e08d8f19;2021/08/07;09:00;0,196;;
c422e08d8f19;2021/08/07;10:00;0,162;;
c422e08d8f19;2021/08/07;11:00;0,203;;
c422e08d8f19;2021/08/07;12:00;0,123;;
c422e08d8f19;2021/08/07;13:00;0,219;;
c422e08d8f19;2021/08/07;14:00;0,215;;
c422e08d8f19;2021/08/07;15:00;0,185;;
c422e08d8f19;2021/08/07;16:00;0,186;;
c422e08d8f19;2021/08/07;17:00;0,186;;
c422e08d8f19;2021/08/07;18:00;0,188;;
c422e08d8f19;2021/08/07;19:00;0,187;;
c422e08d8f19;2021/08/07;20:00;0,170;;
c422e08d8f19;2021/08/07;21:00;0,095;;
c422e08d8f19;2021/08/07;22:00;0,162;;
c422e08d8f19;2021/08/07;23:00;0,094;;
c422e08d8f19;2021/08/07;24:00;0,168;;
c422e08d8f19;2021/08/08;01:00;0,119;;
c422e08d8f19;2021/08/08;02:00;0,154;;
c422e08d8f19;2021/08/08;03:00;0,132;;
c422e08d8f19;2021/08/08;04:00;0,146;;
c422e08d8f19;2021/08/08;05:00;0,141;;
c422e08d8f19;2021/08/08;06:00;0,138;;
c422e08d8f19;2021/08/08;07:00;0,153;;
c422e08d8f19;2021/08/08;08:00;0,118;;
c422e08d8f19;2021/08/08;09:00;0,169;;
c422e08d8f19;2021/08/08;10:00;0,107;;
c422e08d8f19;2021/08/08;11:00;0,161;;
c422e08d8f19;2021/08/08;12:00;0,130;;
c422e08d8f19;2021/08/08;13:00;0,141;;
c422e08d8f19;2021/08/08;14:00;0,144;;
c422e08d8f19;2021/08/08;15:00;0,147;;
c422e08d8f19;2021/08/08;16:00;0,148;;
c422e08d8f19;2021/08/08;17:00;0,186;;
c422e08d8f19;2021/08/08;18:00;0,186;;
c422e08d8f19;2021/08/08;19:00;0,187;;
c422e08d8f19;2021/08/08;20:00;0,187;;
c422e08d8f19;2021/08/08;21:00;0,125;;
c422e08d8f19;2021/08/08;22:00;0,134;;
c422e08d8f19;2021/08/08;23:00;0,139;;
c422e08d8f19;2021/08/08;24:00;0,139;;
c422e08d8f19;2021/08/09;01:00;0,133;;
c422e08d8f19;2021/08/09;02:00;0,159;;
c422e08d8f19;2021/08/09;03:00;0,115;;
c422e08d8f19;2021/08/09;04:00;0,171;;
c422e08d8f19;2021/08/09;05:00;0,129;;
c422e08d8f19;2021/08/09;06:00;0,160;;
c422e08d8f19;2021/08/09;07:00;0,153;;
c422e08d8f19;2021/08/09;08:00;0,130;;
c422e08d8f19;2021/08/09;09:00;0,169;;
c422e08d8f19;2021/08/09;10:00;0,124;;
c422e08d8f19;2021/08/09;11:00;0,155;;
c422e08d8f19;2021/08/09;12:00;0,133;;
c422e08d8f19;2021/08/09;13:00;0,152;;
c422e08d8f19;2021/08/09;14:00;0,131;;
c422e08d8f19;2021/08/09;15:00;0,186;;
c422e08d8f19;2021/08/09;16:00;0,185;;
c422e08d8f19;2021/08/09;17:00;0,187;;
c422e08d8f19;2021/08/09;18:00;0,187;;
c422e08d8f19;2021/08/09;19:00;0,187;;
c422e08d8f19;2021/08/09;20:00;0,187;;
c422e08d8f19;2021/08/09;21:00;0,187;;
c422e08d8f19;2021/08/09;22:00;0,187;;
c422e08d8f19;2021/08/09;23:00;0,113;;
c422e08d8f19;2021/08/09;24:00;0,153;;
c422e08d8f19;2021/08/10;01:00;0,188;;
c422e08d8f19;2021/08/10;02:00;0,103;;
c422e08d8f19;2021/08/10;03:00;0,162;;
c422e08d8f19;2021/08/10;04:00;0,188;;
c422e08d8f19;2021/08/10;05:00;0,188;;
c422e08d8f19;2021/08/10;06:00;0,191;;
c422e08d8f19;2021/08/10;07:00;0,099;;
c422e08d8f19;2021/08/10;08:00;0,167;;
c422e08d8f19;2021/08/10;09:00;0,147;;
c422e08d8f19;2021/08/10;10:00;0,118;;
c422e08d8f19;2021/08/10;11:00;0,188;;
c422e08d8f19;2021/08/10;12:00;0,186;;
c422e08d8f19;2021/08/10;13:00;0,187;;
c422e08d8f19;2021/08/10;14:00;0,187;;
c422e08d8f19;2021/08/10;15:00;0,186;;
c422e08d8f19;2021/08/10;16:00;0,187;;
c422e08d8f19;2021/08/10;17:00;0,187;;
c422e08d8f19;2021/08/10;18:00;0,187;;
c422e08d8f19;2021/08/10;19:00;0,188;;
c422e08d8f19;2021/08/10;20:00;0,187;;
c422e08d8f19;2021/08/10;21:00;0,188;;
c422e08d8f19;2021/08/10;22:00;0,188;;
c422e08d8f19;2021/08/10;23:00;0,188;;
c422e08d8f19;2021/08/10;24:00;0,188;;
c422e08d8f19;2021/08/11;01:00;0,189;;
c422e08d8f19;2021/08/11;02:00;0,188;;
c422e08d8f19;2021/08/11;03:00;0,188;;
c422e08d8f19;2021/08/11;04:00;0,178;;
c422e08d8f19;2021/08/11;05:00;0,097;;
c422e08d8f19;2021/08/11;06:00;0,148;;
c422e08d8f19;2021/08/11;07:00;0,189;;
c422e08d8f19;2021/08/11;08:00;0,188;;
c422e08d8f19;2021/08/11;09:00;0,189;;
c422e08d8f19;2021/08/11;10:00;0,187;;
c422e08d8f19;2021/08/11;11:00;0,187;;
c422e08d8f19;2021/08/11;12:00;0,186;;
c422e08d8f19;2021/08/11;13:00;0,187;;
c422e08d8f19;2021/08/11;14:00;0,187;;
c422e08d8f19;2021/08/11;15:00;0,186;;
c422e08d8f19;2021/08/11;16:00;0,187;;
c422e08d8f19;2021/08/11;17:00;0,188;;
c422e08d8f19;2021/08/11;18:00;0,188;;
c422e08d8f19;2021/08/11;19:00;0,191;;
c422e08d8f19;2021/08/11;20:00;0,190;;
c422e08d8f19;2021/08/11;21:00;0,191;;
c422e08d8f19;2021/08/11;22:00;0,191;;
c422e08d8f19;2021/08/11;23:00;0,191;;
c422e08d8f19;2021/08/11;24:00;0,191;;
c422e08d8f19;2021/08/12;01:00;0,190;;
c422e08d8f19;2021/08/12;02:00;0,190;;
c422e08d8f19;2021/08/12;03:00;0,190;;
c422e08d8f19;2021/08/12;04:00;0,192;;
c422e08d8f19;2021/08/12;05:00;0,191;;
c422e08d8f19;2021/08/12;06:00;0,193;;
c422e08d8f19;2021/08/12;07:00;0,190;;
c422e08d8f19;2021/08/12;08:00;0,190;;
c422e08d8f19;2021/08/12;09:00;0,191;;
c422e08d8f19;2021/08/12;10:00;0,190;;
c422e08d8f19;2021/08/12;11:00;0,188;;
c422e08d8f19;2021/08/12;12:00;0,189;;
c422e08d8f19;2021/08/12;13:00;0,190;;
c422e08d8f19;2021/08/12;14:00;0,190;;
c422e08d8f19;2021/08/12;15:00;0,190;;
c422e08d8f19;2021/08/12;16:00;0,189;;
c422e08d8f19;2021/08/12;17:00;0,191;;
c422e08d8f19;2021/08/12;18:00;0,190;;
c422e08d8f19;2021/08/12;19:00;0,191;;
c422e08d8f19;2021/08/12;20:00;0,191;;
c422e08d8f19;2021/08/12;21:00;0,191;;
c422e08d8f19;2021/08/12;22:00;0,192;;
c422e08d8f19;2021/08/12;23:00;0,190;;
c422e08d8f19;2021/08/12;24:00;0,191;;
c422e08d8f19;2021/08/13;01:00;0,193;;
c422e08d8f19;2021/08/13;02:00;0,191;;
c422e08d8f19;2021/08/13;03:00;0,192;;
c422e08d8f19;2021/08/13;04:00;0,192;;
c422e08d8f19;2021/08/13;05:00;0,192;;
c422e08d8f19;2021/08/13;06:00;0,194;;
c422e08d8f19;2021/08/13;07:00;0,192;;
c422e08d8f19;2021/08/13;08:00;0,190;;
c422e08d8f19;2021/08/13;09:00;0,191;;
c422e08d8f19;2021/08/13;10:00;0,190;;
c422e08d8f19;2021/08/13;11:00;0,190;;
c422e08d8f19;2021/08/13;12:00;0,189;;
c422e08d8f19;2021/08/13;13:00;0,190;;
c422e08d8f19;2021/08/13;14:00;0,190;;
c422e08d8f19;2021/08/13;15:00;0,191;;
c422e08d8f19;2021/08/13;16:00;0,192;;
c422e08d8f19;2021/08/13;17:00;0,192;;
c422e08d8f19;2021/08/13;18:00;0,194;;
c422e08d8f19;2021/08/13;19:00;0,194;;
c422e08d8f19;2021/08/13;20:00;0,193;;
c422e08d8f19;2021/08/13;21:00;0,192;;
c422e08d8f19;2021/08/13;22:00;0,192;;
c422e08d8f19;2021/08/13;23:00;0,193;;
c422e08d8f19;2021/08/13;24:00;0,193;;
c422e08d8f19;2021/08/14;01:00;0,193;;
c422e08d8f19;2021/08/14;02:00;0,193;;
c422e08d8f19;2021/08/14;03:00;0,193;;
c422e08d8f19;2021/08/14;04:00;0,194;;
c422e08d8f19;2021/08/14;05:00;0,194;;
c422e08d8f19;2021/08/14;06:00;0,197;;
c422e08d8f19;2021/08/14;07:00;0,193;;
c422e08d8f19;2021/08/14;08:00;0,193;;
c422e08d8f19;2021/08/14;09:00;0,194;;
c422e08d8f19;2021/08/14;10:00;0,194;;
c422e08d8f19;2021/08/14;11:00;0,192;;
c422e08d8f19;2021/08/14;12:00;0,193;;
