cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
c4a177fb3092;2021/08/07;01:00;1,503;;
c4a177fb3092;2021/08/07;02:00;1,550;;
c4a177fb3092;2021/08/07;03:00;0,658;;
c4a177fb3092;2021/08/07;04:00;0,793;;
c4a177fb3092;2021/08/07;05:00;0,757;;
c4a177fb3092;2021/08/07;06:00;0,868;;
c4a177fb3092;2021/08/07;07:00;0,859;;
c4a177fb3092;2021/08/07;08:00;0,500;;
c4a177fb3092;2021/08/07;09:00;0,140;;
c4a177fb3092;2021/08/07;10:00;0,487;;
c4a177fb3092;2021/08/07;11:00;0,216;;
c4a177fb3092;2021/08/07;12:00;0,276;;
c4a177fb3092;2021/08/07;13:00;0,544;;
c4a177fb3092;2021/08/07;14:00;1,150;;
c4a177fb3092;2021/08/07;15:00;0,529;;
c4a177fb3092;2021/08/07;16:00;0,835;;
c4a177fb3092;2021/08/07;17:00;0,798;;
c4a177fb3092;2021/08/07;18:00;0,601;;
c4a177fb3092;2021/08/07;19:00;0,672;;
c4a177fb3092;2021/08/07;20:00;0,859;;
c4a177fb3092;2021/08/07;21:00;1,188;;
c4a177fb3092;2021/08/07;22:00;0,587;;
c4a177fb3092;2021/08/07;23:00;0,914;;
c4a177fb3092;2021/08/07;24:00;0,990;;
c4a177fb3092;2021/08/08;01:00;1,072;;
c4a177fb3092;2021/08/08;02:00;1,483;;
c4a177fb3092;2021/08/08;03:00;1,181;;
c4a177fb3092;2021/08/08;04:00;0,832;;
c4a177fb3092;2021/08/08;05:00;0,852;;
c4a177fb3092;2021/08/08;06:00;0,791;;
c4a177fb3092;2021/08/08;07:00;0,718;;
c4a177fb3092;2021/08/08;08:00;0,645;;
c4a177fb3092;2021/08/08;09:00;0,771;;
c4a177fb3092;2021/08/08;10:00;0,684;;
c4a177fb3092;2021/08/08;11:00;0,397;;
c4a177fb3092;2021/08/08;12:00;0,074;;
c4a177fb3092;2021/08/08;13:00;0,231;;
c4a177fb3092;2021/08/08;14:00;0,222;;
c4a177fb3092;2021/08/08;15:00;0,237;;
c4a177fb3092;2021/08/08;16:00;0,437;;
c4a177fb3092;2021/08/08;17:00;0,311;;
c4a177fb3092;2021/08/08;18:00;0,312;;
c4a177fb3092;2021/08/08;19:00;0,316;;
c4a177fb3092;2021/08/08;20:00;0,314;;
c4a177fb3092;2021/08/08;21:00;1,596;;
c4a177fb3092;2021/08/08;22:00;1,733;;
c4a177fb3092;2021/08/08;23:00;1,555;;
c4a177fb3092;2021/08/08;24:00;0,291;;
c4a177fb3092;2021/08/09;01:00;0,349;;
c4a177fb3092;2021/08/09;02:00;1,365;;
c4a177fb3092;2021/08/09;03:00;1,070;;
c4a177fb3092;2021/08/09;04:00;1,139;;
c4a177fb3092;2021/08/09;05:00;0,193;;
c4a177fb3092;2021/08/09;06:00;0,110;;
