cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
ceaddbf817fc;2023/04/30;01:00;0,266;;
ceaddbf817fc;2023/04/30;02:00;0,228;;
ceaddbf817fc;2023/04/30;03:00;0,197;;
ceaddbf817fc;2023/04/30;04:00;0,228;;
ceaddbf817fc;2023/04/30;05:00;0,208;;
ceaddbf817fc;2023/04/30;06:00;0,198;;
ceaddbf817fc;2023/04/30;07:00;0,197;;
ceaddbf817fc;2023/04/30;08:00;0,196;;
ceaddbf817fc;2023/04/30;09:00;0,164;;
ceaddbf817fc;2023/04/30;10:00;0,338;;
ceaddbf817fc;2023/04/30;11:00;0,446;;
ceaddbf817fc;2023/04/30;12:00;1,108;;
ceaddbf817fc;2023/04/30;13:00;0,665;;
ceaddbf817fc;2023/04/30;14:00;0,274;;
ceaddbf817fc;2023/04/30;15:00;0,275;;
ceaddbf817fc;2023/04/30;16:00;0,327;;
ceaddbf817fc;2023/04/30;17:00;0,222;;
ceaddbf817fc;2023/04/30;18:00;0,225;;
ceaddbf817fc;2023/04/30;19:00;0,234;;
ceaddbf817fc;2023/04/30;20:00;0,244;;
ceaddbf817fc;2023/04/30;21:00;0,259;;
ceaddbf817fc;2023/04/30;22:00;0,403;;
ceaddbf817fc;2023/04/30;23:00;0,489;;
ceaddbf817fc;2023/04/30;24:00;0,257;;
ceaddbf817fc;2023/05/01;01:00;0,249;;
ceaddbf817fc;2023/05/01;02:00;0,193;;
ceaddbf817fc;2023/05/01;03:00;0,165;;
ceaddbf817fc;2023/05/01;04:00;0,151;;
ceaddbf817fc;2023/05/01;05:00;0,153;;
ceaddbf817fc;2023/05/01;06:00;0,146;;
ceaddbf817fc;2023/05/01;07:00;0,225;;
ceaddbf817fc;2023/05/01;08:00;0,203;;
ceaddbf817fc;2023/05/01;09:00;0,154;;
ceaddbf817fc;2023/05/01;10:00;0,158;;
ceaddbf817fc;2023/05/01;11:00;0,416;;
ceaddbf817fc;2023/05/01;12:00;0,310;;
ceaddbf817fc;2023/05/01;13:00;0,562;;
ceaddbf817fc;2023/05/01;14:00;0,359;;
ceaddbf817fc;2023/05/01;15:00;0,346;;
ceaddbf817fc;2023/05/01;16:00;0,346;;
ceaddbf817fc;2023/05/01;17:00;0,216;;
ceaddbf817fc;2023/05/01;18:00;0,209;;
ceaddbf817fc;2023/05/01;19:00;0,224;;
ceaddbf817fc;2023/05/01;20:00;0,204;;
ceaddbf817fc;2023/05/01;21:00;0,272;;
ceaddbf817fc;2023/05/01;22:00;0,505;;
ceaddbf817fc;2023/05/01;23:00;0,405;;
ceaddbf817fc;2023/05/01;24:00;0,252;;
ceaddbf817fc;2023/05/02;01:00;0,249;;
