cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
d0fbcc1108d8;2023/04/20;01:00;0,216;;
d0fbcc1108d8;2023/04/20;02:00;0,177;;
d0fbcc1108d8;2023/04/20;03:00;0,156;;
d0fbcc1108d8;2023/04/20;04:00;0,146;;
d0fbcc1108d8;2023/04/20;05:00;0,142;;
d0fbcc1108d8;2023/04/20;06:00;0,146;;
d0fbcc1108d8;2023/04/20;07:00;0,166;;
d0fbcc1108d8;2023/04/20;08:00;0,202;;
d0fbcc1108d8;2023/04/20;09:00;0,199;;
d0fbcc1108d8;2023/04/20;10:00;0,214;;
d0fbcc1108d8;2023/04/20;11:00;0,128;;
d0fbcc1108d8;2023/04/20;12:00;0,130;;
d0fbcc1108d8;2023/04/20;13:00;0,133;;
d0fbcc1108d8;2023/04/20;14:00;0,140;;
d0fbcc1108d8;2023/04/20;15:00;0,246;;
d0fbcc1108d8;2023/04/20;16:00;0,227;;
d0fbcc1108d8;2023/04/20;17:00;0,214;;
d0fbcc1108d8;2023/04/20;18:00;0,211;;
d0fbcc1108d8;2023/04/20;19:00;0,121;;
d0fbcc1108d8;2023/04/20;20:00;0,129;;
d0fbcc1108d8;2023/04/20;21:00;0,150;;
d0fbcc1108d8;2023/04/20;22:00;0,175;;
d0fbcc1108d8;2023/04/20;23:00;0,281;;
d0fbcc1108d8;2023/04/20;24:00;0,235;;
d0fbcc1108d8;2023/04/21;01:00;0,142;;
d0fbcc1108d8;2023/04/21;02:00;0,116;;
d0fbcc1108d8;2023/04/21;03:00;0,120;;
d0fbcc1108d8;2023/04/21;04:00;0,105;;
d0fbcc1108d8;2023/04/21;05:00;0,111;;
d0fbcc1108d8;2023/04/21;06:00;0,104;;
d0fbcc1108d8;2023/04/21;07:00;0,111;;
d0fbcc1108d8;2023/04/21;08:00;0,110;;
d0fbcc1108d8;2023/04/21;09:00;0,160;;
d0fbcc1108d8;2023/04/21;10:00;0,398;;
d0fbcc1108d8;2023/04/21;11:00;0,180;;
d0fbcc1108d8;2023/04/21;12:00;0,181;;
d0fbcc1108d8;2023/04/21;13:00;0,187;;
d0fbcc1108d8;2023/04/21;14:00;0,278;;
d0fbcc1108d8;2023/04/21;15:00;0,370;;
d0fbcc1108d8;2023/04/21;16:00;0,220;;
d0fbcc1108d8;2023/04/21;17:00;1,129;;
d0fbcc1108d8;2023/04/21;18:00;0,197;;
d0fbcc1108d8;2023/04/21;19:00;0,205;;
d0fbcc1108d8;2023/04/21;20:00;0,200;;
d0fbcc1108d8;2023/04/21;21:00;0,497;;
d0fbcc1108d8;2023/04/21;22:00;0,314;;
d0fbcc1108d8;2023/04/21;23:00;0,206;;
d0fbcc1108d8;2023/04/21;24:00;0,205;;
d0fbcc1108d8;2023/04/22;01:00;0,177;;
d0fbcc1108d8;2023/04/22;02:00;0,131;;
d0fbcc1108d8;2023/04/22;03:00;0,119;;
d0fbcc1108d8;2023/04/22;04:00;0,136;;
d0fbcc1108d8;2023/04/22;05:00;0,111;;
d0fbcc1108d8;2023/04/22;06:00;0,124;;
d0fbcc1108d8;2023/04/22;07:00;0,148;;
d0fbcc1108d8;2023/04/22;08:00;0,149;;
d0fbcc1108d8;2023/04/22;09:00;0,151;;
d0fbcc1108d8;2023/04/22;10:00;0,446;;
d0fbcc1108d8;2023/04/22;11:00;0,406;;
d0fbcc1108d8;2023/04/22;12:00;0,366;;
d0fbcc1108d8;2023/04/22;13:00;0,393;;
d0fbcc1108d8;2023/04/22;14:00;0,128;;
d0fbcc1108d8;2023/04/22;15:00;0,834;;
d0fbcc1108d8;2023/04/22;16:00;0,542;;
d0fbcc1108d8;2023/04/22;17:00;0,143;;
d0fbcc1108d8;2023/04/22;18:00;0,195;;
d0fbcc1108d8;2023/04/22;19:00;0,204;;
d0fbcc1108d8;2023/04/22;20:00;0,203;;
d0fbcc1108d8;2023/04/22;21:00;0,201;;
d0fbcc1108d8;2023/04/22;22:00;0,195;;
d0fbcc1108d8;2023/04/22;23:00;0,265;;
d0fbcc1108d8;2023/04/22;24:00;0,320;;
d0fbcc1108d8;2023/04/23;01:00;0,831;;
d0fbcc1108d8;2023/04/23;02:00;0,585;;
d0fbcc1108d8;2023/04/23;03:00;0,134;;
d0fbcc1108d8;2023/04/23;04:00;0,128;;
d0fbcc1108d8;2023/04/23;05:00;0,113;;
d0fbcc1108d8;2023/04/23;06:00;0,117;;
d0fbcc1108d8;2023/04/23;07:00;0,122;;
d0fbcc1108d8;2023/04/23;08:00;0,119;;
d0fbcc1108d8;2023/04/23;09:00;0,457;;
d0fbcc1108d8;2023/04/23;10:00;0,685;;
d0fbcc1108d8;2023/04/23;11:00;0,624;;
d0fbcc1108d8;2023/04/23;12:00;0,376;;
d0fbcc1108d8;2023/04/23;13:00;0,815;;
d0fbcc1108d8;2023/04/23;14:00;0,184;;
d0fbcc1108d8;2023/04/23;15:00;0,177;;
d0fbcc1108d8;2023/04/23;16:00;0,595;;
d0fbcc1108d8;2023/04/23;17:00;0,230;;
d0fbcc1108d8;2023/04/23;18:00;0,235;;
d0fbcc1108d8;2023/04/23;19:00;0,237;;
d0fbcc1108d8;2023/04/23;20:00;0,244;;
d0fbcc1108d8;2023/04/23;21:00;0,220;;
d0fbcc1108d8;2023/04/23;22:00;0,406;;
d0fbcc1108d8;2023/04/23;23:00;0,251;;
d0fbcc1108d8;2023/04/23;24:00;0,274;;
d0fbcc1108d8;2023/04/24;01:00;0,203;;
d0fbcc1108d8;2023/04/24;02:00;0,172;;
d0fbcc1108d8;2023/04/24;03:00;0,124;;
d0fbcc1108d8;2023/04/24;04:00;0,121;;
d0fbcc1108d8;2023/04/24;05:00;0,122;;
d0fbcc1108d8;2023/04/24;06:00;0,122;;
d0fbcc1108d8;2023/04/24;07:00;0,107;;
d0fbcc1108d8;2023/04/24;08:00;0,135;;
d0fbcc1108d8;2023/04/24;09:00;0,257;;
d0fbcc1108d8;2023/04/24;10:00;0,532;;
d0fbcc1108d8;2023/04/24;11:00;0,191;;
d0fbcc1108d8;2023/04/24;12:00;0,162;;
d0fbcc1108d8;2023/04/24;13:00;0,123;;
d0fbcc1108d8;2023/04/24;14:00;0,230;;
d0fbcc1108d8;2023/04/24;15:00;0,205;;
d0fbcc1108d8;2023/04/24;16:00;0,183;;
d0fbcc1108d8;2023/04/24;17:00;0,193;;
d0fbcc1108d8;2023/04/24;18:00;0,181;;
d0fbcc1108d8;2023/04/24;19:00;0,188;;
d0fbcc1108d8;2023/04/24;20:00;0,210;;
d0fbcc1108d8;2023/04/24;21:00;0,198;;
d0fbcc1108d8;2023/04/24;22:00;0,204;;
d0fbcc1108d8;2023/04/24;23:00;0,729;;
