cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
e1c96aca8aa9;2021/09/08;01:00;0,101;;
e1c96aca8aa9;2021/09/08;02:00;0,100;;
e1c96aca8aa9;2021/09/08;03:00;0,019;;
e1c96aca8aa9;2021/09/08;04:00;0,320;;
e1c96aca8aa9;2021/09/08;05:00;0,057;;
e1c96aca8aa9;2021/09/08;06:00;0,057;;
e1c96aca8aa9;2021/09/08;07:00;0,100;;
e1c96aca8aa9;2021/09/08;08:00;0,034;;
e1c96aca8aa9;2021/09/08;09:00;0,099;;
e1c96aca8aa9;2021/09/08;10:00;0,079;;
e1c96aca8aa9;2021/09/08;11:00;0,031;;
e1c96aca8aa9;2021/09/08;12:00;0,516;;
e1c96aca8aa9;2021/09/08;13:00;1,160;;
e1c96aca8aa9;2021/09/08;14:00;0,238;;
e1c96aca8aa9;2021/09/08;15:00;1,597;;
e1c96aca8aa9;2021/09/08;16:00;0,851;;
e1c96aca8aa9;2021/09/08;17:00;0,375;;
e1c96aca8aa9;2021/09/08;18:00;1,357;;
e1c96aca8aa9;2021/09/08;19:00;0,109;;
e1c96aca8aa9;2021/09/08;20:00;0,266;;
e1c96aca8aa9;2021/09/08;21:00;0,407;;
e1c96aca8aa9;2021/09/08;22:00;0,439;;
e1c96aca8aa9;2021/09/08;23:00;0,833;;
e1c96aca8aa9;2021/09/08;24:00;1,316;;
e1c96aca8aa9;2021/09/09;01:00;1,425;;
e1c96aca8aa9;2021/09/09;02:00;0,062;;
e1c96aca8aa9;2021/09/09;03:00;0,076;;
e1c96aca8aa9;2021/09/09;04:00;0,096;;
e1c96aca8aa9;2021/09/09;05:00;0,042;;
e1c96aca8aa9;2021/09/09;06:00;0,111;;
e1c96aca8aa9;2021/09/09;07:00;0,035;;
e1c96aca8aa9;2021/09/09;08:00;0,098;;
e1c96aca8aa9;2021/09/09;09:00;0,077;;
e1c96aca8aa9;2021/09/09;10:00;0,322;;
e1c96aca8aa9;2021/09/09;11:00;0,601;;
e1c96aca8aa9;2021/09/09;12:00;1,210;;
e1c96aca8aa9;2021/09/09;13:00;0,913;;
e1c96aca8aa9;2021/09/09;14:00;0,438;;
e1c96aca8aa9;2021/09/09;15:00;1,317;;
e1c96aca8aa9;2021/09/09;16:00;0,503;;
e1c96aca8aa9;2021/09/09;17:00;0,691;;
e1c96aca8aa9;2021/09/09;18:00;1,247;;
e1c96aca8aa9;2021/09/09;19:00;0,381;;
e1c96aca8aa9;2021/09/09;20:00;1,386;;
e1c96aca8aa9;2021/09/09;21:00;2,158;;
e1c96aca8aa9;2021/09/09;22:00;0,350;;
e1c96aca8aa9;2021/09/09;23:00;0,362;;
e1c96aca8aa9;2021/09/09;24:00;0,431;;
e1c96aca8aa9;2021/09/10;01:00;0,370;;
e1c96aca8aa9;2021/09/10;02:00;0,372;;
e1c96aca8aa9;2021/09/10;03:00;0,141;;
e1c96aca8aa9;2021/09/10;04:00;0,084;;
e1c96aca8aa9;2021/09/10;05:00;0,334;;
e1c96aca8aa9;2021/09/10;06:00;0,112;;
e1c96aca8aa9;2021/09/10;07:00;0,032;;
e1c96aca8aa9;2021/09/10;08:00;0,105;;
e1c96aca8aa9;2021/09/10;09:00;0,094;;
e1c96aca8aa9;2021/09/10;10:00;0,035;;
e1c96aca8aa9;2021/09/10;11:00;1,035;;
e1c96aca8aa9;2021/09/10;12:00;0,152;;
e1c96aca8aa9;2021/09/10;13:00;0,278;;
e1c96aca8aa9;2021/09/10;14:00;0,138;;
e1c96aca8aa9;2021/09/10;15:00;0,657;;
e1c96aca8aa9;2021/09/10;16:00;1,054;;
e1c96aca8aa9;2021/09/10;17:00;1,547;;
e1c96aca8aa9;2021/09/10;18:00;1,232;;
e1c96aca8aa9;2021/09/10;19:00;1,485;;
e1c96aca8aa9;2021/09/10;20:00;1,045;;
e1c96aca8aa9;2021/09/10;21:00;0,388;;
e1c96aca8aa9;2021/09/10;22:00;0,457;;
e1c96aca8aa9;2021/09/10;23:00;0,125;;
e1c96aca8aa9;2021/09/10;24:00;0,048;;
e1c96aca8aa9;2021/09/11;01:00;0,111;;
e1c96aca8aa9;2021/09/11;02:00;0,275;;
e1c96aca8aa9;2021/09/11;03:00;0,093;;
e1c96aca8aa9;2021/09/11;04:00;0,109;;
e1c96aca8aa9;2021/09/11;05:00;0,101;;
e1c96aca8aa9;2021/09/11;06:00;0,112;;
e1c96aca8aa9;2021/09/11;07:00;0,066;;
e1c96aca8aa9;2021/09/11;08:00;0,122;;
e1c96aca8aa9;2021/09/11;09:00;0,304;;
e1c96aca8aa9;2021/09/11;10:00;0,070;;
e1c96aca8aa9;2021/09/11;11:00;0,109;;
e1c96aca8aa9;2021/09/11;12:00;0,022;;
e1c96aca8aa9;2021/09/11;13:00;0,171;;
e1c96aca8aa9;2021/09/11;14:00;0,086;;
e1c96aca8aa9;2021/09/11;15:00;0,062;;
e1c96aca8aa9;2021/09/11;16:00;0,110;;
e1c96aca8aa9;2021/09/11;17:00;0,280;;
e1c96aca8aa9;2021/09/11;18:00;0,902;;
e1c96aca8aa9;2021/09/11;19:00;1,346;;
e1c96aca8aa9;2021/09/11;20:00;0,690;;
e1c96aca8aa9;2021/09/11;21:00;0,597;;
e1c96aca8aa9;2021/09/11;22:00;0,227;;
e1c96aca8aa9;2021/09/11;23:00;0,112;;
e1c96aca8aa9;2021/09/11;24:00;0,110;;
e1c96aca8aa9;2021/09/12;01:00;0,735;;
e1c96aca8aa9;2021/09/12;02:00;1,592;;
e1c96aca8aa9;2021/09/12;03:00;0,112;;
e1c96aca8aa9;2021/09/12;04:00;0,081;;
e1c96aca8aa9;2021/09/12;05:00;0,051;;
e1c96aca8aa9;2021/09/12;06:00;0,111;;
e1c96aca8aa9;2021/09/12;07:00;0,087;;
e1c96aca8aa9;2021/09/12;08:00;0,114;;
e1c96aca8aa9;2021/09/12;09:00;0,113;;
e1c96aca8aa9;2021/09/12;10:00;0,397;;
e1c96aca8aa9;2021/09/12;11:00;0,318;;
e1c96aca8aa9;2021/09/12;12:00;0,151;;
e1c96aca8aa9;2021/09/12;13:00;0,220;;
e1c96aca8aa9;2021/09/12;14:00;0,633;;
e1c96aca8aa9;2021/09/12;15:00;1,668;;
e1c96aca8aa9;2021/09/12;16:00;2,474;;
e1c96aca8aa9;2021/09/12;17:00;1,685;;
e1c96aca8aa9;2021/09/12;18:00;0,384;;
e1c96aca8aa9;2021/09/12;19:00;1,014;;
e1c96aca8aa9;2021/09/12;20:00;0,210;;
e1c96aca8aa9;2021/09/12;21:00;0,052;;
e1c96aca8aa9;2021/09/12;22:00;0,111;;
e1c96aca8aa9;2021/09/12;23:00;0,217;;
e1c96aca8aa9;2021/09/12;24:00;0,361;;
e1c96aca8aa9;2021/09/13;01:00;0,850;;
e1c96aca8aa9;2021/09/13;02:00;1,294;;
e1c96aca8aa9;2021/09/13;03:00;0,037;;
e1c96aca8aa9;2021/09/13;04:00;0,088;;
e1c96aca8aa9;2021/09/13;05:00;0,090;;
e1c96aca8aa9;2021/09/13;06:00;0,040;;
e1c96aca8aa9;2021/09/13;07:00;0,110;;
e1c96aca8aa9;2021/09/13;08:00;0,056;;
e1c96aca8aa9;2021/09/13;09:00;0,074;;
e1c96aca8aa9;2021/09/13;10:00;0,656;;
e1c96aca8aa9;2021/09/13;11:00;0,246;;
e1c96aca8aa9;2021/09/13;12:00;0,089;;
e1c96aca8aa9;2021/09/13;13:00;0,114;;
e1c96aca8aa9;2021/09/13;14:00;0,137;;
e1c96aca8aa9;2021/09/13;15:00;1,062;;
e1c96aca8aa9;2021/09/13;16:00;0,944;;
e1c96aca8aa9;2021/09/13;17:00;0,423;;
e1c96aca8aa9;2021/09/13;18:00;0,724;;
e1c96aca8aa9;2021/09/13;19:00;1,118;;
e1c96aca8aa9;2021/09/13;20:00;0,346;;
e1c96aca8aa9;2021/09/13;21:00;0,405;;
e1c96aca8aa9;2021/09/13;22:00;1,875;;
e1c96aca8aa9;2021/09/13;23:00;1,049;;
e1c96aca8aa9;2021/09/13;24:00;0,400;;
e1c96aca8aa9;2021/09/14;01:00;0,123;;
e1c96aca8aa9;2021/09/14;02:00;0,111;;
e1c96aca8aa9;2021/09/14;03:00;0,111;;
e1c96aca8aa9;2021/09/14;04:00;0,059;;
e1c96aca8aa9;2021/09/14;05:00;0,087;;
e1c96aca8aa9;2021/09/14;06:00;0,333;;
e1c96aca8aa9;2021/09/14;07:00;0,027;;
e1c96aca8aa9;2021/09/14;08:00;0,110;;
e1c96aca8aa9;2021/09/14;09:00;0,074;;
e1c96aca8aa9;2021/09/14;10:00;0,075;;
e1c96aca8aa9;2021/09/14;11:00;0,111;;
e1c96aca8aa9;2021/09/14;12:00;0,029;;
e1c96aca8aa9;2021/09/14;13:00;0,258;;
e1c96aca8aa9;2021/09/14;14:00;1,175;;
e1c96aca8aa9;2021/09/14;15:00;0,903;;
e1c96aca8aa9;2021/09/14;16:00;0,503;;
e1c96aca8aa9;2021/09/14;17:00;0,411;;
e1c96aca8aa9;2021/09/14;18:00;0,575;;
e1c96aca8aa9;2021/09/14;19:00;0,388;;
e1c96aca8aa9;2021/09/14;20:00;0,343;;
e1c96aca8aa9;2021/09/14;21:00;0,102;;
e1c96aca8aa9;2021/09/14;22:00;0,109;;
e1c96aca8aa9;2021/09/14;23:00;0,109;;
e1c96aca8aa9;2021/09/14;24:00;0,109;;
e1c96aca8aa9;2021/09/15;01:00;0,359;;
e1c96aca8aa9;2021/09/15;02:00;1,548;;
e1c96aca8aa9;2021/09/15;03:00;0,331;;
e1c96aca8aa9;2021/09/15;04:00;0,109;;
e1c96aca8aa9;2021/09/15;05:00;0,109;;
e1c96aca8aa9;2021/09/15;06:00;0,109;;
e1c96aca8aa9;2021/09/15;07:00;0,072;;
e1c96aca8aa9;2021/09/15;08:00;0,125;;
e1c96aca8aa9;2021/09/15;09:00;0,127;;
e1c96aca8aa9;2021/09/15;10:00;0,518;;
e1c96aca8aa9;2021/09/15;11:00;0,760;;
e1c96aca8aa9;2021/09/15;12:00;0,208;;
e1c96aca8aa9;2021/09/15;13:00;0,205;;
e1c96aca8aa9;2021/09/15;14:00;1,202;;
e1c96aca8aa9;2021/09/15;15:00;0,696;;
e1c96aca8aa9;2021/09/15;16:00;0,742;;
e1c96aca8aa9;2021/09/15;17:00;0,423;;
e1c96aca8aa9;2021/09/15;18:00;0,355;;
e1c96aca8aa9;2021/09/15;19:00;0,840;;
e1c96aca8aa9;2021/09/15;20:00;1,469;;
e1c96aca8aa9;2021/09/15;21:00;0,808;;
e1c96aca8aa9;2021/09/15;22:00;0,111;;
e1c96aca8aa9;2021/09/15;23:00;0,421;;
e1c96aca8aa9;2021/09/15;24:00;0,663;;
e1c96aca8aa9;2021/09/16;01:00;1,740;;
e1c96aca8aa9;2021/09/16;02:00;0,404;;
e1c96aca8aa9;2021/09/16;03:00;0,110;;
e1c96aca8aa9;2021/09/16;04:00;0,065;;
e1c96aca8aa9;2021/09/16;05:00;0,079;;
e1c96aca8aa9;2021/09/16;06:00;0,088;;
e1c96aca8aa9;2021/09/16;07:00;0,046;;
e1c96aca8aa9;2021/09/16;08:00;0,127;;
e1c96aca8aa9;2021/09/16;09:00;0,276;;
e1c96aca8aa9;2021/09/16;10:00;0,091;;
