cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
eecaa816b74b;2021/08/18;01:00;0,126;;
eecaa816b74b;2021/08/18;02:00;0,127;;
eecaa816b74b;2021/08/18;03:00;0,125;;
eecaa816b74b;2021/08/18;04:00;0,125;;
eecaa816b74b;2021/08/18;05:00;0,125;;
eecaa816b74b;2021/08/18;06:00;0,124;;
eecaa816b74b;2021/08/18;07:00;0,125;;
eecaa816b74b;2021/08/18;08:00;0,124;;
eecaa816b74b;2021/08/18;09:00;0,125;;
eecaa816b74b;2021/08/18;10:00;0,126;;
eecaa816b74b;2021/08/18;11:00;0,125;;
eecaa816b74b;2021/08/18;12:00;0,126;;
eecaa816b74b;2021/08/18;13:00;0,125;;
eecaa816b74b;2021/08/18;14:00;0,125;;
eecaa816b74b;2021/08/18;15:00;0,125;;
eecaa816b74b;2021/08/18;16:00;0,126;;
eecaa816b74b;2021/08/18;17:00;0,125;;
eecaa816b74b;2021/08/18;18:00;0,125;;
eecaa816b74b;2021/08/18;19:00;0,125;;
eecaa816b74b;2021/08/18;20:00;0,126;;
eecaa816b74b;2021/08/18;21:00;0,124;;
eecaa816b74b;2021/08/18;22:00;0,126;;
eecaa816b74b;2021/08/18;23:00;0,125;;
eecaa816b74b;2021/08/18;24:00;0,125;;
eecaa816b74b;2021/08/19;01:00;0,124;;
eecaa816b74b;2021/08/19;02:00;0,126;;
eecaa816b74b;2021/08/19;03:00;0,124;;
eecaa816b74b;2021/08/19;04:00;0,126;;
eecaa816b74b;2021/08/19;05:00;0,124;;
eecaa816b74b;2021/08/19;06:00;0,125;;
eecaa816b74b;2021/08/19;07:00;0,125;;
eecaa816b74b;2021/08/19;08:00;0,126;;
eecaa816b74b;2021/08/19;09:00;0,124;;
eecaa816b74b;2021/08/19;10:00;0,124;;
eecaa816b74b;2021/08/19;11:00;0,125;;
eecaa816b74b;2021/08/19;12:00;0,126;;
eecaa816b74b;2021/08/19;13:00;0,125;;
eecaa816b74b;2021/08/19;14:00;0,125;;
eecaa816b74b;2021/08/19;15:00;0,125;;
eecaa816b74b;2021/08/19;16:00;0,125;;
eecaa816b74b;2021/08/19;17:00;0,125;;
eecaa816b74b;2021/08/19;18:00;0,125;;
eecaa816b74b;2021/08/19;19:00;0,126;;
eecaa816b74b;2021/08/19;20:00;0,124;;
eecaa816b74b;2021/08/19;21:00;0,126;;
eecaa816b74b;2021/08/19;22:00;0,125;;
eecaa816b74b;2021/08/19;23:00;0,126;;
eecaa816b74b;2021/08/19;24:00;0,126;;
eecaa816b74b;2021/08/20;01:00;0,126;;
eecaa816b74b;2021/08/20;02:00;0,126;;
eecaa816b74b;2021/08/20;03:00;0,125;;
eecaa816b74b;2021/08/20;04:00;0,126;;
eecaa816b74b;2021/08/20;05:00;0,125;;
eecaa816b74b;2021/08/20;06:00;0,124;;
eecaa816b74b;2021/08/20;07:00;0,126;;
eecaa816b74b;2021/08/20;08:00;0,125;;
eecaa816b74b;2021/08/20;09:00;0,125;;
eecaa816b74b;2021/08/20;10:00;0,125;;
eecaa816b74b;2021/08/20;11:00;0,125;;
eecaa816b74b;2021/08/20;12:00;0,125;;
eecaa816b74b;2021/08/20;13:00;0,125;;
eecaa816b74b;2021/08/20;14:00;0,126;;
eecaa816b74b;2021/08/20;15:00;0,125;;
eecaa816b74b;2021/08/20;16:00;0,126;;
eecaa816b74b;2021/08/20;17:00;0,125;;
eecaa816b74b;2021/08/20;18:00;0,126;;
eecaa816b74b;2021/08/20;19:00;0,116;;
eecaa816b74b;2021/08/20;20:00;0,126;;
eecaa816b74b;2021/08/20;21:00;0,126;;
eecaa816b74b;2021/08/20;22:00;0,126;;
eecaa816b74b;2021/08/20;23:00;0,126;;
eecaa816b74b;2021/08/20;24:00;0,125;;
eecaa816b74b;2021/08/21;01:00;0,125;;
eecaa816b74b;2021/08/21;02:00;0,126;;
eecaa816b74b;2021/08/21;03:00;0,126;;
eecaa816b74b;2021/08/21;04:00;0,157;;
eecaa816b74b;2021/08/21;05:00;0,223;;
eecaa816b74b;2021/08/21;06:00;0,203;;
eecaa816b74b;2021/08/21;07:00;0,197;;
eecaa816b74b;2021/08/21;08:00;0,179;;
eecaa816b74b;2021/08/21;09:00;0,160;;
eecaa816b74b;2021/08/21;10:00;0,189;;
eecaa816b74b;2021/08/21;11:00;0,189;;
eecaa816b74b;2021/08/21;12:00;0,217;;
eecaa816b74b;2021/08/21;13:00;0,195;;
eecaa816b74b;2021/08/21;14:00;0,180;;
eecaa816b74b;2021/08/21;15:00;0,192;;
eecaa816b74b;2021/08/21;16:00;0,193;;
eecaa816b74b;2021/08/21;17:00;0,194;;
eecaa816b74b;2021/08/21;18:00;0,185;;
eecaa816b74b;2021/08/21;19:00;0,233;;
eecaa816b74b;2021/08/21;20:00;0,215;;
eecaa816b74b;2021/08/21;21:00;0,200;;
eecaa816b74b;2021/08/21;22:00;0,244;;
eecaa816b74b;2021/08/21;23:00;0,213;;
eecaa816b74b;2021/08/21;24:00;0,204;;
eecaa816b74b;2021/08/22;01:00;0,202;;
eecaa816b74b;2021/08/22;02:00;0,206;;
eecaa816b74b;2021/08/22;03:00;0,159;;
eecaa816b74b;2021/08/22;04:00;0,138;;
eecaa816b74b;2021/08/22;05:00;0,135;;
eecaa816b74b;2021/08/22;06:00;0,129;;
eecaa816b74b;2021/08/22;07:00;0,127;;
eecaa816b74b;2021/08/22;08:00;0,127;;
eecaa816b74b;2021/08/22;09:00;0,125;;
eecaa816b74b;2021/08/22;10:00;0,166;;
eecaa816b74b;2021/08/22;11:00;0,205;;
eecaa816b74b;2021/08/22;12:00;0,213;;
eecaa816b74b;2021/08/22;13:00;1,306;;
eecaa816b74b;2021/08/22;14:00;0,398;;
eecaa816b74b;2021/08/22;15:00;0,569;;
eecaa816b74b;2021/08/22;16:00;0,923;;
eecaa816b74b;2021/08/22;17:00;0,881;;
eecaa816b74b;2021/08/22;18:00;0,879;;
eecaa816b74b;2021/08/22;19:00;0,855;;
eecaa816b74b;2021/08/22;20:00;0,158;;
eecaa816b74b;2021/08/22;21:00;0,739;;
eecaa816b74b;2021/08/22;22:00;0,790;;
eecaa816b74b;2021/08/22;23:00;0,261;;
eecaa816b74b;2021/08/22;24:00;0,271;;
eecaa816b74b;2021/08/23;01:00;0,265;;
eecaa816b74b;2021/08/23;02:00;0,256;;
eecaa816b74b;2021/08/23;03:00;0,206;;
eecaa816b74b;2021/08/23;04:00;0,131;;
eecaa816b74b;2021/08/23;05:00;0,134;;
eecaa816b74b;2021/08/23;06:00;0,129;;
eecaa816b74b;2021/08/23;07:00;0,129;;
eecaa816b74b;2021/08/23;08:00;0,134;;
eecaa816b74b;2021/08/23;09:00;0,127;;
eecaa816b74b;2021/08/23;10:00;0,176;;
eecaa816b74b;2021/08/23;11:00;0,215;;
eecaa816b74b;2021/08/23;12:00;0,654;;
eecaa816b74b;2021/08/23;13:00;0,901;;
eecaa816b74b;2021/08/23;14:00;0,912;;
eecaa816b74b;2021/08/23;15:00;0,831;;
eecaa816b74b;2021/08/23;16:00;0,398;;
eecaa816b74b;2021/08/23;17:00;0,506;;
eecaa816b74b;2021/08/23;18:00;0,805;;
eecaa816b74b;2021/08/23;19:00;0,201;;
eecaa816b74b;2021/08/23;20:00;0,208;;
eecaa816b74b;2021/08/23;21:00;0,227;;
eecaa816b74b;2021/08/23;22:00;0,700;;
eecaa816b74b;2021/08/23;23:00;0,485;;
eecaa816b74b;2021/08/23;24:00;0,244;;
eecaa816b74b;2021/08/24;01:00;0,184;;
eecaa816b74b;2021/08/24;02:00;0,142;;
eecaa816b74b;2021/08/24;03:00;0,134;;
eecaa816b74b;2021/08/24;04:00;0,132;;
eecaa816b74b;2021/08/24;05:00;0,134;;
eecaa816b74b;2021/08/24;06:00;0,134;;
eecaa816b74b;2021/08/24;07:00;0,143;;
eecaa816b74b;2021/08/24;08:00;0,193;;
eecaa816b74b;2021/08/24;09:00;0,168;;
eecaa816b74b;2021/08/24;10:00;0,127;;
eecaa816b74b;2021/08/24;11:00;0,198;;
eecaa816b74b;2021/08/24;12:00;0,220;;
eecaa816b74b;2021/08/24;13:00;0,223;;
eecaa816b74b;2021/08/24;14:00;0,203;;
eecaa816b74b;2021/08/24;15:00;0,227;;
eecaa816b74b;2021/08/24;16:00;0,224;;
eecaa816b74b;2021/08/24;17:00;0,219;;
eecaa816b74b;2021/08/24;18:00;0,231;;
eecaa816b74b;2021/08/24;19:00;0,602;;
eecaa816b74b;2021/08/24;20:00;0,467;;
eecaa816b74b;2021/08/24;21:00;0,138;;
eecaa816b74b;2021/08/24;22:00;0,550;;
eecaa816b74b;2021/08/24;23:00;0,848;;
eecaa816b74b;2021/08/24;24:00;0,238;;
eecaa816b74b;2021/08/25;01:00;0,249;;
eecaa816b74b;2021/08/25;02:00;0,160;;
eecaa816b74b;2021/08/25;03:00;0,137;;
eecaa816b74b;2021/08/25;04:00;0,131;;
eecaa816b74b;2021/08/25;05:00;0,133;;
eecaa816b74b;2021/08/25;06:00;0,129;;
eecaa816b74b;2021/08/25;07:00;0,141;;
eecaa816b74b;2021/08/25;08:00;0,129;;
eecaa816b74b;2021/08/25;09:00;0,132;;
eecaa816b74b;2021/08/25;10:00;0,126;;
eecaa816b74b;2021/08/25;11:00;0,195;;
eecaa816b74b;2021/08/25;12:00;0,223;;
eecaa816b74b;2021/08/25;13:00;0,222;;
eecaa816b74b;2021/08/25;14:00;0,223;;
eecaa816b74b;2021/08/25;15:00;0,452;;
eecaa816b74b;2021/08/25;16:00;0,420;;
eecaa816b74b;2021/08/25;17:00;0,281;;
eecaa816b74b;2021/08/25;18:00;0,296;;
eecaa816b74b;2021/08/25;19:00;0,594;;
eecaa816b74b;2021/08/25;20:00;0,512;;
eecaa816b74b;2021/08/25;21:00;0,605;;
eecaa816b74b;2021/08/25;22:00;0,382;;
eecaa816b74b;2021/08/25;23:00;0,672;;
eecaa816b74b;2021/08/25;24:00;0,259;;
eecaa816b74b;2021/08/26;01:00;0,170;;
eecaa816b74b;2021/08/26;02:00;0,130;;
eecaa816b74b;2021/08/26;03:00;0,129;;
eecaa816b74b;2021/08/26;04:00;0,129;;
eecaa816b74b;2021/08/26;05:00;0,133;;
eecaa816b74b;2021/08/26;06:00;0,128;;
eecaa816b74b;2021/08/26;07:00;0,141;;
eecaa816b74b;2021/08/26;08:00;0,133;;
eecaa816b74b;2021/08/26;09:00;0,131;;
eecaa816b74b;2021/08/26;10:00;0,174;;
eecaa816b74b;2021/08/26;11:00;0,206;;
eecaa816b74b;2021/08/26;12:00;0,239;;
eecaa816b74b;2021/08/26;13:00;0,425;;
eecaa816b74b;2021/08/26;14:00;0,405;;
eecaa816b74b;2021/08/26;15:00;0,459;;
eecaa816b74b;2021/08/26;16:00;0,295;;
eecaa816b74b;2021/08/26;17:00;0,284;;
eecaa816b74b;2021/08/26;18:00;0,879;;
eecaa816b74b;2021/08/26;19:00;0,219;;
eecaa816b74b;2021/08/26;20:00;0,208;;
eecaa816b74b;2021/08/26;21:00;0,296;;
eecaa816b74b;2021/08/26;22:00;0,633;;
eecaa816b74b;2021/08/26;23:00;0,839;;
eecaa816b74b;2021/08/26;24:00;0,271;;
eecaa816b74b;2021/08/27;01:00;0,276;;
eecaa816b74b;2021/08/27;02:00;0,183;;
eecaa816b74b;2021/08/27;03:00;0,141;;
eecaa816b74b;2021/08/27;04:00;0,137;;
eecaa816b74b;2021/08/27;05:00;0,138;;
eecaa816b74b;2021/08/27;06:00;0,135;;
eecaa816b74b;2021/08/27;07:00;0,146;;
eecaa816b74b;2021/08/27;08:00;0,132;;
eecaa816b74b;2021/08/27;09:00;0,140;;
eecaa816b74b;2021/08/27;10:00;0,188;;
eecaa816b74b;2021/08/27;11:00;0,223;;
eecaa816b74b;2021/08/27;12:00;0,217;;
eecaa816b74b;2021/08/27;13:00;0,285;;
eecaa816b74b;2021/08/27;14:00;0,308;;
eecaa816b74b;2021/08/27;15:00;0,765;;
eecaa816b74b;2021/08/27;16:00;0,506;;
eecaa816b74b;2021/08/27;17:00;0,224;;
eecaa816b74b;2021/08/27;18:00;0,414;;
eecaa816b74b;2021/08/27;19:00;0,893;;
eecaa816b74b;2021/08/27;20:00;0,810;;
eecaa816b74b;2021/08/27;21:00;0,212;;
eecaa816b74b;2021/08/27;22:00;0,615;;
eecaa816b74b;2021/08/27;23:00;0,756;;
eecaa816b74b;2021/08/27;24:00;0,257;;
eecaa816b74b;2021/08/28;01:00;0,250;;
eecaa816b74b;2021/08/28;02:00;0,552;;
eecaa816b74b;2021/08/28;03:00;0,201;;
eecaa816b74b;2021/08/28;04:00;0,201;;
eecaa816b74b;2021/08/28;05:00;0,198;;
eecaa816b74b;2021/08/28;06:00;0,201;;
eecaa816b74b;2021/08/28;07:00;0,139;;
eecaa816b74b;2021/08/28;08:00;0,169;;
eecaa816b74b;2021/08/28;09:00;0,130;;
eecaa816b74b;2021/08/28;10:00;0,125;;
eecaa816b74b;2021/08/28;11:00;0,158;;
eecaa816b74b;2021/08/28;12:00;0,231;;
eecaa816b74b;2021/08/28;13:00;0,215;;
eecaa816b74b;2021/08/28;14:00;0,217;;
eecaa816b74b;2021/08/28;15:00;0,223;;
eecaa816b74b;2021/08/28;16:00;0,232;;
eecaa816b74b;2021/08/28;17:00;0,236;;
eecaa816b74b;2021/08/28;18:00;1,223;;
eecaa816b74b;2021/08/28;19:00;0,304;;
