cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
127a14c3f85b;2021/08/07;01:00;0,278;;
127a14c3f85b;2021/08/07;02:00;0,054;;
127a14c3f85b;2021/08/07;03:00;0,053;;
127a14c3f85b;2021/08/07;04:00;0,047;;
127a14c3f85b;2021/08/07;05:00;0,044;;
127a14c3f85b;2021/08/07;06:00;0,104;;
127a14c3f85b;2021/08/07;07:00;0,068;;
127a14c3f85b;2021/08/07;08:00;0,056;;
127a14c3f85b;2021/08/07;09:00;0,044;;
127a14c3f85b;2021/08/07;10:00;0,149;;
127a14c3f85b;2021/08/07;11:00;0,060;;
127a14c3f85b;2021/08/07;12:00;0,057;;
127a14c3f85b;2021/08/07;13:00;0,083;;
127a14c3f85b;2021/08/07;14:00;0,060;;
127a14c3f85b;2021/08/07;15:00;0,076;;
127a14c3f85b;2021/08/07;16:00;0,081;;
127a14c3f85b;2021/08/07;17:00;0,128;;
127a14c3f85b;2021/08/07;18:00;0,114;;
127a14c3f85b;2021/08/07;19:00;0,050;;
127a14c3f85b;2021/08/07;20:00;0,050;;
127a14c3f85b;2021/08/07;21:00;0,043;;
127a14c3f85b;2021/08/07;22:00;0,040;;
127a14c3f85b;2021/08/07;23:00;0,046;;
127a14c3f85b;2021/08/07;24:00;0,057;;
127a14c3f85b;2021/08/08;01:00;0,046;;
127a14c3f85b;2021/08/08;02:00;0,041;;
127a14c3f85b;2021/08/08;03:00;0,041;;
127a14c3f85b;2021/08/08;04:00;0,044;;
127a14c3f85b;2021/08/08;05:00;0,093;;
127a14c3f85b;2021/08/08;06:00;0,070;;
127a14c3f85b;2021/08/08;07:00;0,049;;
127a14c3f85b;2021/08/08;08:00;0,044;;
127a14c3f85b;2021/08/08;09:00;0,041;;
127a14c3f85b;2021/08/08;10:00;0,064;;
127a14c3f85b;2021/08/08;11:00;0,059;;
127a14c3f85b;2021/08/08;12:00;0,062;;
127a14c3f85b;2021/08/08;13:00;0,051;;
127a14c3f85b;2021/08/08;14:00;0,067;;
127a14c3f85b;2021/08/08;15:00;0,085;;
127a14c3f85b;2021/08/08;16:00;0,106;;
127a14c3f85b;2021/08/08;17:00;0,126;;
127a14c3f85b;2021/08/08;18:00;0,098;;
127a14c3f85b;2021/08/08;19:00;0,086;;
127a14c3f85b;2021/08/08;20:00;0,063;;
127a14c3f85b;2021/08/08;21:00;0,062;;
127a14c3f85b;2021/08/08;22:00;0,061;;
127a14c3f85b;2021/08/08;23:00;0,081;;
127a14c3f85b;2021/08/08;24:00;0,074;;
127a14c3f85b;2021/08/09;01:00;0,049;;
127a14c3f85b;2021/08/09;02:00;0,044;;
