cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
259e3b12740a;2021/08/07;01:00;0,145;;
259e3b12740a;2021/08/07;02:00;0,145;;
259e3b12740a;2021/08/07;03:00;0,146;;
259e3b12740a;2021/08/07;04:00;0,145;;
259e3b12740a;2021/08/07;05:00;0,145;;
259e3b12740a;2021/08/07;06:00;0,145;;
259e3b12740a;2021/08/07;07:00;0,143;;
259e3b12740a;2021/08/07;08:00;0,145;;
259e3b12740a;2021/08/07;09:00;0,145;;
259e3b12740a;2021/08/07;10:00;0,144;;
259e3b12740a;2021/08/07;11:00;0,144;;
259e3b12740a;2021/08/07;12:00;0,145;;
259e3b12740a;2021/08/07;13:00;0,145;;
259e3b12740a;2021/08/07;14:00;0,144;;
259e3b12740a;2021/08/07;15:00;0,144;;
259e3b12740a;2021/08/07;16:00;0,144;;
259e3b12740a;2021/08/07;17:00;0,144;;
259e3b12740a;2021/08/07;18:00;0,144;;
259e3b12740a;2021/08/07;19:00;0,144;;
259e3b12740a;2021/08/07;20:00;0,145;;
259e3b12740a;2021/08/07;21:00;0,144;;
259e3b12740a;2021/08/07;22:00;0,145;;
259e3b12740a;2021/08/07;23:00;0,145;;
259e3b12740a;2021/08/07;24:00;0,145;;
259e3b12740a;2021/08/08;01:00;0,145;;
259e3b12740a;2021/08/08;02:00;0,146;;
259e3b12740a;2021/08/08;03:00;0,147;;
259e3b12740a;2021/08/08;04:00;0,146;;
259e3b12740a;2021/08/08;05:00;0,145;;
259e3b12740a;2021/08/08;06:00;0,145;;
259e3b12740a;2021/08/08;07:00;0,144;;
259e3b12740a;2021/08/08;08:00;0,145;;
259e3b12740a;2021/08/08;09:00;0,145;;
259e3b12740a;2021/08/08;10:00;0,145;;
259e3b12740a;2021/08/08;11:00;0,144;;
259e3b12740a;2021/08/08;12:00;0,144;;
259e3b12740a;2021/08/08;13:00;0,144;;
259e3b12740a;2021/08/08;14:00;0,145;;
259e3b12740a;2021/08/08;15:00;0,146;;
259e3b12740a;2021/08/08;16:00;0,146;;
259e3b12740a;2021/08/08;17:00;0,146;;
259e3b12740a;2021/08/08;18:00;0,146;;
259e3b12740a;2021/08/08;19:00;0,146;;
259e3b12740a;2021/08/08;20:00;0,145;;
259e3b12740a;2021/08/08;21:00;0,146;;
259e3b12740a;2021/08/08;22:00;0,144;;
259e3b12740a;2021/08/08;23:00;0,145;;
259e3b12740a;2021/08/08;24:00;0,145;;
259e3b12740a;2021/08/09;01:00;0,146;;
259e3b12740a;2021/08/09;02:00;0,146;;
259e3b12740a;2021/08/09;03:00;0,147;;
259e3b12740a;2021/08/09;04:00;0,146;;
259e3b12740a;2021/08/09;05:00;0,146;;
259e3b12740a;2021/08/09;06:00;0,147;;
259e3b12740a;2021/08/09;07:00;0,145;;
259e3b12740a;2021/08/09;08:00;0,145;;
259e3b12740a;2021/08/09;09:00;0,145;;
259e3b12740a;2021/08/09;10:00;0,145;;
259e3b12740a;2021/08/09;11:00;0,145;;
259e3b12740a;2021/08/09;12:00;0,145;;
259e3b12740a;2021/08/09;13:00;0,146;;
259e3b12740a;2021/08/09;14:00;0,146;;
259e3b12740a;2021/08/09;15:00;0,147;;
