cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
4f514478e276;2021/09/30;01:00;0,212;;
4f514478e276;2021/09/30;02:00;0,051;;
4f514478e276;2021/09/30;03:00;0,052;;
4f514478e276;2021/09/30;04:00;0,056;;
4f514478e276;2021/09/30;05:00;0,053;;
4f514478e276;2021/09/30;06:00;0,052;;
4f514478e276;2021/09/30;07:00;0,051;;
4f514478e276;2021/09/30;08:00;0,052;;
4f514478e276;2021/09/30;09:00;0,050;;
4f514478e276;2021/09/30;10:00;0,050;;
4f514478e276;2021/09/30;11:00;0,066;;
4f514478e276;2021/09/30;12:00;0,165;;
4f514478e276;2021/09/30;13:00;0,056;;
4f514478e276;2021/09/30;14:00;0,054;;
4f514478e276;2021/09/30;15:00;0,061;;
4f514478e276;2021/09/30;16:00;0,227;;
4f514478e276;2021/09/30;17:00;0,238;;
4f514478e276;2021/09/30;18:00;0,118;;
4f514478e276;2021/09/30;19:00;0,055;;
4f514478e276;2021/09/30;20:00;0,056;;
4f514478e276;2021/09/30;21:00;0,186;;
4f514478e276;2021/09/30;22:00;0,418;;
4f514478e276;2021/09/30;23:00;0,338;;
4f514478e276;2021/09/30;24:00;0,286;;
4f514478e276;2021/10/01;01:00;0,297;;
4f514478e276;2021/10/01;02:00;0,067;;
4f514478e276;2021/10/01;03:00;0,120;;
4f514478e276;2021/10/01;04:00;0,118;;
4f514478e276;2021/10/01;05:00;0,052;;
4f514478e276;2021/10/01;06:00;0,053;;
4f514478e276;2021/10/01;07:00;0,048;;
4f514478e276;2021/10/01;08:00;0,049;;
4f514478e276;2021/10/01;09:00;0,099;;
4f514478e276;2021/10/01;10:00;0,097;;
4f514478e276;2021/10/01;11:00;0,065;;
4f514478e276;2021/10/01;12:00;0,051;;
4f514478e276;2021/10/01;13:00;0,050;;
4f514478e276;2021/10/01;14:00;0,076;;
4f514478e276;2021/10/01;15:00;0,227;;
4f514478e276;2021/10/01;16:00;0,223;;
4f514478e276;2021/10/01;17:00;0,201;;
4f514478e276;2021/10/01;18:00;0,112;;
4f514478e276;2021/10/01;19:00;0,218;;
4f514478e276;2021/10/01;20:00;0,225;;
4f514478e276;2021/10/01;21:00;0,260;;
4f514478e276;2021/10/01;22:00;0,324;;
4f514478e276;2021/10/01;23:00;0,261;;
4f514478e276;2021/10/01;24:00;0,297;;
4f514478e276;2021/10/02;01:00;0,306;;
4f514478e276;2021/10/02;02:00;0,194;;
4f514478e276;2021/10/02;03:00;0,052;;
4f514478e276;2021/10/02;04:00;0,054;;
4f514478e276;2021/10/02;05:00;0,050;;
4f514478e276;2021/10/02;06:00;0,052;;
4f514478e276;2021/10/02;07:00;0,050;;
4f514478e276;2021/10/02;08:00;0,049;;
4f514478e276;2021/10/02;09:00;0,050;;
4f514478e276;2021/10/02;10:00;0,051;;
4f514478e276;2021/10/02;11:00;0,147;;
4f514478e276;2021/10/02;12:00;0,064;;
4f514478e276;2021/10/02;13:00;0,056;;
4f514478e276;2021/10/02;14:00;0,057;;
4f514478e276;2021/10/02;15:00;0,132;;
4f514478e276;2021/10/02;16:00;0,100;;
4f514478e276;2021/10/02;17:00;0,061;;
4f514478e276;2021/10/02;18:00;0,056;;
4f514478e276;2021/10/02;19:00;0,049;;
4f514478e276;2021/10/02;20:00;0,049;;
4f514478e276;2021/10/02;21:00;0,048;;
4f514478e276;2021/10/02;22:00;0,245;;
4f514478e276;2021/10/02;23:00;0,302;;
4f514478e276;2021/10/02;24:00;0,276;;
4f514478e276;2021/10/03;01:00;0,116;;
4f514478e276;2021/10/03;02:00;0,051;;
4f514478e276;2021/10/03;03:00;0,052;;
4f514478e276;2021/10/03;04:00;0,055;;
4f514478e276;2021/10/03;05:00;0,051;;
4f514478e276;2021/10/03;06:00;0,050;;
4f514478e276;2021/10/03;07:00;0,050;;
4f514478e276;2021/10/03;08:00;0,050;;
4f514478e276;2021/10/03;09:00;0,142;;
4f514478e276;2021/10/03;10:00;0,097;;
4f514478e276;2021/10/03;11:00;0,205;;
4f514478e276;2021/10/03;12:00;0,052;;
4f514478e276;2021/10/03;13:00;0,050;;
4f514478e276;2021/10/03;14:00;0,135;;
4f514478e276;2021/10/03;15:00;0,369;;
4f514478e276;2021/10/03;16:00;0,550;;
4f514478e276;2021/10/03;17:00;0,469;;
4f514478e276;2021/10/03;18:00;0,539;;
4f514478e276;2021/10/03;19:00;0,420;;
4f514478e276;2021/10/03;20:00;0,217;;
4f514478e276;2021/10/03;21:00;0,244;;
4f514478e276;2021/10/03;22:00;0,319;;
4f514478e276;2021/10/03;23:00;0,333;;
4f514478e276;2021/10/03;24:00;0,307;;
4f514478e276;2021/10/04;01:00;0,212;;
4f514478e276;2021/10/04;02:00;0,063;;
4f514478e276;2021/10/04;03:00;0,058;;
4f514478e276;2021/10/04;04:00;0,059;;
4f514478e276;2021/10/04;05:00;0,053;;
4f514478e276;2021/10/04;06:00;0,052;;
4f514478e276;2021/10/04;07:00;0,051;;
4f514478e276;2021/10/04;08:00;0,050;;
4f514478e276;2021/10/04;09:00;0,049;;
4f514478e276;2021/10/04;10:00;0,101;;
4f514478e276;2021/10/04;11:00;0,200;;
4f514478e276;2021/10/04;12:00;0,231;;
4f514478e276;2021/10/04;13:00;0,229;;
4f514478e276;2021/10/04;14:00;0,240;;
4f514478e276;2021/10/04;15:00;0,242;;
4f514478e276;2021/10/04;16:00;0,236;;
4f514478e276;2021/10/04;17:00;0,236;;
4f514478e276;2021/10/04;18:00;0,245;;
4f514478e276;2021/10/04;19:00;0,247;;
4f514478e276;2021/10/04;20:00;0,347;;
4f514478e276;2021/10/04;21:00;0,321;;
4f514478e276;2021/10/04;22:00;0,341;;
4f514478e276;2021/10/04;23:00;0,312;;
4f514478e276;2021/10/04;24:00;0,176;;
4f514478e276;2021/10/05;01:00;0,141;;
4f514478e276;2021/10/05;02:00;0,084;;
4f514478e276;2021/10/05;03:00;0,050;;
4f514478e276;2021/10/05;04:00;0,057;;
4f514478e276;2021/10/05;05:00;0,062;;
4f514478e276;2021/10/05;06:00;0,075;;
4f514478e276;2021/10/05;07:00;0,051;;
4f514478e276;2021/10/05;08:00;0,049;;
4f514478e276;2021/10/05;09:00;0,049;;
4f514478e276;2021/10/05;10:00;0,115;;
4f514478e276;2021/10/05;11:00;0,303;;
4f514478e276;2021/10/05;12:00;0,251;;
4f514478e276;2021/10/05;13:00;0,046;;
4f514478e276;2021/10/05;14:00;0,080;;
4f514478e276;2021/10/05;15:00;0,277;;
4f514478e276;2021/10/05;16:00;0,328;;
4f514478e276;2021/10/05;17:00;0,230;;
4f514478e276;2021/10/05;18:00;0,061;;
4f514478e276;2021/10/05;19:00;0,164;;
4f514478e276;2021/10/05;20:00;0,285;;
4f514478e276;2021/10/05;21:00;0,224;;
4f514478e276;2021/10/05;22:00;0,225;;
4f514478e276;2021/10/05;23:00;0,251;;
4f514478e276;2021/10/05;24:00;0,278;;
4f514478e276;2021/10/06;01:00;0,201;;
4f514478e276;2021/10/06;02:00;0,044;;
4f514478e276;2021/10/06;03:00;0,046;;
4f514478e276;2021/10/06;04:00;0,045;;
4f514478e276;2021/10/06;05:00;0,049;;
4f514478e276;2021/10/06;06:00;0,045;;
4f514478e276;2021/10/06;07:00;0,045;;
4f514478e276;2021/10/06;08:00;0,128;;
4f514478e276;2021/10/06;09:00;0,118;;
4f514478e276;2021/10/06;10:00;0,214;;
4f514478e276;2021/10/06;11:00;0,200;;
4f514478e276;2021/10/06;12:00;0,050;;
4f514478e276;2021/10/06;13:00;0,049;;
4f514478e276;2021/10/06;14:00;0,051;;
4f514478e276;2021/10/06;15:00;0,052;;
4f514478e276;2021/10/06;16:00;0,051;;
4f514478e276;2021/10/06;17:00;0,051;;
4f514478e276;2021/10/06;18:00;0,051;;
4f514478e276;2021/10/06;19:00;0,051;;
4f514478e276;2021/10/06;20:00;0,109;;
4f514478e276;2021/10/06;21:00;0,310;;
4f514478e276;2021/10/06;22:00;0,359;;
4f514478e276;2021/10/06;23:00;0,442;;
4f514478e276;2021/10/06;24:00;0,209;;
4f514478e276;2021/10/07;01:00;0,052;;
4f514478e276;2021/10/07;02:00;0,161;;
4f514478e276;2021/10/07;03:00;0,056;;
4f514478e276;2021/10/07;04:00;0,058;;
4f514478e276;2021/10/07;05:00;0,053;;
4f514478e276;2021/10/07;06:00;0,051;;
4f514478e276;2021/10/07;07:00;0,051;;
4f514478e276;2021/10/07;08:00;0,050;;
4f514478e276;2021/10/07;09:00;0,053;;
4f514478e276;2021/10/07;10:00;0,049;;
4f514478e276;2021/10/07;11:00;0,117;;
4f514478e276;2021/10/07;12:00;0,071;;
4f514478e276;2021/10/07;13:00;0,051;;
4f514478e276;2021/10/07;14:00;0,087;;
4f514478e276;2021/10/07;15:00;0,052;;
4f514478e276;2021/10/07;16:00;0,052;;
4f514478e276;2021/10/07;17:00;0,053;;
4f514478e276;2021/10/07;18:00;0,130;;
4f514478e276;2021/10/07;19:00;0,195;;
4f514478e276;2021/10/07;20:00;0,176;;
4f514478e276;2021/10/07;21:00;0,290;;
4f514478e276;2021/10/07;22:00;0,323;;
4f514478e276;2021/10/07;23:00;0,335;;
4f514478e276;2021/10/07;24:00;0,271;;
4f514478e276;2021/10/08;01:00;0,224;;
4f514478e276;2021/10/08;02:00;0,057;;
4f514478e276;2021/10/08;03:00;0,056;;
4f514478e276;2021/10/08;04:00;0,059;;
4f514478e276;2021/10/08;05:00;0,053;;
4f514478e276;2021/10/08;06:00;0,050;;
4f514478e276;2021/10/08;07:00;0,050;;
4f514478e276;2021/10/08;08:00;0,050;;
4f514478e276;2021/10/08;09:00;0,050;;
4f514478e276;2021/10/08;10:00;0,051;;
4f514478e276;2021/10/08;11:00;0,228;;
4f514478e276;2021/10/08;12:00;0,164;;
4f514478e276;2021/10/08;13:00;0,147;;
4f514478e276;2021/10/08;14:00;0,103;;
4f514478e276;2021/10/08;15:00;0,058;;
4f514478e276;2021/10/08;16:00;0,202;;
4f514478e276;2021/10/08;17:00;0,229;;
4f514478e276;2021/10/08;18:00;0,226;;
4f514478e276;2021/10/08;19:00;0,295;;
4f514478e276;2021/10/08;20:00;0,291;;
4f514478e276;2021/10/08;21:00;0,327;;
4f514478e276;2021/10/08;22:00;0,391;;
4f514478e276;2021/10/08;23:00;0,338;;
4f514478e276;2021/10/08;24:00;0,638;;
4f514478e276;2021/10/09;01:00;0,112;;
4f514478e276;2021/10/09;02:00;0,051;;
4f514478e276;2021/10/09;03:00;0,050;;
4f514478e276;2021/10/09;04:00;0,055;;
4f514478e276;2021/10/09;05:00;0,053;;
4f514478e276;2021/10/09;06:00;0,058;;
4f514478e276;2021/10/09;07:00;0,051;;
4f514478e276;2021/10/09;08:00;0,050;;
4f514478e276;2021/10/09;09:00;0,050;;
4f514478e276;2021/10/09;10:00;0,050;;
4f514478e276;2021/10/09;11:00;0,142;;
4f514478e276;2021/10/09;12:00;0,236;;
4f514478e276;2021/10/09;13:00;0,294;;
4f514478e276;2021/10/09;14:00;0,275;;
4f514478e276;2021/10/09;15:00;0,237;;
4f514478e276;2021/10/09;16:00;0,219;;
4f514478e276;2021/10/09;17:00;0,222;;
4f514478e276;2021/10/09;18:00;0,147;;
4f514478e276;2021/10/09;19:00;0,207;;
4f514478e276;2021/10/09;20:00;0,220;;
4f514478e276;2021/10/09;21:00;0,331;;
4f514478e276;2021/10/09;22:00;0,318;;
4f514478e276;2021/10/09;23:00;0,457;;
4f514478e276;2021/10/09;24:00;0,290;;
4f514478e276;2021/10/10;01:00;0,120;;
4f514478e276;2021/10/10;02:00;0,053;;
4f514478e276;2021/10/10;03:00;0,066;;
4f514478e276;2021/10/10;04:00;0,056;;
4f514478e276;2021/10/10;05:00;0,180;;
4f514478e276;2021/10/10;06:00;0,133;;
4f514478e276;2021/10/10;07:00;0,053;;
4f514478e276;2021/10/10;08:00;0,050;;
4f514478e276;2021/10/10;09:00;0,050;;
4f514478e276;2021/10/10;10:00;0,049;;
4f514478e276;2021/10/10;11:00;0,052;;
4f514478e276;2021/10/10;12:00;0,049;;
4f514478e276;2021/10/10;13:00;0,048;;
4f514478e276;2021/10/10;14:00;0,077;;
4f514478e276;2021/10/10;15:00;0,226;;
4f514478e276;2021/10/10;16:00;0,242;;
4f514478e276;2021/10/10;17:00;0,307;;
4f514478e276;2021/10/10;18:00;0,460;;
4f514478e276;2021/10/10;19:00;0,354;;
4f514478e276;2021/10/10;20:00;0,236;;
4f514478e276;2021/10/10;21:00;0,238;;
4f514478e276;2021/10/10;22:00;0,472;;
4f514478e276;2021/10/10;23:00;0,699;;
4f514478e276;2021/10/10;24:00;0,410;;
4f514478e276;2021/10/11;01:00;0,331;;
4f514478e276;2021/10/11;02:00;0,246;;
4f514478e276;2021/10/11;03:00;0,051;;
4f514478e276;2021/10/11;04:00;0,054;;
4f514478e276;2021/10/11;05:00;0,050;;
4f514478e276;2021/10/11;06:00;0,050;;
4f514478e276;2021/10/11;07:00;0,048;;
4f514478e276;2021/10/11;08:00;0,049;;
4f514478e276;2021/10/11;09:00;0,048;;
4f514478e276;2021/10/11;10:00;0,049;;
4f514478e276;2021/10/11;11:00;0,126;;
4f514478e276;2021/10/11;12:00;0,075;;
4f514478e276;2021/10/11;13:00;0,092;;
4f514478e276;2021/10/11;14:00;0,224;;
4f514478e276;2021/10/11;15:00;0,335;;
4f514478e276;2021/10/11;16:00;0,329;;
4f514478e276;2021/10/11;17:00;0,278;;
4f514478e276;2021/10/11;18:00;0,221;;
4f514478e276;2021/10/11;19:00;0,075;;
4f514478e276;2021/10/11;20:00;0,057;;
4f514478e276;2021/10/11;21:00;0,090;;
4f514478e276;2021/10/11;22:00;0,429;;
4f514478e276;2021/10/11;23:00;0,369;;
4f514478e276;2021/10/11;24:00;0,188;;
4f514478e276;2021/10/12;01:00;0,341;;
4f514478e276;2021/10/12;02:00;0,049;;
4f514478e276;2021/10/12;03:00;0,109;;
4f514478e276;2021/10/12;04:00;0,057;;
4f514478e276;2021/10/12;05:00;0,052;;
4f514478e276;2021/10/12;06:00;0,050;;
4f514478e276;2021/10/12;07:00;0,049;;
4f514478e276;2021/10/12;08:00;0,052;;
4f514478e276;2021/10/12;09:00;0,056;;
4f514478e276;2021/10/12;10:00;0,065;;
