cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
883788a8f885;2021/08/07;01:00;1,046;;
883788a8f885;2021/08/07;02:00;1,784;;
883788a8f885;2021/08/07;03:00;0,825;;
883788a8f885;2021/08/07;04:00;0,115;;
883788a8f885;2021/08/07;05:00;0,108;;
883788a8f885;2021/08/07;06:00;0,157;;
883788a8f885;2021/08/07;07:00;0,117;;
883788a8f885;2021/08/07;08:00;0,105;;
883788a8f885;2021/08/07;09:00;0,131;;
883788a8f885;2021/08/07;10:00;0,102;;
883788a8f885;2021/08/07;11:00;0,134;;
883788a8f885;2021/08/07;12:00;0,230;;
883788a8f885;2021/08/07;13:00;0,238;;
883788a8f885;2021/08/07;14:00;0,143;;
883788a8f885;2021/08/07;15:00;0,066;;
883788a8f885;2021/08/07;16:00;0,114;;
883788a8f885;2021/08/07;17:00;0,080;;
883788a8f885;2021/08/07;18:00;0,062;;
883788a8f885;2021/08/07;19:00;0,126;;
883788a8f885;2021/08/07;20:00;0,068;;
883788a8f885;2021/08/07;21:00;0,171;;
883788a8f885;2021/08/07;22:00;0,338;;
883788a8f885;2021/08/07;23:00;0,271;;
883788a8f885;2021/08/07;24:00;0,508;;
883788a8f885;2021/08/08;01:00;0,264;;
883788a8f885;2021/08/08;02:00;0,250;;
883788a8f885;2021/08/08;03:00;0,233;;
883788a8f885;2021/08/08;04:00;0,085;;
883788a8f885;2021/08/08;05:00;0,119;;
883788a8f885;2021/08/08;06:00;0,071;;
883788a8f885;2021/08/08;07:00;0,079;;
883788a8f885;2021/08/08;08:00;0,097;;
883788a8f885;2021/08/08;09:00;0,072;;
883788a8f885;2021/08/08;10:00;0,082;;
883788a8f885;2021/08/08;11:00;0,084;;
883788a8f885;2021/08/08;12:00;0,280;;
883788a8f885;2021/08/08;13:00;0,394;;
883788a8f885;2021/08/08;14:00;0,111;;
883788a8f885;2021/08/08;15:00;0,134;;
883788a8f885;2021/08/08;16:00;0,114;;
883788a8f885;2021/08/08;17:00;0,116;;
883788a8f885;2021/08/08;18:00;0,088;;
883788a8f885;2021/08/08;19:00;0,096;;
883788a8f885;2021/08/08;20:00;0,462;;
883788a8f885;2021/08/08;21:00;1,267;;
883788a8f885;2021/08/08;22:00;1,754;;
883788a8f885;2021/08/08;23:00;2,277;;
883788a8f885;2021/08/08;24:00;1,421;;
883788a8f885;2021/08/09;01:00;0,723;;
883788a8f885;2021/08/09;02:00;0,136;;
883788a8f885;2021/08/09;03:00;0,132;;
883788a8f885;2021/08/09;04:00;0,162;;
883788a8f885;2021/08/09;05:00;0,182;;
883788a8f885;2021/08/09;06:00;0,191;;
883788a8f885;2021/08/09;07:00;0,122;;
883788a8f885;2021/08/09;08:00;0,125;;
883788a8f885;2021/08/09;09:00;0,075;;
883788a8f885;2021/08/09;10:00;0,093;;
883788a8f885;2021/08/09;11:00;0,095;;
883788a8f885;2021/08/09;12:00;0,090;;
883788a8f885;2021/08/09;13:00;0,075;;
883788a8f885;2021/08/09;14:00;0,081;;
883788a8f885;2021/08/09;15:00;0,112;;
883788a8f885;2021/08/09;16:00;0,187;;
883788a8f885;2021/08/09;17:00;0,139;;
883788a8f885;2021/08/09;18:00;0,105;;
883788a8f885;2021/08/09;19:00;0,135;;
883788a8f885;2021/08/09;20:00;0,234;;
883788a8f885;2021/08/09;21:00;1,294;;
883788a8f885;2021/08/09;22:00;1,217;;
883788a8f885;2021/08/09;23:00;0,276;;
883788a8f885;2021/08/09;24:00;1,916;;
883788a8f885;2021/08/10;01:00;1,305;;
883788a8f885;2021/08/10;02:00;0,257;;
883788a8f885;2021/08/10;03:00;0,131;;
883788a8f885;2021/08/10;04:00;0,074;;
883788a8f885;2021/08/10;05:00;0,266;;
883788a8f885;2021/08/10;06:00;0,077;;
883788a8f885;2021/08/10;07:00;0,143;;
883788a8f885;2021/08/10;08:00;0,143;;
883788a8f885;2021/08/10;09:00;0,138;;
883788a8f885;2021/08/10;10:00;0,102;;
883788a8f885;2021/08/10;11:00;0,148;;
883788a8f885;2021/08/10;12:00;0,130;;
883788a8f885;2021/08/10;13:00;0,115;;
883788a8f885;2021/08/10;14:00;0,085;;
883788a8f885;2021/08/10;15:00;0,097;;
883788a8f885;2021/08/10;16:00;0,100;;
883788a8f885;2021/08/10;17:00;0,212;;
883788a8f885;2021/08/10;18:00;0,108;;
883788a8f885;2021/08/10;19:00;0,091;;
883788a8f885;2021/08/10;20:00;0,156;;
883788a8f885;2021/08/10;21:00;0,303;;
883788a8f885;2021/08/10;22:00;0,498;;
883788a8f885;2021/08/10;23:00;0,241;;
883788a8f885;2021/08/10;24:00;0,202;;
883788a8f885;2021/08/11;01:00;0,435;;
883788a8f885;2021/08/11;02:00;0,202;;
883788a8f885;2021/08/11;03:00;0,137;;
883788a8f885;2021/08/11;04:00;0,145;;
883788a8f885;2021/08/11;05:00;0,211;;
883788a8f885;2021/08/11;06:00;0,165;;
883788a8f885;2021/08/11;07:00;0,099;;
883788a8f885;2021/08/11;08:00;0,163;;
883788a8f885;2021/08/11;09:00;0,169;;
883788a8f885;2021/08/11;10:00;0,106;;
883788a8f885;2021/08/11;11:00;0,098;;
883788a8f885;2021/08/11;12:00;0,084;;
883788a8f885;2021/08/11;13:00;0,093;;
883788a8f885;2021/08/11;14:00;0,077;;
