cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
c1244d6dea7a;07/08/2021;1:00;0,002;;
c1244d6dea7a;07/08/2021;2:00;0,003;;
c1244d6dea7a;07/08/2021;3:00;0,003;;
c1244d6dea7a;07/08/2021;4:00;0,002;;
c1244d6dea7a;07/08/2021;5:00;0,003;;
c1244d6dea7a;07/08/2021;6:00;0,003;;
c1244d6dea7a;07/08/2021;7:00;0,002;;
c1244d6dea7a;07/08/2021;8:00;0,003;;
c1244d6dea7a;07/08/2021;9:00;0,003;;
c1244d6dea7a;07/08/2021;10:00;0,002;;
c1244d6dea7a;07/08/2021;11:00;0,003;;
c1244d6dea7a;07/08/2021;12:00;0,002;;
c1244d6dea7a;07/08/2021;13:00;0,003;;
c1244d6dea7a;07/08/2021;14:00;0,003;;
c1244d6dea7a;07/08/2021;15:00;0,002;;
c1244d6dea7a;07/08/2021;16:00;0,003;;
c1244d6dea7a;07/08/2021;17:00;0,003;;
c1244d6dea7a;07/08/2021;18:00;0,002;;
c1244d6dea7a;07/08/2021;19:00;0,003;;
c1244d6dea7a;07/08/2021;20:00;0,002;;
c1244d6dea7a;07/08/2021;21:00;0,003;;
c1244d6dea7a;07/08/2021;22:00;0,003;;
c1244d6dea7a;07/08/2021;23:00;0,002;;
c1244d6dea7a;07/08/2021;24:00:00;0,003;;
c1244d6dea7a;08/08/2021;1:00;0,003;;
c1244d6dea7a;08/08/2021;2:00;0,002;;
c1244d6dea7a;08/08/2021;3:00;0,003;;
c1244d6dea7a;08/08/2021;4:00;0,003;;
c1244d6dea7a;08/08/2021;5:00;0,002;;
c1244d6dea7a;08/08/2021;6:00;0,003;;
c1244d6dea7a;08/08/2021;7:00;0,003;;
c1244d6dea7a;08/08/2021;8:00;0,002;;
c1244d6dea7a;08/08/2021;9:00;0,003;;
c1244d6dea7a;08/08/2021;10:00;0,003;;
c1244d6dea7a;08/08/2021;11:00;0,002;;
c1244d6dea7a;08/08/2021;12:00;0,003;;
c1244d6dea7a;08/08/2021;13:00;0,003;;
c1244d6dea7a;08/08/2021;14:00;0,002;;
c1244d6dea7a;08/08/2021;15:00;0,003;;
c1244d6dea7a;08/08/2021;16:00;0,003;;
c1244d6dea7a;08/08/2021;17:00;0,002;;
c1244d6dea7a;08/08/2021;18:00;0,003;;
c1244d6dea7a;08/08/2021;19:00;0,003;;
c1244d6dea7a;08/08/2021;20:00;0,002;;
c1244d6dea7a;08/08/2021;21:00;0,003;;
c1244d6dea7a;08/08/2021;22:00;0,002;;
c1244d6dea7a;08/08/2021;23:00;0,003;;
c1244d6dea7a;08/08/2021;24:00:00;0,003;;
c1244d6dea7a;09/08/2021;1:00;0,002;;
c1244d6dea7a;09/08/2021;2:00;0,003;;
c1244d6dea7a;09/08/2021;3:00;0,003;;
c1244d6dea7a;09/08/2021;4:00;0,002;;
c1244d6dea7a;09/08/2021;5:00;0,003;;
c1244d6dea7a;09/08/2021;6:00;0,002;;
c1244d6dea7a;09/08/2021;7:00;0,003;;
c1244d6dea7a;09/08/2021;8:00;0,003;;
c1244d6dea7a;09/08/2021;9:00;0,003;;
c1244d6dea7a;09/08/2021;10:00;0,002;;
c1244d6dea7a;09/08/2021;11:00;0,003;;
c1244d6dea7a;09/08/2021;12:00;0,003;;
c1244d6dea7a;09/08/2021;13:00;0,002;;
c1244d6dea7a;09/08/2021;14:00;0,003;;
c1244d6dea7a;09/08/2021;15:00;0,003;;
c1244d6dea7a;09/08/2021;16:00;0,002;;
c1244d6dea7a;09/08/2021;17:00;0,003;;
c1244d6dea7a;09/08/2021;18:00;0,002;;
c1244d6dea7a;09/08/2021;19:00;0,003;;
c1244d6dea7a;09/08/2021;20:00;0,003;;
c1244d6dea7a;09/08/2021;21:00;0,002;;
c1244d6dea7a;09/08/2021;22:00;0,003;;
c1244d6dea7a;09/08/2021;23:00;0,002;;
c1244d6dea7a;09/08/2021;24:00:00;0,003;;
c1244d6dea7a;10/08/2021;1:00;0,003;;
c1244d6dea7a;10/08/2021;2:00;0,002;;
c1244d6dea7a;10/08/2021;3:00;0,003;;
c1244d6dea7a;10/08/2021;4:00;0,003;;
c1244d6dea7a;10/08/2021;5:00;0,002;;
c1244d6dea7a;10/08/2021;6:00;0,003;;
c1244d6dea7a;10/08/2021;7:00;0,003;;
c1244d6dea7a;10/08/2021;8:00;0,002;;
c1244d6dea7a;10/08/2021;9:00;0,003;;
c1244d6dea7a;10/08/2021;10:00;0,002;;
c1244d6dea7a;10/08/2021;11:00;0,768;;
c1244d6dea7a;10/08/2021;12:00;0,002;;
c1244d6dea7a;10/08/2021;13:00;0,003;;
c1244d6dea7a;10/08/2021;14:00;0,003;;
c1244d6dea7a;10/08/2021;15:00;0,002;;
c1244d6dea7a;10/08/2021;16:00;0,003;;
c1244d6dea7a;10/08/2021;17:00;0,003;;
c1244d6dea7a;10/08/2021;18:00;0,002;;
c1244d6dea7a;10/08/2021;19:00;0,003;;
c1244d6dea7a;10/08/2021;20:00;0,002;;
c1244d6dea7a;10/08/2021;21:00;0,003;;
c1244d6dea7a;10/08/2021;22:00;0,003;;
c1244d6dea7a;10/08/2021;23:00;0,002;;
c1244d6dea7a;10/08/2021;24:00:00;0,003;;
c1244d6dea7a;11/08/2021;1:00;0,002;;
c1244d6dea7a;11/08/2021;2:00;0,003;;
c1244d6dea7a;11/08/2021;3:00;0,003;;
c1244d6dea7a;11/08/2021;4:00;0,002;;
c1244d6dea7a;11/08/2021;5:00;0,003;;
c1244d6dea7a;11/08/2021;6:00;0,002;;
c1244d6dea7a;11/08/2021;7:00;0,003;;
c1244d6dea7a;11/08/2021;8:00;0,003;;
c1244d6dea7a;11/08/2021;9:00;0,002;;
c1244d6dea7a;11/08/2021;10:00;0,003;;
c1244d6dea7a;11/08/2021;11:00;0,003;;
c1244d6dea7a;11/08/2021;12:00;0,002;;
c1244d6dea7a;11/08/2021;13:00;0,003;;
c1244d6dea7a;11/08/2021;14:00;0,003;;
