CUPS,CLUSTER
0114f2a9ef8e,5
011952cf0a27,5
02b3106d73c7,5
03c8338d7f1d,1
04666163609d,0
07efa654691a,5
08565e582514,0
0d9678df292f,1
0e6a45c8d43b,5
11c65598e4aa,3
127a14c3f85b,2
17a509e5b3fd,1
19153be7ac88,0
1a0b9aa571b5,1
1bd2d65d3ee4,1
1c8a857523c6,1
20eff1413834,3
259e3b12740a,5
27233c281b84,5
277f70c6024c,5
29abdc229bd7,0
2b6fe1934f34,1
2e1cb9ed40da,5
2e4065ba71b8,0
2e8f61c97ff0,5
30c53527a644,1
31a15c8a5985,3
320c764758d0,2
3341083403f9,3
3395624729d9,0
3446f68001b1,0
35d9bd5323b9,1
38194b2cee3c,5
3834b65f3a70,0
3a04ebb76f6a,1
426fb012b93d,3
43418b1f8c9d,3
43c6b2a5a249,3
49771a22ec98,0
4b5a8b35b128,0
4d0a1993dfcd,0
4df4744c39fb,0
4f514478e276,5
5050e482704a,4
51bcc44b2656,0
522ec2c9ceb6,1
524130194799,0
540f95348569,0
56bf498d0564,1
5937660386d6,0
5b13f13a01ed,1
5ea12751c266,3
5f23ca5327cd,1
5f4793761400,3
609781c124a2,1
60e6d6d2541a,4
65e32355a97a,5
6906cceeeb78,1
6c1405ef7062,0
6f00c403abd0,5
6fadd3d6b297,1
71d3885d1431,1
71d9a9f96bca,1
736f2de66813,5
7766e16a2d4a,1
78d0d9825060,0
7a2e7beb0672,5
7a6739bd338e,5
7bd57f96a653,3
7d4cfc37189e,4
806dc54ccb69,3
83c7fbada9b4,2
84736eaf5a9d,5
84bc6f535519,4
8748f2316ba9,4
883788a8f885,5
90a0336aae39,0
95ee02b21baa,3
960038979a08,2
99d555540f0d,3
9a3b34521cfa,1
9c890590d367,3
9fa8e9422c8d,0
a1c7814da365,5
a3551673db03,3
a436c4d5cbeb,1
a97896649004,3
ab6c9e4d8e64,0
ab80ec0882ca,4
acb5ee1b35fd,0
ad7b0d773a4a,3
add697153a07,2
b1a8b5dfd391,4
b46938568ddc,5
b476034a2e3d,5
b6b8b829ca63,0
b6e12ac4aa4b,5
ba38270a360e,2
bbfd7c7fa784,0
bf03a8cf21da,5
c1244d6dea7a,0
c32f47bda75b,1
c422e08d8f19,1
c4a177fb3092,4
c5fa6b7264f9,2
c762bb72bd52,5
c8b50ccf6f9c,3
cc26481a6b26,0
ce0e3832ae5b,0
cf5c2db7d01b,1
d15c67c0173b,0
d18448fa2230,3
d4032a0b3dea,0
d55816977df1,4
d60abb43b0bc,0
d8555c97f799,4
e00164f28d81,2
e1c96aca8aa9,5
e2972a4aa5d5,0
e7b153decb4b,3
e9ae574ff977,5
e9ba19111ba2,1
eecaa816b74b,1
f01cc7652e9e,1
f031c514ae35,5
f1a487408720,3
f695586984d6,0
fc6f5ded11aa,0
fef3a0e21aab,1
ceaddbf817fc,1
d0fbcc1108d8,3
